ID, Method, Class, Line, Source, Var
-1, void testBackslashEscaping2(), org.apache.commons.csv.CSVParserTest, $stack10 = staticinvoke <org.apache.commons.csv.CSVFormat: org.apache.commons.csv.CSVFormat newFormat(char)>(44), 129, -1, (:974:-1)
-1, org.apache.commons.csv.CSVFormat newFormat(char), org.apache.commons.csv.CSVFormat, specialinvoke $stack1.<org.apache.commons.csv.CSVFormat: void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean)>(delimiter; null; null; null; null; 0; 0; null; null; null; null; 0; 0; 0), 366, -1, (header:990:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: char delimiter> = delimiter, 420, -1, (this.delimiter:1028:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: java.lang.Character quoteCharacter> = quoteChar, 421, -1, (this.quoteCharacter:1029:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode> = quoteMode, 422, -1, (this.quoteMode:1030:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: java.lang.Character commentMarker> = commentStart, 423, -1, (this.commentMarker:1031:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: java.lang.Character escapeCharacter> = escape, 424, -1, (this.escapeCharacter:1032:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: boolean ignoreSurroundingSpaces> = ignoreSurroundingSpaces, 425, -1, (this.ignoreSurroundingSpaces:1033:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: boolean allowMissingColumnNames> = allowMissingColumnNames, 426, -1, (this.allowMissingColumnNames:1039:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: boolean ignoreEmptyLines> = ignoreEmptyLines, 427, -1, (this.ignoreEmptyLines:1034:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: java.lang.String nullString> = nullString, 429, -1, (this.nullString:1035:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, $stack15 = specialinvoke this.<org.apache.commons.csv.CSVFormat: java.lang.String[] toStringArray(java.lang.Object[])>(headerComments), 430, -1, (values:987:-1)
-1, java.lang.String[] toStringArray(java.lang.Object[]), org.apache.commons.csv.CSVFormat, if values != null goto $stack5 = lengthof values, 438, -1, (null:988:-1)
-1, java.lang.String[] toStringArray(java.lang.Object[]), org.apache.commons.csv.CSVFormat, return null, 439, -1, (stack15:989:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: java.lang.String[] headerComments> = $stack15, 430, -1, (this.headerComments:1036:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, if header != null goto $stack16 = virtualinvoke header.<java.lang.Object: java.lang.Object clone()>(), 431, -1, (:991:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, $stack17 = null, 431, -1, (stack17:993:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: java.lang.String[] header> = $stack17, 431, -1, (this.header:1037:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: boolean skipHeaderRecord> = skipHeaderRecord, 432, -1, (this.skipHeaderRecord:1038:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: boolean ignoreHeaderCase> = ignoreHeaderCase, 433, -1, (this.ignoreHeaderCase:1040:-1)
-1, void testBackslashEscaping2(), org.apache.commons.csv.CSVParserTest, $stack11 = virtualinvoke $stack10.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String)>("\r\n"), 129, -1, (this.allowMissingColumnNames:1039:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack2 = new org.apache.commons.csv.CSVFormat, 1259, -1, (stack2:1092:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack15 = this.<org.apache.commons.csv.CSVFormat: char delimiter>, 1259, -1, (delimiter:1043:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack14 = this.<org.apache.commons.csv.CSVFormat: java.lang.Character quoteCharacter>, 1259, -1, (quoteChar:1044:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack13 = this.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode>, 1259, -1, (quoteMode:1045:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack12 = this.<org.apache.commons.csv.CSVFormat: java.lang.Character commentMarker>, 1259, -1, (commentStart:1046:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack11 = this.<org.apache.commons.csv.CSVFormat: java.lang.Character escapeCharacter>, 1259, -1, (escape:1047:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack10 = this.<org.apache.commons.csv.CSVFormat: boolean ignoreSurroundingSpaces>, 1259, -1, (ignoreSurroundingSpaces:1048:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack9 = this.<org.apache.commons.csv.CSVFormat: boolean ignoreEmptyLines>, 1259, -1, (ignoreEmptyLines:1050:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack8 = this.<org.apache.commons.csv.CSVFormat: java.lang.String nullString>, 1259, -1, (nullString:1052:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack7 = this.<org.apache.commons.csv.CSVFormat: java.lang.String[] headerComments>, 1259, -1, (values:1054:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack6 = this.<org.apache.commons.csv.CSVFormat: java.lang.String[] header>, 1259, -1, (header:1057:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack5 = this.<org.apache.commons.csv.CSVFormat: boolean skipHeaderRecord>, 1259, -1, (skipHeaderRecord:1061:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack4 = this.<org.apache.commons.csv.CSVFormat: boolean allowMissingColumnNames>, 1259, -1, (allowMissingColumnNames:1049:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, $stack3 = this.<org.apache.commons.csv.CSVFormat: boolean ignoreHeaderCase>, 1259, -1, (ignoreHeaderCase:1062:-1)
-1, org.apache.commons.csv.CSVFormat withRecordSeparator(java.lang.String), org.apache.commons.csv.CSVFormat, specialinvoke $stack2.<org.apache.commons.csv.CSVFormat: void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean)>($stack15; $stack14; $stack13; $stack12; $stack11; $stack10; $stack9; recordSeparator; $stack8; $stack7; $stack6; $stack5; $stack4; $stack3), 1259, -1, (header:1057:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, specialinvoke this.<java.lang.Object: void <init>()>(), 419, -1, (stack2:1092:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, this.<org.apache.commons.csv.CSVFormat: java.lang.String recordSeparator> = recordSeparator, 428, -1, (stack2:1092:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.QuoteMode;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.Object[];java.lang.String[];boolean;boolean;boolean), org.apache.commons.csv.CSVFormat, specialinvoke this.<org.apache.commons.csv.CSVFormat: void validate()>(), 434, -1, (stack14:1089:-1)
