ID, Method, Class, Line, Source, Var
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack16 = new java.lang.StringBuilder, 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, specialinvoke $stack16.<java.lang.StringBuilder: void <init>()>(), 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack17 = virtualinvoke $stack16.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("ID;NAME"), 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack18 = this.<org.apache.commons.csv.CSVPrinterTest: java.lang.String recordSeparator>, 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack19 = virtualinvoke $stack17.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($stack18), 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack20 = virtualinvoke $stack19.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("1;r1"), 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack21 = this.<org.apache.commons.csv.CSVPrinterTest: java.lang.String recordSeparator>, 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack22 = virtualinvoke $stack20.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($stack21), 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack23 = virtualinvoke $stack22.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("2;r2"), 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack24 = this.<org.apache.commons.csv.CSVPrinterTest: java.lang.String recordSeparator>, 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack25 = virtualinvoke $stack23.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($stack24), 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack26 = virtualinvoke $stack25.<java.lang.StringBuilder: java.lang.String toString()>(), 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, $stack27 = virtualinvoke $stack7.<java.io.StringWriter: java.lang.String toString()>(), 288, -1, (sw:1808:-1)
-1, void testJdbcPrinterWithResultSetMetaData(), org.apache.commons.csv.CSVPrinterTest, staticinvoke <org.junit.Assert: void assertEquals(java.lang.Object;java.lang.Object)>($stack26; $stack27), 288, -1, (sw:1808:-1)
