ID, Method, Class, Line, Source, Var
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, $stack7 = new java.lang.StringBuilder, 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, specialinvoke $stack7.<java.lang.StringBuilder: void <init>()>(), 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, $stack8 = virtualinvoke $stack7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("# This is a comment"), 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, $stack9 = this.<org.apache.commons.csv.CSVPrinterTest: java.lang.String recordSeparator>, 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, $stack10 = virtualinvoke $stack8.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($stack9), 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, $stack11 = virtualinvoke $stack10.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("# on multiple lines"), 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, $stack12 = this.<org.apache.commons.csv.CSVPrinterTest: java.lang.String recordSeparator>, 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, $stack13 = virtualinvoke $stack11.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($stack12), 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, $stack14 = virtualinvoke $stack13.<java.lang.StringBuilder: java.lang.String toString()>(), 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, $stack15 = virtualinvoke $stack3.<java.io.StringWriter: java.lang.String toString()>(), 313, -1, (sw:1537:-1)
-1, void testMultiLineComment(), org.apache.commons.csv.CSVPrinterTest, staticinvoke <org.junit.Assert: void assertEquals(java.lang.Object;java.lang.Object)>($stack14; $stack15), 313, -1, (sw:1537:-1)
