ID, Method, Class, Line, Source, Var
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, $stack13 = new java.lang.StringBuilder, 154, -1, (printer:1573:-1)
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, specialinvoke $stack13.<java.lang.StringBuilder: void <init>()>(), 154, -1, (printer:1573:-1)
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, $stack14 = virtualinvoke $stack13.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("A;B;C;NewValue"), 154, -1, (printer:1573:-1)
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, $stack15 = <org.apache.commons.csv.CSVFormat: org.apache.commons.csv.CSVFormat DEFAULT>, 154, -1, (printer:1573:-1)
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, $stack16 = virtualinvoke $stack15.<org.apache.commons.csv.CSVFormat: java.lang.String getRecordSeparator()>(), 154, -1, (printer:1573:-1)
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, $stack17 = virtualinvoke $stack14.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($stack16), 154, -1, (printer:1573:-1)
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, $stack18 = virtualinvoke $stack17.<java.lang.StringBuilder: java.lang.String toString()>(), 154, -1, (printer:1573:-1)
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, $stack19 = virtualinvoke $stack4.<org.apache.commons.csv.CSVPrinter: java.lang.Appendable getOut()>(), 154, -1, (printer:1573:-1)
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, $stack20 = virtualinvoke $stack19.<java.lang.Object: java.lang.String toString()>(), 154, -1, (printer:1573:-1)
-1, void testRemoveAndAddColumns(), org.apache.commons.csv.CSVRecordTest, staticinvoke <org.junit.Assert: void assertEquals(java.lang.Object;java.lang.Object)>($stack18; $stack20), 154, -1, (printer:1573:-1)
