statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,1,3,117,91,0.046029
S2,0,4,11,197,0.0
S3,0,4,5,203,0.0
S4,0,4,5,203,0.0
S5,0,4,5,203,0.0
S6,0,4,5,203,0.0
S7,0,4,5,203,0.0
S8,0,4,5,203,0.0
S9,0,4,5,203,0.0
S10,0,4,5,203,0.0
S11,0,4,5,203,0.0
S12,2,2,186,22,0.072932
S13,2,2,186,22,0.072932
S14,2,2,186,22,0.072932
S15,2,2,186,22,0.072932
S16,2,2,186,22,0.072932
S17,2,2,186,22,0.072932
S18,2,2,186,22,0.072932
S19,0,4,18,190,0.0
S20,0,4,5,203,0.0
S21,2,2,186,22,0.072932
S22,2,2,186,22,0.072932
S23,2,2,186,22,0.072932
S24,2,2,186,22,0.072932
S25,2,2,186,22,0.072932
S26,2,2,186,22,0.072932
S27,2,2,186,22,0.072932
S28,2,2,186,22,0.072932
S29,2,2,186,22,0.072932
S30,2,2,186,22,0.072932
S31,2,2,186,22,0.072932
S32,2,2,186,22,0.072932
S33,2,2,186,22,0.072932
S34,2,2,186,22,0.072932
S35,2,2,186,22,0.072932
S36,2,2,186,22,0.072932
S37,2,2,186,22,0.072932
S38,2,2,186,22,0.072932
S39,0,4,4,204,0.0
S40,0,4,4,204,0.0
S41,0,4,4,204,0.0
S42,0,4,4,204,0.0
S43,0,4,4,204,0.0
S44,0,4,17,191,0.0
S45,0,4,6,202,0.0
S46,0,4,12,196,0.0
S47,0,4,1,207,0.0
S48,0,4,12,196,0.0
S49,0,4,1,207,0.0
S50,0,4,12,196,0.0
S51,0,4,12,196,0.0
S52,0,4,1,207,0.0
S53,0,4,11,197,0.0
S54,0,4,1,207,0.0
S55,0,4,10,198,0.0
S56,0,4,10,198,0.0
S57,0,4,1,207,0.0
S58,0,4,9,199,0.0
S59,0,4,1,207,0.0
S60,0,4,8,200,0.0
S61,0,4,1,207,0.0
S62,0,4,8,200,0.0
S63,0,4,1,207,0.0
S64,0,4,7,201,0.0
S65,0,4,1,207,0.0
S66,0,4,7,201,0.0
