ID, Method, Class, Line, Source, Var
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack11 = newarray (java.lang.String[])[2], 174, -1, (stack11:1873:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack12 = newarray (java.lang.String)[2], 174, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack12[0] = "hello", 174, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack12[1] = "", 174, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack11[0] = $stack12, 174, -1, (stack11:1873:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack13 = newarray (java.lang.String)[2], 174, -1, (stack13:43:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack13[0] = "world", 174, -1, (stack13:43:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack13[1] = "", 174, -1, (stack13:43:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack11[1] = $stack13, 174, -1, (stack11:1873:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack17 = lengthof $stack11, 181, -1, (stack17:4403:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack18 = (long) $stack17, 181, -1, (stack17:4403:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack19 = interfaceinvoke $stack16.<java.util.List: int size()>(), 181, -1, (stack17:4403:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack20 = (long) $stack19, 181, -1, (stack17:4403:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, staticinvoke <org.junit.Assert: void assertEquals(long;long)>($stack18; $stack20), 181, -1, (stack17:4403:-1)
