ID, Method, Class, Line, Source, Var
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack10 = newarray (java.lang.String)[8], 135, -1, (stack10:50:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack10[0] = "hello;\r\n\r\nworld;\r\n", 135, -1, (stack10:50:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack10[1] = "hello;\r\n\r\nworld;", 135, -1, (stack10:50:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack10[2] = "hello;\r\n\r\nworld;\"\"\r\n", 135, -1, (stack10:50:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack10[3] = "hello;\r\n\r\nworld;\"\"", 135, -1, (stack10:50:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack10[4] = "hello;\r\n\r\nworld;\n", 135, -1, (stack10:50:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack10[5] = "hello;\r\n\r\nworld;", 135, -1, (stack10:50:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack10[6] = "hello;\r\n\r\nworld;\"\"\n", 135, -1, (stack10:50:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack10[7] = "hello;\r\n\r\nworld;\"\"", 135, -1, (stack10:50:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack11 = newarray (java.lang.String[])[3], 145, -1, (stack11:1976:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack12 = newarray (java.lang.String)[2], 145, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack12[0] = "hello", 145, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack12[1] = "", 145, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack11[0] = $stack12, 145, -1, (stack11:1976:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack13 = newarray (java.lang.String)[1], 145, -1, (stack13:42:-1)
