ID, Method, Class, Line, Source, Var
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, $stack25 = interfaceinvoke $stack22.<java.util.Iterator: java.lang.Object next()>(), 597, -1, (:2691:-1)
-1, java.lang.Object next(), org.apache.commons.csv.CSVParser$1, $stack1 = virtualinvoke this.<org.apache.commons.csv.CSVParser$1: org.apache.commons.csv.CSVRecord next()>(), 277, -1, (:2693:-1)
-1, org.apache.commons.csv.CSVRecord next(), org.apache.commons.csv.CSVParser$1, this.<org.apache.commons.csv.CSVParser$1: org.apache.commons.csv.CSVRecord current> = null, 299, -1, (this.current:2752:-1)
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, $stack23 = interfaceinvoke $stack22.<java.util.Iterator: boolean hasNext()>(), 603, -1, (stack1:2753:-1)
-1, boolean hasNext(), org.apache.commons.csv.CSVParser$1, $stack1 = this.<org.apache.commons.csv.CSVParser$1: org.apache.commons.csv.CSVRecord current>, 290, -1, (stack1:2753:-1)
-1, boolean hasNext(), org.apache.commons.csv.CSVParser$1, if $stack1 != null goto $stack2 = this.<org.apache.commons.csv.CSVParser$1: org.apache.commons.csv.CSVRecord current>, 290, -1, (stack4:2822:-1)
-1, boolean hasNext(), org.apache.commons.csv.CSVParser$1, $stack4 = specialinvoke this.<org.apache.commons.csv.CSVParser$1: org.apache.commons.csv.CSVRecord getNextRecord()>(), 291, -1, (:2756:-1)
-1, org.apache.commons.csv.CSVRecord getNextRecord(), org.apache.commons.csv.CSVParser$1, $stack3 = virtualinvoke $stack2.<org.apache.commons.csv.CSVParser: org.apache.commons.csv.CSVRecord nextRecord()>(), 282, -1, (result:2820:-1)
-1, org.apache.commons.csv.CSVRecord nextRecord(), org.apache.commons.csv.CSVParser, result = null, 184, -1, (result:2820:-1)
-1, org.apache.commons.csv.CSVRecord nextRecord(), org.apache.commons.csv.CSVParser, return result, 221, -1, (stack3:2821:-1)
-1, org.apache.commons.csv.CSVRecord getNextRecord(), org.apache.commons.csv.CSVParser$1, return $stack3, 282, -1, (stack4:2822:-1)
-1, boolean hasNext(), org.apache.commons.csv.CSVParser$1, this.<org.apache.commons.csv.CSVParser$1: org.apache.commons.csv.CSVRecord current> = $stack4, 291, -1, (this.current:2823:-1)
-1, boolean hasNext(), org.apache.commons.csv.CSVParser$1, $stack2 = this.<org.apache.commons.csv.CSVParser$1: org.apache.commons.csv.CSVRecord current>, 294, -1, (stack2:2824:-1)
-1, boolean hasNext(), org.apache.commons.csv.CSVParser$1, if $stack2 == null goto $stack3 = 0, 294, -1, (:2825:-1)
-1, boolean hasNext(), org.apache.commons.csv.CSVParser$1, $stack3 = 0, 294, -1, (stack3:2826:-1)
-1, boolean hasNext(), org.apache.commons.csv.CSVParser$1, return $stack3, 294, -1, (stack23:2751:-1)
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, staticinvoke <org.junit.Assert: void assertFalse(boolean)>($stack23), 603, -1, (stack23:2751:-1)
