ID, Method, Class, Line, Source, Var
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack11 = newarray (java.lang.String[])[2], 174, -1, (stack11:1886:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack12 = newarray (java.lang.String)[2], 174, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack12[0] = "hello", 174, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack12[1] = "", 174, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack11[0] = $stack12, 174, -1, (stack11:1886:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack13 = newarray (java.lang.String)[2], 174, -1, (stack13:43:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack13[0] = "world", 174, -1, (stack13:43:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack13[1] = "", 174, -1, (stack13:43:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack11[1] = $stack13, 174, -1, (stack11:1886:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, $stack14 = new org.apache.commons.csv.CSVParser, 179, -1, (in:667:-1)
-1, void testEndOfFileBehaviorCSV(), org.apache.commons.csv.CSVParserTest, specialinvoke $stack14.<org.apache.commons.csv.CSVParser: void <init>(java.io.Reader)>($stack15), 179, -1, (:603:-1)
-1, void <clinit>(), org.apache.commons.csv.Constants, $stack0 = staticinvoke <java.lang.Character: java.lang.Character valueOf(char)>(34), 36, -1, (stack0:57:-1)
-1, void <clinit>(), org.apache.commons.csv.Constants, <org.apache.commons.csv.Constants: java.lang.Character DOUBLE_QUOTE_CHAR> = $stack0, 36, -1, (org.apache.commons.csv.Constants.DOUBLE_QUOTE_CHAR:182:-1)
-1, void <clinit>(), org.apache.commons.csv.CSVFormat, $stack3 = staticinvoke <org.apache.commons.csv.CSVFormat: org.apache.commons.csv.CSVFormat$CSVFormatBuilder newBuilder()>(), 486, -1, (org.apache.commons.csv.Constants.DOUBLE_QUOTE_CHAR:182:-1)
-1, org.apache.commons.csv.CSVFormat$CSVFormatBuilder newBuilder(), org.apache.commons.csv.CSVFormat, $stack1 = <org.apache.commons.csv.Constants: java.lang.Character DOUBLE_QUOTE_CHAR>, 442, -1, (quoteChar:194:-1)
-1, org.apache.commons.csv.CSVFormat$CSVFormatBuilder newBuilder(), org.apache.commons.csv.CSVFormat, specialinvoke $stack0.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[])>(44; $stack1; null; null; null; 0; 1; "\r\n"; ""; null), 442, -1, (quoteChar:194:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[]), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: char delimiter> = delimiter, 114, -1, (this.delimiter:234:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[]), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: java.lang.Character quoteChar> = quoteChar, 115, -1, (this.quoteChar:235:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[]), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: java.lang.Character escape> = escape, 118, -1, (this.escape:238:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[]), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: boolean ignoreEmptyLines> = ignoreEmptyLines, 120, -1, (this.ignoreEmptyLines:240:-1)
-1, void <clinit>(), org.apache.commons.csv.CSVFormat, $stack4 = virtualinvoke $stack3.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: org.apache.commons.csv.CSVFormat build()>(), 486, -1, (this.escape:238:-1)
-1, org.apache.commons.csv.CSVFormat build(), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, $stack11 = this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: char delimiter>, 148, -1, (delimiter:254:-1)
-1, org.apache.commons.csv.CSVFormat build(), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, $stack10 = this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: java.lang.Character quoteChar>, 148, -1, (quoteChar:255:-1)
-1, org.apache.commons.csv.CSVFormat build(), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, $stack7 = this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: java.lang.Character escape>, 148, -1, (escape:258:-1)
-1, org.apache.commons.csv.CSVFormat build(), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, $stack5 = this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: boolean ignoreEmptyLines>, 148, -1, (ignoreEmptyLines:260:-1)
-1, org.apache.commons.csv.CSVFormat build(), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, specialinvoke $stack1.<org.apache.commons.csv.CSVFormat: void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[])>($stack11; $stack10; $stack9; $stack8; $stack7; $stack6; $stack5; $stack4; $stack3; $stack2), 148, -1, (quoteChar:255:-1)
