ID, Method, Class, Line, Source, Var
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack11 = newarray (java.lang.String[])[3], 145, -1, (stack11:1963:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack12 = newarray (java.lang.String)[2], 145, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack12[0] = "hello", 145, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack12[1] = "", 145, -1, (stack12:39:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack11[0] = $stack12, 145, -1, (stack11:1963:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack13 = newarray (java.lang.String)[1], 145, -1, (stack13:42:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack13[0] = "", 145, -1, (stack13:42:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack11[1] = $stack13, 145, -1, (stack11:1963:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack14 = newarray (java.lang.String)[2], 145, -1, (stack14:46:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack14[0] = "world", 145, -1, (stack14:46:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack14[1] = "", 145, -1, (stack14:46:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack11[2] = $stack14, 145, -1, (stack11:1963:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack18 = lengthof $stack11, 154, -1, (stack18:11518:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack19 = (long) $stack18, 154, -1, (stack18:11518:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack20 = interfaceinvoke $stack17.<java.util.List: int size()>(), 154, -1, (stack18:11518:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, $stack21 = (long) $stack20, 154, -1, (stack18:11518:-1)
-1, void testEndOfFileBehaviourExcel(), org.apache.commons.csv.CSVParserTest, staticinvoke <org.junit.Assert: void assertEquals(long;long)>($stack19; $stack21), 154, -1, (stack18:11518:-1)
