ID, Method, Class, Line, Source, Var
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, $stack7 = new org.apache.commons.csv.CSVParser, 585, -1, (in:740:-1)
-1, void <clinit>(), org.apache.commons.csv.Constants, $stack0 = staticinvoke <java.lang.Character: java.lang.Character valueOf(char)>(34), 36, -1, (stack0:32:-1)
-1, void <clinit>(), org.apache.commons.csv.Constants, <org.apache.commons.csv.Constants: java.lang.Character DOUBLE_QUOTE_CHAR> = $stack0, 36, -1, (org.apache.commons.csv.Constants.DOUBLE_QUOTE_CHAR:579:-1)
-1, void <clinit>(), org.apache.commons.csv.CSVFormat, $stack12 = staticinvoke <org.apache.commons.csv.CSVFormat: org.apache.commons.csv.CSVFormat$CSVFormatBuilder newBuilder()>(), 527, -1, (org.apache.commons.csv.Constants.DOUBLE_QUOTE_CHAR:579:-1)
-1, org.apache.commons.csv.CSVFormat$CSVFormatBuilder newBuilder(), org.apache.commons.csv.CSVFormat, $stack1 = <org.apache.commons.csv.Constants: java.lang.Character DOUBLE_QUOTE_CHAR>, 442, -1, (quoteChar:591:-1)
-1, org.apache.commons.csv.CSVFormat$CSVFormatBuilder newBuilder(), org.apache.commons.csv.CSVFormat, specialinvoke $stack0.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[])>(44; $stack1; null; null; null; 0; 1; "\r\n"; ""; null), 442, -1, (delimiter:590:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[]), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: char delimiter> = delimiter, 114, -1, (this.delimiter:638:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[]), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: java.lang.Character quoteChar> = quoteChar, 115, -1, (this.quoteChar:639:-1)
-1, void <init>(char;java.lang.Character;org.apache.commons.csv.Quote;java.lang.Character;java.lang.Character;boolean;boolean;java.lang.String;java.lang.String;java.lang.String[]), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: java.lang.Character escape> = escape, 118, -1, (this.escape:642:-1)
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, $stack10 = newarray (java.lang.String)[3], 585, -1, (header:607:-1)
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, $stack10[0] = "A", 585, -1, (header:607:-1)
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, $stack10[1] = "B", 585, -1, (header:607:-1)
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, $stack10[2] = "C", 585, -1, (header:607:-1)
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, $stack11 = virtualinvoke $stack9.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: org.apache.commons.csv.CSVFormat$CSVFormatBuilder withHeader(java.lang.String[])>($stack10), 585, -1, (header:607:-1)
-1, org.apache.commons.csv.CSVFormat$CSVFormatBuilder withHeader(java.lang.String[]), org.apache.commons.csv.CSVFormat$CSVFormatBuilder, this.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: java.lang.String[] header> = header, 303, -1, (this.header:647:-1)
-1, void testGetHeaderMap(), org.apache.commons.csv.CSVParserTest, $stack12 = virtualinvoke $stack11.<org.apache.commons.csv.CSVFormat$CSVFormatBuilder: org.apache.commons.csv.CSVFormat build()>(), 585, -1, (this.header:647:-1)
