statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,2,2,47,0.0
S2,0,2,1,48,0.0
S3,2,0,33,16,0.239046
S4,2,0,32,17,0.242536
S5,0,2,3,46,0.0
S6,0,2,14,35,0.0
S7,0,2,25,24,0.0
S8,0,2,13,36,0.0
S9,0,2,10,39,0.0
S10,0,2,2,47,0.0
S11,0,2,3,46,0.0
S12,0,2,3,46,0.0
S13,2,0,33,16,0.239046
S14,0,2,4,45,0.0
S15,2,0,9,40,0.426401
S16,2,0,9,40,0.426401
S17,0,2,2,47,0.0
S18,0,2,5,44,0.0
S19,0,2,6,43,0.0
S20,0,2,2,47,0.0
S21,0,2,1,48,0.0
S22,0,2,1,48,0.0
S23,0,2,1,48,0.0
S24,0,2,1,48,0.0
S25,0,2,1,48,0.0
S26,0,2,2,47,0.0
S27,0,2,2,47,0.0
S28,2,0,31,18,0.246183
S29,0,2,10,39,0.0
S30,0,2,8,41,0.0
S31,2,0,11,38,0.392232
S32,0,2,2,47,0.0
S33,0,2,3,46,0.0
S34,2,0,33,16,0.239046
S35,2,0,33,16,0.239046
S36,0,2,3,46,0.0
S37,0,2,14,35,0.0
S38,2,0,33,16,0.239046
S39,0,2,14,35,0.0
S40,0,2,15,34,0.0
S41,0,2,3,46,0.0
S42,0,2,3,46,0.0
S43,0,2,8,41,0.0
S44,0,2,14,35,0.0
S45,2,0,33,16,0.239046
S46,2,0,33,16,0.239046
S47,0,2,5,44,0.0
S48,0,2,15,34,0.0
S49,0,2,14,35,0.0
S50,2,0,33,16,0.239046
S51,0,2,5,44,0.0
S52,2,0,33,16,0.239046
S53,2,0,33,16,0.239046
S54,2,0,33,16,0.239046
S55,2,0,33,16,0.239046
S56,0,2,3,46,0.0
S57,0,2,3,46,0.0
S58,0,2,3,46,0.0
S59,0,2,3,46,0.0
S60,0,2,3,46,0.0
S61,2,0,33,16,0.239046
S62,2,0,33,16,0.239046
S63,0,2,1,48,0.0
S64,0,2,1,48,0.0
S65,2,0,33,16,0.239046
S66,0,2,1,48,0.0
S67,0,2,1,48,0.0
S68,0,2,1,48,0.0
S69,0,2,1,48,0.0
S70,2,0,33,16,0.239046
S71,0,2,6,43,0.0
S72,2,0,33,16,0.239046
S73,0,2,17,32,0.0
S74,2,0,33,16,0.239046
S75,0,2,12,37,0.0
S76,2,0,33,16,0.239046
S77,0,2,4,45,0.0
S78,0,2,4,45,0.0
S79,2,0,33,16,0.239046
S80,2,0,33,16,0.239046
S81,0,2,18,31,0.0
S82,2,0,33,16,0.239046
S83,2,0,15,34,0.342997
S84,2,0,15,34,0.342997
S85,2,0,33,16,0.239046
S86,0,2,26,23,0.0
S87,2,0,33,16,0.239046
S88,0,2,2,47,0.0
S89,0,2,2,47,0.0
