statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,4,2,71,0.0
S2,1,3,1,72,0.353553
S3,3,1,72,1,0.173205
S4,3,1,72,1,0.173205
S5,3,1,72,1,0.173205
S6,3,1,72,1,0.173205
S7,3,1,72,1,0.173205
S8,3,1,72,1,0.173205
S9,3,1,72,1,0.173205
S10,3,1,72,1,0.173205
S11,3,1,72,1,0.173205
S12,3,1,72,1,0.173205
S13,3,1,72,1,0.173205
S14,3,1,72,1,0.173205
S15,0,4,2,71,0.0
S16,3,1,72,1,0.173205
S17,3,1,72,1,0.173205
S18,0,4,4,69,0.0
S19,3,1,72,1,0.173205
S20,3,1,72,1,0.173205
S21,3,1,72,1,0.173205
S22,3,1,72,1,0.173205
S23,3,1,72,1,0.173205
S24,3,1,72,1,0.173205
S25,0,4,7,66,0.0
S26,0,4,7,66,0.0
S27,0,4,7,66,0.0
S28,0,4,7,66,0.0
S29,3,1,72,1,0.173205
S30,3,1,72,1,0.173205
S31,3,1,72,1,0.173205
S32,3,1,72,1,0.173205
S33,3,1,72,1,0.173205
S34,3,1,72,1,0.173205
S35,3,1,72,1,0.173205
S36,0,4,5,68,0.0
S37,0,4,5,68,0.0
S38,3,1,72,1,0.173205
S39,3,1,72,1,0.173205
S40,3,1,72,1,0.173205
S41,3,1,72,1,0.173205
S42,0,4,1,72,0.0
S43,0,4,1,72,0.0
S44,1,3,1,72,0.353553
S45,3,1,72,1,0.173205
S46,3,1,72,1,0.173205
S47,3,1,72,1,0.173205
S48,0,4,2,71,0.0
S49,0,4,2,71,0.0
S50,3,1,72,1,0.173205
S51,3,1,72,1,0.173205
S52,3,1,72,1,0.173205
S53,3,1,72,1,0.173205
S54,3,1,72,1,0.173205
S55,3,1,72,1,0.173205
S56,3,1,72,1,0.173205
S57,3,1,72,1,0.173205
S58,3,1,72,1,0.173205
S59,3,1,72,1,0.173205
S60,3,1,72,1,0.173205
S61,1,3,1,72,0.353553
S62,3,1,72,1,0.173205
S63,3,1,72,1,0.173205
S64,3,1,72,1,0.173205
S65,3,1,72,1,0.173205
S66,3,1,72,1,0.173205
S67,3,1,72,1,0.173205
S68,3,1,72,1,0.173205
S69,3,1,72,1,0.173205
S70,3,1,72,1,0.173205
S71,3,1,72,1,0.173205
S72,3,1,72,1,0.173205
S73,3,1,72,1,0.173205
S74,3,1,53,20,0.200446
S75,3,1,69,4,0.176777
S76,3,1,51,22,0.204124
S77,1,3,32,41,0.087039
S78,3,1,51,22,0.204124
S79,3,1,51,22,0.204124
S80,0,4,2,71,0.0
S81,3,1,69,4,0.176777
S82,0,4,20,53,0.0
S83,0,4,23,50,0.0
S84,0,4,4,69,0.0
S85,0,4,3,70,0.0
S86,0,4,20,53,0.0
S87,0,4,7,66,0.0
S88,0,4,2,71,0.0
S89,3,1,51,22,0.204124
S90,3,1,51,22,0.204124
S91,3,1,51,22,0.204124
S92,3,1,51,22,0.204124
S93,3,1,51,22,0.204124
S94,3,1,45,28,0.216506
S95,0,4,4,69,0.0
S96,0,4,4,69,0.0
S97,0,4,4,69,0.0
S98,0,4,4,69,0.0
S99,0,4,3,70,0.0
S100,0,4,3,70,0.0
S101,3,1,51,22,0.204124
S102,1,3,33,40,0.085749
S103,1,3,33,40,0.085749
S104,3,1,49,24,0.208013
S105,0,4,4,69,0.0
S106,0,4,4,69,0.0
S107,0,4,4,69,0.0
S108,0,4,4,69,0.0
S109,3,1,49,24,0.208013
S110,3,1,49,24,0.208013
S111,0,4,6,67,0.0
S112,0,4,6,67,0.0
S113,0,4,6,67,0.0
S114,3,1,49,24,0.208013
S115,0,4,10,63,0.0
S116,3,1,49,24,0.208013
S117,0,4,16,57,0.0
S118,3,1,49,24,0.208013
S119,1,3,13,60,0.133631
S120,3,1,48,25,0.210042
S121,0,4,5,68,0.0
S122,0,4,5,68,0.0
S123,3,1,48,25,0.210042
S124,3,1,48,25,0.210042
S125,3,1,48,25,0.210042
S126,1,3,32,41,0.087039
S127,1,3,32,41,0.087039
S128,3,1,48,25,0.210042
S129,2,2,26,47,0.188982
S130,2,2,26,47,0.188982
S131,2,2,26,47,0.188982
S132,3,1,48,25,0.210042
S133,1,3,34,39,0.084515
S134,1,3,34,39,0.084515
S135,3,1,48,25,0.210042
S136,3,1,11,62,0.400892
S137,3,1,10,63,0.416025
S138,3,1,10,63,0.416025
S139,3,1,10,63,0.416025
S140,3,1,10,63,0.416025
S141,3,1,48,25,0.210042
S142,3,1,48,25,0.210042
S143,3,1,47,26,0.212132
S144,0,4,6,67,0.0
S145,3,1,47,26,0.212132
S146,1,3,13,60,0.133631
S147,1,3,13,60,0.133631
S148,1,3,13,60,0.133631
S149,1,3,0,73,0.5
S150,1,3,0,73,0.5
S151,1,3,0,73,0.5
S152,1,3,0,73,0.5
S153,1,3,13,60,0.133631
S154,1,3,5,68,0.204124
S155,1,3,5,68,0.204124
S156,1,3,13,60,0.133631
S157,1,3,13,60,0.133631
S158,1,3,8,65,0.166667
S159,1,3,8,65,0.166667
S160,1,3,10,63,0.150756
S161,0,4,4,69,0.0
S162,0,4,4,69,0.0
S163,0,4,4,69,0.0
S164,1,3,10,63,0.150756
S165,1,3,9,64,0.158114
S166,1,3,9,64,0.158114
S167,0,4,1,72,0.0
S168,0,4,9,64,0.0
S169,0,4,9,64,0.0
S170,1,3,32,41,0.087039
S171,1,3,32,41,0.087039
S172,0,4,6,67,0.0
S173,1,3,32,41,0.087039
S174,1,3,32,41,0.087039
S175,1,3,32,41,0.087039
S176,1,3,17,56,0.117851
S177,0,4,1,72,0.0
S178,0,4,4,69,0.0
S179,0,4,4,69,0.0
S180,1,3,32,41,0.087039
S181,1,3,32,41,0.087039
S182,1,3,32,41,0.087039
S183,1,3,32,41,0.087039
S184,1,3,32,41,0.087039
