ID, Method, Class, Line, Source, Var
-1, com.fasterxml.jackson.core.JsonParser createParser(java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlFactory, $stack7 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser _createParser(java.io.Reader;com.fasterxml.jackson.core.io.IOContext)>(r; $stack5), 429, -1, (:305:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser _createParser(java.io.Reader;com.fasterxml.jackson.core.io.IOContext), com.fasterxml.jackson.dataformat.xml.XmlFactory, specialinvoke $stack8.<com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser: void <init>(com.fasterxml.jackson.core.io.IOContext;int;int;com.fasterxml.jackson.core.ObjectCodec;javax.xml.stream.XMLStreamReader)>(ctxt; $stack11; $stack10; $stack9; $stack7), 559, -1, (:314:-1)
-1, void <init>(com.fasterxml.jackson.core.io.IOContext;int;int;com.fasterxml.jackson.core.ObjectCodec;javax.xml.stream.XMLStreamReader), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, $stack6 = staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createRootContext(int;int)>($i0; $i1), 170, -1, (:316:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createRootContext(int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, specialinvoke $stack2.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: void <init>(com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext;int;int;int)>(null; 0; lineNr; colNr), 79, -1, (:318:-1)
-1, void <init>(com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext;int;int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, this.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext _child> = null, 48, -1, (this._child:407:-1)
-1, com.fasterxml.jackson.core.JsonToken nextToken(), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, $stack109 = virtualinvoke $stack108.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int)>($i0; $i1), 454, -1, (this._child:407:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, ctxt = this.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext _child>, 99, -1, (ctxt:408:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, if ctxt != null goto virtualinvoke ctxt.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: void reset(int;int;int)>(2; lineNr; colNr), 100, -1, (:410:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, specialinvoke $stack4.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: void <init>(com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext;int;int;int)>(this; 2; lineNr; colNr), 101, -1, (:412:-1)
-1, com.fasterxml.jackson.core.JsonToken nextToken(), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, this.<com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser: boolean _mayBeLeaf> = 1, 500, -1, (this._mayBeLeaf:1028:-1)
