ID, Method, Class, Line, Source, Var
-1, com.fasterxml.jackson.core.JsonParser createParser(java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlFactory, $stack7 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser _createParser(java.io.Reader;com.fasterxml.jackson.core.io.IOContext)>(r; $stack5), 429, -1, (:391:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser _createParser(java.io.Reader;com.fasterxml.jackson.core.io.IOContext), com.fasterxml.jackson.dataformat.xml.XmlFactory, specialinvoke $stack8.<com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser: void <init>(com.fasterxml.jackson.core.io.IOContext;int;int;com.fasterxml.jackson.core.ObjectCodec;javax.xml.stream.XMLStreamReader)>(ctxt; $stack11; $stack10; $stack9; $stack7), 559, -1, (:400:-1)
-1, void <init>(com.fasterxml.jackson.core.io.IOContext;int;int;com.fasterxml.jackson.core.ObjectCodec;javax.xml.stream.XMLStreamReader), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, $stack6 = staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createRootContext(int;int)>($i0; $i1), 170, -1, (:402:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createRootContext(int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, specialinvoke $stack2.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: void <init>(com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext;int;int;int)>(null; 0; lineNr; colNr), 79, -1, (:404:-1)
-1, void <init>(com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext;int;int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, this.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext _child> = null, 48, -1, (this._child:493:-1)
-1, com.fasterxml.jackson.core.JsonToken nextToken(), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, $stack109 = virtualinvoke $stack108.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int)>($i0; $i1), 454, -1, (this._child:493:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, ctxt = this.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext _child>, 99, -1, (ctxt:494:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, if ctxt != null goto virtualinvoke ctxt.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: void reset(int;int;int)>(2; lineNr; colNr), 100, -1, (:496:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, specialinvoke $stack4.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: void <init>(com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext;int;int;int)>(this; 2; lineNr; colNr), 101, -1, (:498:-1)
-1, com.fasterxml.jackson.core.JsonToken nextToken(), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, this.<com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser: boolean _mayBeLeaf> = 1, 500, -1, (this._mayBeLeaf:1114:-1)
-1, com.fasterxml.jackson.core.JsonToken nextToken(), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, if t#4 != 1 goto (branch), 476, -1, (stack73:1115:-1)
-1, com.fasterxml.jackson.core.JsonToken nextToken(), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, $stack73 = this.<com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser: boolean _mayBeLeaf>, 478, -1, (stack73:1115:-1)
-1, com.fasterxml.jackson.core.JsonToken nextToken(), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, if $stack73 == 0 goto $stack74 = this.<com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext _parsingContext>, 478, -1, (:1121:-1)
-1, com.fasterxml.jackson.core.JsonToken nextToken(), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, $stack93 = virtualinvoke $stack92.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int)>($i4; $i5), 481, -1, (this._child:1122:-1)
-1, com.fasterxml.jackson.core.JsonToken nextToken(), com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser, $stack55 = virtualinvoke $stack54.<com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext: com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext createChildObjectContext(int;int)>($i6; $i7), 527, -1, (this._child:1208:-1)
-1, void <init>(com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext;int;int;int), com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext, specialinvoke this.<com.fasterxml.jackson.core.JsonStreamContext: void <init>()>(), 58, -1, (:1253:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Optional, this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Optional: java.lang.String number> = "NOT SET", 70, -1, (opt.number:1605:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Optional, this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Optional: java.lang.String type> = "NOT SET", 73, -1, (opt.type:1607:-1)
-1, void testOptionals(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, $stack9 = ob.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Optionals: java.util.List optional>, 155, -1, (stack9:1603:-1)
-1, void testOptionals(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, $stack10 = interfaceinvoke $stack9.<java.util.List: java.lang.Object get(int)>(0), 155, -1, (stack10:1604:-1)
-1, void testOptionals(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, opt = (com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Optional) $stack10, 155, -1, (opt:1608:-1)
-1, void testOptionals(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, $stack11 = opt.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Optional: java.lang.String number>, 156, -1, (stack11:1606:-1)
-1, void testOptionals(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest: void assertEquals(java.lang.String;java.lang.String)>("123-456-7890"; $stack11), 156, -1, (opt:1608:-1)
-1, void testOptionals(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, $stack12 = opt.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Optional: java.lang.String type>, 157, -1, (stack12:1608:-1)
-1, void testOptionals(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest: void assertEquals(java.lang.String;java.lang.String)>("work"; $stack12), 157, -1, (opt:1608:-1)
