test_case,result,assertion_source_lines,dynamic_pass_asserts,dynamic_fail_asserts,trace_source
com.fasterxml.jackson.dataformat.xml.RoundtripContentTest::testRoundtrip,PASS,0,0,0,
com.fasterxml.jackson.dataformat.xml.VersionInfoTest::testMapperVersions,PASS,0,0,0,
com.fasterxml.jackson.dataformat.xml.VersionInfoTest::testMapperCopy,PASS,6,13,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testMapperCopy_xf2_L38_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.VersionInfoTest::testMapperSerialization,PASS,2,6,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testMapperSerialization_mapper2_L57_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.adapters.TestIssue47Attribute::testEmptyStringFromElemAndAttr,PASS,3,10,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testEmptyStringFromElemAndAttr_res_L32_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.TestBinaryData::testTwoBinaryProps,PASS,2,10,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testTwoBinaryProps_new_L43_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testRoundTripWithJacksonExample,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_passed/testRoundTripWithJacksonExample_result_L42_P_1/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testFromAttribute,PASS,2,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testFromAttribute_bean_L49_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testMapWithAttr,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testMapWithAttr_map_L68_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testOptionalAttr,PASS,3,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testOptionalAttr_ob_L79_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testMissingOptionalAttr,PASS,3,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testMissingOptionalAttr_ob_L88_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.TestEnums::testEnum,PASS,2,4,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_slicer4j_passed/testEnum_result_L29_P_2/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testSimpleStringElement,PASS,2,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testSimpleStringElement_bean_L35_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testEmptyStringElement,PASS,3,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_1b/step2_slicing/_assert_trace_only/testEmptyStringElement_bean_L47_traceonly/trace.log_icdg.log
