ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void setupModule(com.fasterxml.jackson.databind.Module$SetupContext)>(context), 72, -1, (:274:-1)
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 61, -1, (:351:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 123, -1, (:352:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:369:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, this.<com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 30, -1, (this.MAPPER:581:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack4 = new com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser, 38, -1, (stack4:582:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack6 = <com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender: com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender MALE>, 38, -1, (g:578:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack5 = newarray (byte)[5], 38, -1, (data:579:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack5[0] = 1, 38, -1, (data:579:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack5[1] = 2, 38, -1, (data:579:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack5[2] = 3, 38, -1, (data:579:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack5[3] = 4, 38, -1, (data:579:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack5[4] = 5, 38, -1, (data:579:-1)
-1, void <clinit>(), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender, $stack0 = new com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender, 33, -1, (this:553:-1)
-1, void <clinit>(), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender, specialinvoke $stack0.<com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender: void <init>(java.lang.String;int)>("MALE"; 0), 33, -1, (r0:554:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender, specialinvoke this.<java.lang.Enum: void <init>(java.lang.String;int)>(l1; l2), 33, -1, (stack0:555:-1)
-1, void <clinit>(), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender, <com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender: com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender MALE> = $stack0, 33, -1, (com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender.MALE:544:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, specialinvoke $stack4.<com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser: void <init>(java.lang.String;java.lang.String;boolean;com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender;byte[])>("Joe"; "Sixpack"; 1; $stack6; $stack5), 38, -1, (verified:577:-1)
-1, void <init>(java.lang.String;java.lang.String;boolean;com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender;byte[]), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser, specialinvoke this.<java.lang.Object: void <init>()>(), 69, -1, (stack4:582:-1)
-1, void <init>(java.lang.String;java.lang.String;boolean;com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender;byte[]), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser, $stack6 = new com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Name, 70, -1, (this:572:-1)
-1, void <init>(java.lang.String;java.lang.String;boolean;com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender;byte[]), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser, specialinvoke $stack6.<com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Name: void <init>(java.lang.String;java.lang.String)>(first; last), 70, -1, (l:574:-1)
-1, void <init>(java.lang.String;java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Name, specialinvoke this.<java.lang.Object: void <init>()>(), 40, -1, (stack6:576:-1)
-1, void <init>(java.lang.String;java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Name, this.<com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Name: java.lang.String _first> = f, 41, -1, (stack6:576:-1)
-1, void <init>(java.lang.String;java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Name, this.<com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Name: java.lang.String _last> = l, 42, -1, (stack6:576:-1)
-1, void <init>(java.lang.String;java.lang.String;boolean;com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender;byte[]), com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser, this.<com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser: com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Name _name> = $stack6, 70, -1, (stack4:582:-1)
