ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 61, -1, (:179:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 123, -1, (:180:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:197:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 78, -1, (this.MAPPER:571:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack4 = new com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, 90, -1, (this:560:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, specialinvoke $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: void <init>(java.lang.String;int)>("Name"; 30), 90, -1, (stack3:563:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, specialinvoke this.<java.lang.Object: void <init>()>(), 31, -1, (stack4:572:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, $stack3 = new java.util.ArrayList, 26, -1, (stack3:562:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, specialinvoke $stack3.<java.util.ArrayList: void <init>()>(), 26, -1, (stack3:563:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: java.util.List notes> = $stack3, 26, -1, (stack4.notes:567:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: java.lang.String name> = name, 32, -1, (stack4:572:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: int age> = age, 33, -1, (stack4:572:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack5 = $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: java.util.List notes>, 91, -1, (stack5:568:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, interfaceinvoke $stack5.<java.util.List: boolean add(java.lang.Object)>("note 1"), 91, -1, (stack4:572:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack7 = $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: java.util.List notes>, 92, -1, (stack7:570:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, interfaceinvoke $stack7.<java.util.List: boolean add(java.lang.Object)>("note 2"), 92, -1, (stack4:572:-1)
