ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void setupModule(com.fasterxml.jackson.databind.Module$SetupContext)>(context), 72, -1, (:265:-1)
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 61, -1, (:268:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 123, -1, (:269:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:286:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 78, -1, (this.MAPPER:570:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack4 = new com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, 105, -1, (stack4:571:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, specialinvoke $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: void <init>(java.lang.String)>("abc"), 105, -1, (id:564:-1)
-1, void <init>(java.lang.String), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, specialinvoke this.<java.lang.Object: void <init>()>(), 45, -1, (stack4:571:-1)
-1, void <init>(java.lang.String), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, $stack2 = new java.util.ArrayList, 42, -1, (stack2:562:-1)
-1, void <init>(java.lang.String), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, specialinvoke $stack2.<java.util.ArrayList: void <init>()>(), 42, -1, (stack2:563:-1)
-1, void <init>(java.lang.String), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: java.util.List _notes> = $stack2, 42, -1, (stack4._notes:566:-1)
-1, void <init>(java.lang.String), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: java.lang.String id> = id, 46, -1, (stack4:571:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack5 = $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: java.util.List _notes>, 106, -1, (stack5:567:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, interfaceinvoke $stack5.<java.util.List: boolean add(java.lang.Object)>("note 1"), 106, -1, (stack4._notes:568:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack7 = $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: java.util.List _notes>, 107, -1, (stack7:569:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, interfaceinvoke $stack7.<java.util.List: boolean add(java.lang.Object)>("note 2"), 107, -1, (stack4:571:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack9 = this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 108, -1, (stack9:571:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack10 = virtualinvoke $stack9.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.String writeValueAsString(java.lang.Object)>($stack4), 108, -1, (this.MAPPER:2044:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack11 = this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 109, -1, (stack11:2045:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack12 = virtualinvoke $stack11.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.Object readValue(java.lang.String;java.lang.Class)>($stack10; class "Lcom/fasterxml/jackson/dataformat/xml/lists/ListDeserializationTest$PersonWithGetters;"), 109, -1, (stack12:3057:-1)
-1, void setStuff(java.util.List), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: java.util.List _notes> = n, 56, -1, (result._notes:3064:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, result = (com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters) $stack12, 109, -1, (result:3065:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: void assertNotNull(java.lang.Object)>(result), 110, -1, (result:3065:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack13 = result.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: java.lang.String id>, 111, -1, (stack13:3060:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: void assertEquals(java.lang.String;java.lang.String)>("abc"; $stack13), 111, -1, (result:3065:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack14 = result.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: java.util.List _notes>, 112, -1, (stack14:3062:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack16 = interfaceinvoke $stack14.<java.util.List: int size()>(), 112, -1, (result:3065:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack17 = result.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: java.util.List _notes>, 113, -1, (stack17:3065:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack19 = interfaceinvoke $stack17.<java.util.List: java.lang.Object get(int)>(0), 113, -1, (result:3065:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack20 = (java.lang.String) $stack19, 113, -1, (result:3065:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: void assertEquals(java.lang.String;java.lang.String)>("note 1"; $stack20), 113, -1, (result:3065:-1)
