ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void setupModule(com.fasterxml.jackson.databind.Module$SetupContext)>(context), 72, -1, (:277:-1)
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 61, -1, (:535:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 123, -1, (:536:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:553:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 78, -1, (this.MAPPER:571:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack4 = new com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, 90, -1, (this:560:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, specialinvoke $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: void <init>(java.lang.String;int)>("Name"; 30), 90, -1, (stack3:563:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, specialinvoke this.<java.lang.Object: void <init>()>(), 31, -1, (stack4:572:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, $stack3 = new java.util.ArrayList, 26, -1, (stack3:563:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, specialinvoke $stack3.<java.util.ArrayList: void <init>()>(), 26, -1, (stack3:563:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: java.util.List notes> = $stack3, 26, -1, (stack4:572:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: java.lang.String name> = name, 32, -1, (stack4:572:-1)
-1, void <init>(java.lang.String;int), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: int age> = age, 33, -1, (stack4:572:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack5 = $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: java.util.List notes>, 91, -1, (stack5:568:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, interfaceinvoke $stack5.<java.util.List: boolean add(java.lang.Object)>("note 1"), 91, -1, (stack4.notes:569:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack7 = $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$Person: java.util.List notes>, 92, -1, (stack7:570:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, interfaceinvoke $stack7.<java.util.List: boolean add(java.lang.Object)>("note 2"), 92, -1, (stack4:572:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack9 = this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 93, -1, (stack9:572:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack10 = virtualinvoke $stack9.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.String writeValueAsString(java.lang.Object)>($stack4), 93, -1, (stack10:2480:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack11 = this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 94, -1, (stack11:2480:-1)
-1, void testWrappedList(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack12 = virtualinvoke $stack11.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.Object readValue(java.lang.String;java.lang.Class)>($stack10; class "Lcom/fasterxml/jackson/dataformat/xml/lists/ListDeserializationTest$Person;"), 94, -1, (stack12:3915:-1)
-1, com.fasterxml.jackson.core.JsonParser createParser(java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlFactory, $stack7 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser _createParser(java.io.Reader;com.fasterxml.jackson.core.io.IOContext)>(r; $stack5), 429, -1, (:2499:-1)
