ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 65, -1, (:215:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 126, -1, (:216:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:235:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, this.<com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 32, -1, (this.MAPPER:237:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack2 = this.<com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 36, -1, (stack2:238:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack3 = virtualinvoke $stack2.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.Object readValue(java.lang.String;java.lang.Class)>("<Config id=\'123\'>\n  <entry id=\'foo\'> </entry>\n</Config>\n"; class "Lcom/fasterxml/jackson/dataformat/xml/lists/EmptyListDeserTest$Config;"), 36, -1, (stack3:1602:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, r = (com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest$Config) $stack3, 36, -1, (r:1614:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest: void assertNotNull(java.lang.Object)>(r), 41, -1, (r:1614:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack4 = r.<com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest$Config: java.lang.String id>, 42, -1, (stack4:1605:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest: void assertEquals(java.lang.String;java.lang.String)>("123"; $stack4), 42, -1, (r:1614:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack5 = r.<com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest$Config: java.util.List entry>, 43, -1, (stack5:1607:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest: void assertNotNull(java.lang.Object)>($stack5), 43, -1, (r:1614:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack6 = r.<com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest$Config: java.util.List entry>, 44, -1, (stack6:1609:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack8 = interfaceinvoke $stack6.<java.util.List: int size()>(), 44, -1, (r:1614:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack9 = r.<com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest$Config: java.util.List entry>, 45, -1, (r:1614:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack11 = interfaceinvoke $stack9.<java.util.List: java.lang.Object get(int)>(0), 45, -1, (r:1614:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack12 = (com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest$Entry) $stack11, 45, -1, (r:1614:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, $stack13 = $stack12.<com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest$Entry: java.lang.String id>, 45, -1, (r:1614:-1)
-1, void testEmptyList(), com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest: void assertEquals(java.lang.String;java.lang.String)>("foo"; $stack13), 45, -1, (r:1614:-1)
