ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 65, -1, (:215:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 126, -1, (:216:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:235:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, this.<com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 16, -1, (this.MAPPER:239:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, $stack4 = new java.io.IOException, 21, -1, (stack4:238:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, specialinvoke $stack4.<java.io.IOException: void <init>(java.lang.String)>("test"), 21, -1, (stack4:240:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, $stack5 = this.<com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 22, -1, (stack5:240:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, $stack6 = virtualinvoke $stack5.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.String writeValueAsString(java.lang.Object)>($stack4), 22, -1, (this.MAPPER:10553:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, $stack7 = this.<com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 23, -1, (stack7:10554:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, $stack8 = virtualinvoke $stack7.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.Object readValue(java.lang.String;java.lang.Class)>($stack6; class "Ljava/io/IOException;"), 23, -1, (stack8:29040:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, e = (java.io.IOException) $stack8, 23, -1, (e:29041:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest: void assertNotNull(java.lang.Object)>(e), 24, -1, (e:29042:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, $stack10 = virtualinvoke e.<java.io.IOException: java.lang.String getMessage()>(), 25, -1, (e:29042:-1)
-1, void testEmptyString162(), com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest: void assertEquals(java.lang.String;java.lang.String)>("test"; $stack10), 25, -1, (e:29042:-1)
