ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void setupModule(com.fasterxml.jackson.databind.Module$SetupContext)>(context), 75, -1, (:317:-1)
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 65, -1, (:401:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 126, -1, (:402:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:421:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 88, -1, (this.MAPPER:454:-1)
-1, void testListWithAttrOnlyValues(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, $stack4 = new com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$PointContainer, 125, -1, (this:425:-1)
-1, void testListWithAttrOnlyValues(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, specialinvoke $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$PointContainer: void <init>()>(), 125, -1, (r0:426:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$PointContainer, specialinvoke this.<java.lang.Object: void <init>()>(), 62, -1, (stack4:455:-1)
-1, void testListWithAttrOnlyValues(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, $stack5 = new java.util.ArrayList, 126, -1, (stack5:428:-1)
-1, void testListWithAttrOnlyValues(), com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest, specialinvoke $stack5.<java.util.ArrayList: void <init>()>(), 126, -1, (stack5:429:-1)
