ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void setupModule(com.fasterxml.jackson.databind.Module$SetupContext)>(context), 75, -1, (:320:-1)
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 65, -1, (:691:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 126, -1, (:692:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:712:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, this.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 254, -1, (this.MAPPER:999:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, $stack3 = this.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 299, -1, (stack3:1000:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, $stack4 = virtualinvoke $stack3.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.Object readValue(java.lang.String;java.lang.Class)>("<ValueClassABC><c>3</c>  <a>2</a>  <b>-9</b></ValueClassABC>"; class "Lcom/fasterxml/jackson/dataformat/xml/deser/builder/BuilderSimpleTest$ValueClassABC;"), 299, -1, (this.MAPPER:2133:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, $stack8 = this.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 306, -1, (stack8:2134:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, $stack9 = virtualinvoke $stack8.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.Object readValue(java.lang.String;java.lang.Class)>("<ValueClassABC><c>3</c>\n<d>5</d><b>-9</b></ValueClassABC>"; class "Lcom/fasterxml/jackson/dataformat/xml/deser/builder/BuilderSimpleTest$ValueClassABC;"), 306, -1, (stack9:2826:-1)
-1, void c(int), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$BuildABC, this.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$BuildABC: int c> = c0, 78, -1, (this.c:2802:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC build(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$BuildABC, $stack4 = this.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$BuildABC: int a>, 82, -1, (a:2805:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC build(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$BuildABC, $stack2 = this.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$BuildABC: int c>, 82, -1, (c:2807:-1)
-1, com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC build(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$BuildABC, specialinvoke $stack1.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC: void <init>(int;int;int)>($stack4; $stack3; $stack2), 82, -1, (a:2805:-1)
-1, void <init>(int;int;int), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC, this.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC: int a> = a, 57, -1, (value.a:2828:-1)
-1, void <init>(int;int;int), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC, this.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC: int c> = c, 59, -1, (value.c:2833:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, value = (com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC) $stack9, 306, -1, (value:2834:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest: void assertNotNull(java.lang.Object)>(value), 309, -1, (value:2834:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, $stack10 = value.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC: int a>, 310, -1, (stack10:2829:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest: void assertEquals(int;int)>(0; $stack10), 310, -1, (value:2834:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, $stack12 = value.<com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest$ValueClassABC: int c>, 312, -1, (value:2834:-1)
-1, void testMultiAccess(), com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.builder.BuilderSimpleTest: void assertEquals(int;int)>(3; $stack12), 312, -1, (value:2834:-1)
