ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void setupModule(com.fasterxml.jackson.databind.Module$SetupContext)>(context), 75, -1, (:305:-1)
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 65, -1, (:308:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 126, -1, (:309:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:328:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, this.<com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 30, -1, (this.MAPPER:647:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack4 = new com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser, 38, -1, (stack4:648:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack6 = <com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender: com.fasterxml.jackson.dataformat.xml.XmlTestBase$FiveMinuteUser$Gender MALE>, 38, -1, (g:644:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack5 = newarray (byte)[5], 38, -1, (data:645:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack5[0] = 1, 38, -1, (data:645:-1)
-1, void testRoundTripWithJacksonExample(), com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization, $stack5[1] = 2, 38, -1, (data:645:-1)
