ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 65, -1, (:215:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 126, -1, (:216:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:235:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest, this.<com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 30, -1, (this.MAPPER:795:-1)
-1, void testStringsWithAttribute(), com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest, $stack2 = this.<com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER>, 65, -1, (stack2:796:-1)
-1, void testStringsWithAttribute(), com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest, $stack3 = virtualinvoke $stack2.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.Object readValue(java.lang.String;java.lang.Class)>("<Bean2>\n<a xml:lang=\'fi\'>abc</a><b xml:lang=\'en\'>def</b></Bean2>\n"; class "Lcom/fasterxml/jackson/dataformat/xml/deser/SimpleStringValuesTest$Bean2;"), 65, -1, (stack3:1789:-1)
-1, void testStringsWithAttribute(), com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest, bean = (com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest$Bean2) $stack3, 65, -1, (bean:1793:-1)
-1, void testStringsWithAttribute(), com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest: void assertNotNull(java.lang.Object)>(bean), 72, -1, (bean:1793:-1)
-1, void testStringsWithAttribute(), com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest, $stack4 = bean.<com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest$Bean2: java.lang.String a>, 73, -1, (stack4:1792:-1)
-1, void testStringsWithAttribute(), com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest: void assertEquals(java.lang.String;java.lang.String)>("abc"; $stack4), 73, -1, (bean:1793:-1)
-1, void testStringsWithAttribute(), com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest, $stack5 = bean.<com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest$Bean2: java.lang.String b>, 74, -1, (bean:1793:-1)
-1, void testStringsWithAttribute(), com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest, staticinvoke <com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest: void assertEquals(java.lang.String;java.lang.String)>("def"; $stack5), 74, -1, (bean:1793:-1)
