ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 65, -1, (:215:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 126, -1, (:216:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:235:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1, 78, -1, (this.MAPPER:636:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, $stack4 = new com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, 105, -1, (this:626:-1)
-1, void testWrappedListWithGetters(), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest, specialinvoke $stack4.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: void <init>(java.lang.String)>("abc"), 105, -1, (stack2:629:-1)
-1, void <init>(java.lang.String), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, specialinvoke this.<java.lang.Object: void <init>()>(), 45, -1, (stack4:637:-1)
-1, void <init>(java.lang.String), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, $stack2 = new java.util.ArrayList, 42, -1, (stack2:629:-1)
-1, void <init>(java.lang.String), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, specialinvoke $stack2.<java.util.ArrayList: void <init>()>(), 42, -1, (stack2:629:-1)
-1, void <init>(java.lang.String), com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters, this.<com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest$PersonWithGetters: java.util.List _notes> = $stack2, 42, -1, (stack4:637:-1)
