ID, Method, Class, Line, Source, Var
-1, void testIssue54(), com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual, specialinvoke $stack7.<com.fasterxml.jackson.dataformat.xml.XmlMapper: void <init>()>(), 28, -1, (:147:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.XmlMapper, specialinvoke $stack1.<com.fasterxml.jackson.dataformat.xml.XmlFactory: void <init>()>(), 49, -1, (:148:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.XmlFactory, specialinvoke this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: void <init>(com.fasterxml.jackson.core.ObjectCodec;javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory)>(null; null; null), 84, -1, (:151:-1)
-1, void <init>(com.fasterxml.jackson.core.ObjectCodec;javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory), com.fasterxml.jackson.dataformat.xml.XmlFactory, specialinvoke this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: void <init>(com.fasterxml.jackson.core.ObjectCodec;int;int;javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory;java.lang.String)>(oc; $stack5; $stack4; xmlIn; xmlOut; null), 100, -1, (xmlOut:163:-1)
-1, void <init>(com.fasterxml.jackson.core.ObjectCodec;int;int;javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory;java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlFactory, if xmlOut != null goto virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: void _initFactories(javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory)>(xmlIn; xmlOut), 119, -1, (:164:-1)
-1, void <init>(com.fasterxml.jackson.core.ObjectCodec;int;int;javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory;java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlFactory, xmlOut = staticinvoke <javax.xml.stream.XMLOutputFactory: javax.xml.stream.XMLOutputFactory newInstance()>(), 120, -1, (xmlOut:172:-1)
-1, void <init>(com.fasterxml.jackson.core.ObjectCodec;int;int;javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory;java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlFactory, virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: void _initFactories(javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory)>(xmlIn; xmlOut), 122, -1, (stack3:167:-1)
-1, void _initFactories(javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory), com.fasterxml.jackson.dataformat.xml.XmlFactory, $stack3 = <java.lang.Boolean: java.lang.Boolean TRUE>, 143, -1, (stack3:167:-1)
-1, void _initFactories(javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory), com.fasterxml.jackson.dataformat.xml.XmlFactory, virtualinvoke xmlOut.<javax.xml.stream.XMLOutputFactory: void setProperty(java.lang.String;java.lang.Object)>("javax.xml.stream.isRepairingNamespaces"; $stack3), 143, -1, (xmlOut:172:-1)
-1, void <init>(com.fasterxml.jackson.core.ObjectCodec;int;int;javax.xml.stream.XMLInputFactory;javax.xml.stream.XMLOutputFactory;java.lang.String), com.fasterxml.jackson.dataformat.xml.XmlFactory, this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: javax.xml.stream.XMLOutputFactory _xmlOutputFactory> = xmlOut, 124, -1, (this._xmlOutputFactory:262:-1)
-1, void testIssue54(), com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual, $stack10 = new java.io.StringWriter, 30, -1, (stack10:250:-1)
-1, void testIssue54(), com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual, specialinvoke $stack10.<java.io.StringWriter: void <init>()>(), 30, -1, (stack10:1315:-1)
-1, void testIssue54(), com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual, $stack11 = virtualinvoke $stack7.<com.fasterxml.jackson.dataformat.xml.XmlMapper: com.fasterxml.jackson.dataformat.xml.XmlFactory getFactory()>(), 31, -1, (stack1:253:-1)
-1, com.fasterxml.jackson.dataformat.xml.XmlFactory getFactory(), com.fasterxml.jackson.dataformat.xml.XmlMapper, $stack1 = this.<com.fasterxml.jackson.dataformat.xml.XmlMapper: com.fasterxml.jackson.core.JsonFactory _jsonFactory>, 152, -1, (stack1:253:-1)
-1, com.fasterxml.jackson.dataformat.xml.XmlFactory getFactory(), com.fasterxml.jackson.dataformat.xml.XmlMapper, $stack2 = (com.fasterxml.jackson.dataformat.xml.XmlFactory) $stack1, 152, -1, (stack2:254:-1)
-1, com.fasterxml.jackson.dataformat.xml.XmlFactory getFactory(), com.fasterxml.jackson.dataformat.xml.XmlMapper, return $stack2, 152, -1, (this:257:-1)
-1, void testIssue54(), com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual, $stack12 = virtualinvoke $stack11.<com.fasterxml.jackson.dataformat.xml.XmlFactory: com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator createGenerator(java.io.Writer)>($stack10), 31, -1, (:261:-1)
-1, com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator createGenerator(java.io.Writer), com.fasterxml.jackson.dataformat.xml.XmlFactory, $stack3 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: com.fasterxml.jackson.core.io.IOContext _createContext(java.lang.Object;boolean)>(out; 0), 461, -1, (stack10:1315:-1)
-1, com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator createGenerator(java.io.Writer), com.fasterxml.jackson.dataformat.xml.XmlFactory, $stack7 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: javax.xml.stream.XMLStreamWriter _createXmlWriter(java.io.Writer)>(out), 461, -1, (w:263:-1)
-1, javax.xml.stream.XMLStreamWriter _createXmlWriter(java.io.Writer), com.fasterxml.jackson.dataformat.xml.XmlFactory, $stack4 = this.<com.fasterxml.jackson.dataformat.xml.XmlFactory: javax.xml.stream.XMLOutputFactory _xmlOutputFactory>, 630, -1, (stack4:263:-1)
-1, javax.xml.stream.XMLStreamWriter _createXmlWriter(java.io.Writer), com.fasterxml.jackson.dataformat.xml.XmlFactory, $stack5 = virtualinvoke $stack4.<javax.xml.stream.XMLOutputFactory: javax.xml.stream.XMLStreamWriter createXMLStreamWriter(java.io.Writer)>(w), 630, -1, (stack10:1315:-1)
-1, void testIssue54(), com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual, $stack21 = virtualinvoke $stack10.<java.io.StringWriter: java.lang.String toString()>(), 47, -1, (stack21:1318:-1)
-1, void testIssue54(), com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual, $stack23 = virtualinvoke $stack21.<java.lang.String: int indexOf(java.lang.String)>("?>"), 51, -1, (stack21:1318:-1)
