ID, Method, Class, Line, Source, Var
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void setupModule(com.fasterxml.jackson.databind.Module$SetupContext)>(context), 75, -1, (:317:-1)
-1, void setupModule(com.fasterxml.jackson.databind.Module$SetupContext), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>(), 65, -1, (:680:-1)
-1, com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2), 126, -1, (:681:-1)
-1, void <init>(boolean), com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector, specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>(), 34, -1, (stack1:700:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, this.<com.fasterxml.jackson.dataformat.xml.ser.TestSerialization: com.fasterxml.jackson.dataformat.xml.XmlMapper _xmlMapper> = $stack1, 90, -1, (this._xmlMapper:894:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, $stack3 = new java.util.LinkedHashMap, 118, -1, (stack3:889:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, specialinvoke $stack3.<java.util.LinkedHashMap: void <init>()>(), 118, -1, (v:2786:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, $stack11 = this.<com.fasterxml.jackson.dataformat.xml.ser.TestSerialization: com.fasterxml.jackson.dataformat.xml.XmlMapper _xmlMapper>, 124, -1, (stack11:900:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, $stack10 = new com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$WrapperBean, 124, -1, (this:897:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, specialinvoke $stack10.<com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$WrapperBean: void <init>(java.lang.Object)>($stack3), 124, -1, (v:898:-1)
-1, void <init>(java.lang.Object), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$WrapperBean, specialinvoke this.<java.lang.Object: void <init>()>(), 42, -1, (stack10:900:-1)
-1, void <init>(java.lang.Object), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$WrapperBean, this.<com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$WrapperBean: java.lang.Object value> = v, 42, -1, (stack10:900:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, $stack12 = virtualinvoke $stack11.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.String writeValueAsString(java.lang.Object)>($stack10), 124, -1, (this._xmlMapper:2782:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, $stack14 = this.<com.fasterxml.jackson.dataformat.xml.ser.TestSerialization: com.fasterxml.jackson.dataformat.xml.XmlMapper _xmlMapper>, 132, -1, (stack14:2788:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, $stack13 = new com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$MapBean, 132, -1, (this:2785:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, specialinvoke $stack13.<com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$MapBean: void <init>(java.util.Map)>($stack3), 132, -1, (this:2785:-1)
-1, void <init>(java.util.Map), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$MapBean, specialinvoke this.<java.lang.Object: void <init>()>(), 50, -1, (stack13:2788:-1)
-1, void <init>(java.util.Map), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$MapBean, this.<com.fasterxml.jackson.dataformat.xml.ser.TestSerialization$MapBean: java.util.Map map> = v, 50, -1, (stack13:2788:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, $stack15 = virtualinvoke $stack14.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.String writeValueAsString(java.lang.Object)>($stack13), 132, -1, (stack15:3609:-1)
-1, void testMap(), com.fasterxml.jackson.dataformat.xml.ser.TestSerialization, staticinvoke <com.fasterxml.jackson.dataformat.xml.ser.TestSerialization: void assertEquals(java.lang.String;java.lang.String)>("<MapBean><map><a>1</a><b>2</b></map></MapBean>"; $stack15), 133, -1, (stack15:3609:-1)
