ID, Method, Class, Line, Source, Var
-1, void <clinit>(), com.fasterxml.jackson.dataformat.xml.PackageVersion, $stack0 = staticinvoke <com.fasterxml.jackson.core.util.VersionUtil: com.fasterxml.jackson.core.Version parseVersion(java.lang.String;java.lang.String;java.lang.String)>("2.9.8-SNAPSHOT"; "com.fasterxml.jackson.dataformat"; "jackson-dataformat-xml"), 13, -1, (stack0:8:-1)
-1, void <clinit>(), com.fasterxml.jackson.dataformat.xml.PackageVersion, <com.fasterxml.jackson.dataformat.xml.PackageVersion: com.fasterxml.jackson.core.Version VERSION> = $stack0, 13, -1, (com.fasterxml.jackson.dataformat.xml.PackageVersion.VERSION:28:-1)
-1, void <clinit>(), com.fasterxml.jackson.dataformat.xml.XmlMapper, $stack0 = new com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, 35, -1, (stack0:41:-1)
-1, void <clinit>(), com.fasterxml.jackson.dataformat.xml.XmlMapper, specialinvoke $stack0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: void <init>()>(), 35, -1, (:32:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $stack2 = <com.fasterxml.jackson.dataformat.xml.PackageVersion: com.fasterxml.jackson.core.Version VERSION>, 51, -1, (stack2:29:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void <init>(java.lang.String;com.fasterxml.jackson.core.Version)>("JacksonXmlModule"; $stack2), 51, -1, (stack0:41:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: boolean _cfgDefaultUseWrapper> = 1, 31, -1, (stack0:41:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: java.lang.String _cfgNameForTextElement> = "", 41, -1, (stack0:41:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, $u0 = new com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer, 52, -1, (this:34:-1)
-1, void <init>(), com.fasterxml.jackson.dataformat.xml.JacksonXmlModule, specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer: void <init>()>(), 52, -1, (r0:35:-1)
