rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1,AbstractBlock.java,109,protected AbstractBlock() {,0.0,144,144
1,S2,AbstractBlock.java,110,this.id = null;,0.0,144,144
1,S3,AbstractBlock.java,111,this.width = 0.0;,0.0,144,144
1,S4,AbstractBlock.java,112,this.height = 0.0;,0.0,144,144
1,S5,AbstractBlock.java,113,this.bounds = new Rectangle2D.Float();,0.0,144,144
1,S6,AbstractBlock.java,114,this.margin = RectangleInsets.ZERO_INSETS;,0.0,144,144
1,S7,AbstractBlock.java,115,this.frame = BlockBorder.NONE;,0.0,144,144
1,S8,AbstractBlock.java,116,this.padding = RectangleInsets.ZERO_INSETS;,0.0,144,144
1,S9,AbstractBlock.java,151,return this.width;,0.0,144,144
1,S10,AbstractBlock.java,162,this.width = width;,0.0,144,144
1,S11,AbstractBlock.java,175,return this.height;,0.0,144,144
1,S12,AbstractBlock.java,186,this.height = height;,0.0,144,144
1,S13,AbstractBlock.java,329,"return arrange(g2, RectangleConstraint.NONE);",0.0,144,144
1,S14,AbstractBlock.java,354,return this.bounds;,0.0,144,144
1,S15,AbstractBlock.java,368,this.bounds = bounds;,0.0,144,144
1,S16,AbstractBlock.java,419,if (c.equals(RectangleConstraint.NONE)) {,0.0,144,144
1,S17,AbstractBlock.java,430,return new RectangleConstraint(,0.0,144,144
1,S18,AbstractBlock.java,475,result = this.padding.extendWidth(result);,0.0,144,144
1,S19,AbstractBlock.java,476,result = this.frame.getInsets().extendWidth(result);,0.0,144,144
1,S20,AbstractBlock.java,477,result = this.margin.extendWidth(result);,0.0,144,144
1,S21,AbstractBlock.java,478,return result;,0.0,144,144
1,S22,AbstractBlock.java,490,result = this.padding.extendHeight(result);,0.0,144,144
1,S23,AbstractBlock.java,491,result = this.frame.getInsets().extendHeight(result);,0.0,144,144
1,S24,AbstractBlock.java,492,result = this.margin.extendHeight(result);,0.0,144,144
1,S25,AbstractBlock.java,493,return result;,0.0,144,144
1,S26,BlockBorder.java,71,public static final BlockBorder NONE = new BlockBorder(,0.0,144,144
1,S27,BlockBorder.java,128,"public BlockBorder(RectangleInsets insets, Paint paint) {",0.0,144,144
1,S28,BlockBorder.java,135,this.insets = insets;,0.0,144,144
1,S29,BlockBorder.java,136,this.paint = paint;,0.0,144,144
1,S30,BlockContainer.java,100,this.blocks = new ArrayList();,0.0,144,144
1,S31,BlockContainer.java,150,"add(block, null);",0.0,144,144
1,S32,BlockContainer.java,160,this.blocks.add(block);,0.0,144,144
1,S33,BlockContainer.java,161,"this.arrangement.add(block, key);",0.0,144,144
1,S34,BlockContainer.java,168,this.blocks.clear();,0.0,144,144
1,S35,BlockContainer.java,182,"return this.arrangement.arrange(this, g2, constraint);",0.0,144,144
1,S36,BorderArrangement.java,98,if (key == null) {,0.0,144,144
1,S37,BorderArrangement.java,99,this.centerBlock = block;,0.0,144,144
1,S38,BorderArrangement.java,102,RectangleEdge edge = (RectangleEdge) key;,0.0,144,144
1,S39,BorderArrangement.java,103,if (edge == RectangleEdge.TOP) {,0.0,144,144
1,S40,BorderArrangement.java,104,this.topBlock = block;,0.0,144,144
1,S41,BorderArrangement.java,106,else if (edge == RectangleEdge.BOTTOM) {,0.0,144,144
1,S42,BorderArrangement.java,107,this.bottomBlock = block;,0.0,144,144
1,S43,BorderArrangement.java,109,else if (edge == RectangleEdge.LEFT) {,0.0,144,144
1,S44,BorderArrangement.java,110,this.leftBlock = block;,0.0,144,144
1,S45,BorderArrangement.java,112,else if (edge == RectangleEdge.RIGHT) {,0.0,144,144
1,S46,BorderArrangement.java,113,this.rightBlock = block;,0.0,144,144
1,S47,BorderArrangement.java,131,RectangleConstraint contentConstraint,0.0,144,144
1,S48,BorderArrangement.java,134,LengthConstraintType w = contentConstraint.getWidthConstraintType();,0.0,144,144
1,S49,BorderArrangement.java,135,LengthConstraintType h = contentConstraint.getHeightConstraintType();,0.0,144,144
1,S50,BorderArrangement.java,136,if (w == LengthConstraintType.NONE) {,0.0,144,144
1,S51,BorderArrangement.java,137,if (h == LengthConstraintType.NONE) {,0.0,144,144
1,S52,BorderArrangement.java,138,"contentSize = arrangeNN(container, g2);",0.0,144,144
1,S53,BorderArrangement.java,147,else if (w == LengthConstraintType.FIXED) {,0.0,144,144
1,S54,BorderArrangement.java,148,if (h == LengthConstraintType.NONE) {,0.0,144,144
1,S55,BorderArrangement.java,149,"contentSize = arrangeFN(container, g2, constraint.getWidth());",0.0,144,144
1,S56,BorderArrangement.java,170,"return new Size2D(container.calculateTotalWidth(contentSize.getWidth()),",0.0,144,144
1,S57,BorderArrangement.java,183,double[] w = new double[5];,0.0,144,144
1,S58,BorderArrangement.java,184,double[] h = new double[5];,0.0,144,144
1,S59,BorderArrangement.java,185,if (this.topBlock != null) {,0.0,144,144
1,S60,BorderArrangement.java,186,"Size2D size = this.topBlock.arrange(g2, RectangleConstraint.NONE);",0.0,144,144
1,S61,BorderArrangement.java,187,w[0] = size.width;,0.0,144,144
1,S62,BorderArrangement.java,188,h[0] = size.height;,0.0,144,144
1,S63,BorderArrangement.java,190,if (this.bottomBlock != null) {,0.0,144,144
1,S64,BorderArrangement.java,191,"Size2D size = this.bottomBlock.arrange(g2,",0.0,144,144
1,S65,BorderArrangement.java,193,w[1] = size.width;,0.0,144,144
1,S66,BorderArrangement.java,194,h[1] = size.height;,0.0,144,144
1,S67,BorderArrangement.java,196,if (this.leftBlock != null) {,0.0,144,144
1,S68,BorderArrangement.java,197,"Size2D size = this.leftBlock.arrange(g2, RectangleConstraint.NONE);",0.0,144,144
1,S69,BorderArrangement.java,198,w[2] = size.width;,0.0,144,144
1,S70,BorderArrangement.java,199,h[2] = size.height;,0.0,144,144
1,S71,BorderArrangement.java,201,if (this.rightBlock != null) {,0.0,144,144
1,S72,BorderArrangement.java,202,"Size2D size = this.rightBlock.arrange(g2, RectangleConstraint.NONE);",0.0,144,144
1,S73,BorderArrangement.java,203,w[3] = size.width;,0.0,144,144
1,S74,BorderArrangement.java,204,h[3] = size.height;,0.0,144,144
1,S75,BorderArrangement.java,207,"h[2] = Math.max(h[2], h[3]);",0.0,144,144
1,S76,BorderArrangement.java,208,h[3] = h[2];,0.0,144,144
1,S77,BorderArrangement.java,210,if (this.centerBlock != null) {,0.0,144,144
1,S78,BorderArrangement.java,211,"Size2D size = this.centerBlock.arrange(g2,",0.0,144,144
1,S79,BorderArrangement.java,213,w[4] = size.width;,0.0,144,144
1,S80,BorderArrangement.java,214,h[4] = size.height;,0.0,144,144
1,S81,BorderArrangement.java,216,"double width = Math.max(w[0], Math.max(w[1], w[2] + w[4] + w[3]));",0.0,144,144
1,S82,BorderArrangement.java,217,"double centerHeight = Math.max(h[2], Math.max(h[3], h[4]));",0.0,144,144
1,S83,BorderArrangement.java,218,double height = h[0] + h[1] + centerHeight;,0.0,144,144
1,S84,BorderArrangement.java,219,if (this.topBlock != null) {,0.0,144,144
1,S85,BorderArrangement.java,220,"this.topBlock.setBounds(new Rectangle2D.Double(0.0, 0.0, width,",0.0,144,144
1,S86,BorderArrangement.java,223,if (this.bottomBlock != null) {,0.0,144,144
