test_case,test_class,test_method,variable,line,virtual_status
org.jfree.chart.junit.JFreeChartTests::testAddSubtitle,org.jfree.chart.junit.JFreeChartTests,testAddSubtitle,chart,480,Virtual_Pass
org.jfree.chart.junit.JFreeChartTests::testAddSubtitle,org.jfree.chart.junit.JFreeChartTests,testAddSubtitle,chart,484,Virtual_Pass
org.jfree.chart.junit.JFreeChartTests::testGetSubtitles,org.jfree.chart.junit.JFreeChartTests,testGetSubtitles,chart,523,Virtual_Pass
org.jfree.chart.junit.JFreeChartTests::testGetSubtitles,org.jfree.chart.junit.JFreeChartTests,testGetSubtitles,chart,527,Virtual_Pass
org.jfree.chart.junit.PieChart3DTests::testReplaceDatasetOnPieChart,org.jfree.chart.junit.PieChart3DTests,testReplaceDatasetOnPieChart,plot,108,Virtual_Pass
org.jfree.chart.junit.PieChartTests::testReplaceDatasetOnPieChart,org.jfree.chart.junit.PieChartTests,testReplaceDatasetOnPieChart,plot,102,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testConstructor,org.jfree.chart.plot.junit.CategoryPlotTests,testConstructor,plot,134,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::test1169972,org.jfree.chart.plot.junit.CategoryPlotTests,test1169972,plot,846,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisIndex,plot,914,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisIndex,plot,915,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisIndex,plot,917,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisIndex,plot,918,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisIndex,plot,938,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisIndex,plot,939,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisIndex,plot,941,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisIndex,plot,942,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveDomainMarker,org.jfree.chart.plot.junit.CategoryPlotTests,testRemoveDomainMarker,plot,959,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveRangeMarker,org.jfree.chart.plot.junit.CategoryPlotTests,testRemoveRangeMarker,plot,968,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisForDataset,plot,980,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisForDataset,plot,996,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisForDataset,plot,999,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisForDataset,plot,1004,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetDomainAxisForDataset,plot,1009,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisForDataset,plot,1021,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisForDataset,plot,1037,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisForDataset,plot,1040,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisForDataset,plot,1045,Virtual_Pass
org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.CategoryPlotTests,testGetRangeAxisForDataset,plot,1050,Virtual_Pass
org.jfree.chart.plot.junit.CombinedDomainXYPlotTests::testConstructor1,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests,testConstructor1,plot,116,Virtual_Pass
org.jfree.chart.plot.junit.MultiplePiePlotTests::testConstructor,org.jfree.chart.plot.junit.MultiplePiePlotTests,testConstructor,plot,115,Virtual_Pass
org.jfree.chart.plot.junit.PiePlotTests::testGetBaseSectionPaint,org.jfree.chart.plot.junit.PiePlotTests,testGetBaseSectionPaint,plot,613,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRendererForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRendererForDataset,plot,885,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRendererForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRendererForDataset,plot,886,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRendererForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRendererForDataset,plot,887,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRendererForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRendererForDataset,plot,888,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRendererForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRendererForDataset,plot,889,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testRemoveDomainMarker,org.jfree.chart.plot.junit.XYPlotTests,testRemoveDomainMarker,plot,1105,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testRemoveRangeMarker,org.jfree.chart.plot.junit.XYPlotTests,testRemoveRangeMarker,plot,1114,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetDomainAxisForDataset,plot,1126,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetDomainAxisForDataset,plot,1152,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetDomainAxisForDataset,plot,1155,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetDomainAxisForDataset,plot,1160,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetDomainAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetDomainAxisForDataset,plot,1165,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRangeAxisForDataset,plot,1177,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRangeAxisForDataset,plot,1203,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRangeAxisForDataset,plot,1206,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRangeAxisForDataset,plot,1211,Virtual_Pass
org.jfree.chart.plot.junit.XYPlotTests::testGetRangeAxisForDataset,org.jfree.chart.plot.junit.XYPlotTests,testGetRangeAxisForDataset,plot,1216,Virtual_Pass
