rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S396,AbstractObjectList.java,212,"result = HashUtilities.hashCode(result, this.objects[0]);",0.5,14,14
1,S397,AbstractObjectList.java,213,if (size > 1) {,0.5,14,14
1,S398,AbstractObjectList.java,214,"result = HashUtilities.hashCode(result, this.objects[size - 1]);",0.5,14,14
1,S399,AbstractObjectList.java,215,if (size > 2) {,0.5,14,14
1,S400,AbstractObjectList.java,216,"result = HashUtilities.hashCode(result,",0.5,14,14
1,S8791,ShapeList.java,121,return super.hashCode();,0.5,14,14
1,S8796,ShapeList.java,137,Shape shape = getShape(i);,0.5,14,14
1,S8797,ShapeList.java,138,if (shape != null) {,0.5,14,14
1,S8798,ShapeList.java,139,stream.writeInt(i);,0.5,14,14
1,S8799,ShapeList.java,140,"SerialUtilities.writeShape(shape, stream);",0.5,14,14
1,S8800,ShapeList.java,143,stream.writeInt(-1);,0.5,14,14
1,S8804,ShapeList.java,163,int index = stream.readInt();,0.5,14,14
1,S8805,ShapeList.java,164,if (index != -1) {,0.5,14,14
1,S8806,ShapeList.java,165,"setShape(index, SerialUtilities.readShape(stream));",0.5,14,14
15,S390,AbstractObjectList.java,194,return false;,0.213201,1,15
16,S8786,ShapeList.java,81,"set(index, shape);",0.19245,1,16
17,S415,AbstractObjectList.java,265,stream.writeInt(-1);,0.188982,1,17
18,S389,AbstractObjectList.java,193,"if (!ObjectUtilities.equal(get(i), other.get(i))) {",0.138675,1,18
19,S8664,SerialUtilities.java,271,double x1 = stream.readDouble();,0.125,11,29
19,S8665,SerialUtilities.java,272,double y1 = stream.readDouble();,0.125,11,29
19,S8666,SerialUtilities.java,273,double x2 = stream.readDouble();,0.125,11,29
19,S8667,SerialUtilities.java,274,double y2 = stream.readDouble();,0.125,11,29
19,S8668,SerialUtilities.java,275,"result = new Line2D.Double(x1, y1, x2, y2);",0.125,11,29
19,S8706,SerialUtilities.java,361,Line2D line = (Line2D) shape;,0.125,11,29
19,S8707,SerialUtilities.java,362,stream.writeObject(Line2D.class);,0.125,11,29
19,S8708,SerialUtilities.java,363,stream.writeDouble(line.getX1());,0.125,11,29
19,S8709,SerialUtilities.java,364,stream.writeDouble(line.getY1());,0.125,11,29
19,S8710,SerialUtilities.java,365,stream.writeDouble(line.getX2());,0.125,11,29
19,S8711,SerialUtilities.java,366,stream.writeDouble(line.getY2());,0.125,11,29
30,S413,AbstractObjectList.java,261,stream.writeInt(i);,0.121268,3,32
30,S414,AbstractObjectList.java,262,stream.writeObject(object);,0.121268,3,32
30,S422,AbstractObjectList.java,288,"set(index, stream.readObject());",0.121268,3,32
33,S411,AbstractObjectList.java,259,final Object object = get(i);,0.117851,4,36
33,S412,AbstractObjectList.java,260,if (object != null && object instanceof Serializable) {,0.117851,4,36
33,S420,AbstractObjectList.java,286,int index = stream.readInt();,0.117851,4,36
33,S421,AbstractObjectList.java,287,if (index != -1) {,0.117851,4,36
37,S8785,ShapeList.java,70,return (Shape) get(index);,0.1066,1,37
38,S392,AbstractObjectList.java,206,int result = 127;,0.073721,8,45
38,S393,AbstractObjectList.java,207,int size = size();,0.073721,8,45
38,S394,AbstractObjectList.java,208,"result = HashUtilities.hashCode(result, size());",0.073721,8,45
38,S395,AbstractObjectList.java,211,if (size > 0) {,0.073721,8,45
38,S401,AbstractObjectList.java,221,return result;,0.073721,8,45
