test_case,result,assertx_calls_found,assertx_calls_counted
org.jfree.data.time.junit.WeekTests::testEquals,PASS,6,6
org.jfree.data.time.junit.WeekTests::testW1Y1900Previous,PASS,1,1
org.jfree.data.time.junit.WeekTests::testW1Y1900Next,PASS,1,1
org.jfree.data.time.junit.WeekTests::testW52Y9999Previous,PASS,1,1
org.jfree.data.time.junit.WeekTests::testW52Y9999Next,PASS,1,1
org.jfree.data.time.junit.WeekTests::testSerialization,PASS,1,1
org.jfree.data.time.junit.WeekTests::testHashcode,PASS,2,2
org.jfree.data.time.junit.WeekTests::testNotCloneable,PASS,1,1
org.jfree.data.time.junit.WeekTests::testWeek12005,PASS,6,6
org.jfree.data.time.junit.WeekTests::testWeek532005,PASS,6,6
org.jfree.data.time.junit.WeekTests::testBug1448828,PASS,2,2
org.jfree.data.time.junit.WeekTests::testBug1498805,PASS,2,2
org.jfree.data.time.junit.WeekTests::testGetFirstMillisecond,PASS,1,1
org.jfree.data.time.junit.WeekTests::testGetFirstMillisecondWithTimeZone,PASS,0,0
org.jfree.data.time.junit.WeekTests::testGetFirstMillisecondWithCalendar,PASS,2,2
org.jfree.data.time.junit.WeekTests::testGetLastMillisecond,PASS,1,1
org.jfree.data.time.junit.WeekTests::testGetLastMillisecondWithTimeZone,PASS,0,0
org.jfree.data.time.junit.WeekTests::testGetLastMillisecondWithCalendar,PASS,2,2
org.jfree.data.time.junit.WeekTests::testGetSerialIndex,PASS,2,2
org.jfree.data.time.junit.WeekTests::testNext,PASS,3,3
org.jfree.data.time.junit.WeekTests::testGetStart,PASS,1,1
org.jfree.data.time.junit.WeekTests::testGetEnd,PASS,1,1
