virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testFileValidator_cl_L61_F_1,org.apache.commons.cli2.bug.BugCLI144Test::testFileValidator,org.apache.commons.cli2.bug.BugCLI144Test,testFileValidator,cl,61,Virtual_Fail,159,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_failing/testFileValidator_cl_L61_F_1/slice.log,
testSimple_cl_L45_P_1,org.apache.commons.cli2.PrecedenceTest::testSimple,org.apache.commons.cli2.PrecedenceTest,testSimple,cl,45,Virtual_Pass,148,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testSimple_cl_L45_P_1/slice.log,
testArgument_cl_L62_P_2,org.apache.commons.cli2.PrecedenceTest::testArgument,org.apache.commons.cli2.PrecedenceTest,testArgument,cl,62,Virtual_Pass,242,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testArgument_cl_L62_P_2/slice.log,
testArgumentVsBurst_cl_L186_P_3,org.apache.commons.cli2.PrecedenceTest::testArgumentVsBurst,org.apache.commons.cli2.PrecedenceTest,testArgumentVsBurst,cl,186,Virtual_Pass,250,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testArgumentVsBurst_cl_L186_P_3/slice.log,
testArgumentVsChildren_cl_L211_P_4,org.apache.commons.cli2.PrecedenceTest::testArgumentVsChildren,org.apache.commons.cli2.PrecedenceTest,testArgumentVsChildren,cl,211,Virtual_Pass,262,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testArgumentVsChildren_cl_L211_P_4/slice.log,
testArgumentVsBurstVsChildren_cl_L361_P_5,org.apache.commons.cli2.PrecedenceTest::testArgumentVsBurstVsChildren,org.apache.commons.cli2.PrecedenceTest,testArgumentVsBurstVsChildren,cl,361,Virtual_Pass,266,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testArgumentVsBurstVsChildren_cl_L361_P_5/slice.log,
testBug_cl_L50_P_6,org.apache.commons.cli2.bug.BugCLI12Test::testBug,org.apache.commons.cli2.bug.BugCLI12Test,testBug,cl,50,Virtual_Pass,210,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testBug_cl_L50_P_6/slice.log,
testBug_cl_L51_P_7,org.apache.commons.cli2.bug.BugCLI12Test::testBug,org.apache.commons.cli2.bug.BugCLI12Test,testBug,cl,51,Virtual_Pass,209,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testBug_cl_L51_P_7/slice.log,
testWithMaximum_cl_L71_P_8,org.apache.commons.cli2.bug.BugCLI145Test::testWithMaximum,org.apache.commons.cli2.bug.BugCLI145Test,testWithMaximum,cl,71,Virtual_Pass,264,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testWithMaximum_cl_L71_P_8/slice.log,
testWithMaximumUsingDefaultValues_cl_L111_P_9,org.apache.commons.cli2.bug.BugCLI145Test::testWithMaximumUsingDefaultValues,org.apache.commons.cli2.bug.BugCLI145Test,testWithMaximumUsingDefaultValues,cl,111,Virtual_Pass,261,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testWithMaximumUsingDefaultValues_cl_L111_P_9/slice.log,
testParse_Successful_cl_L65_P_10,org.apache.commons.cli2.commandline.ParserTest::testParse_Successful,org.apache.commons.cli2.commandline.ParserTest,testParse_Successful,cl,65,Virtual_Pass,170,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testParse_Successful_cl_L65_P_10/slice.log,
testParse_Successful_cl_L66_P_11,org.apache.commons.cli2.commandline.ParserTest::testParse_Successful,org.apache.commons.cli2.commandline.ParserTest,testParse_Successful,cl,66,Virtual_Pass,170,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testParse_Successful_cl_L66_P_11/slice.log,
testParse_Successful_cl_L68_P_12,org.apache.commons.cli2.commandline.ParserTest::testParse_Successful,org.apache.commons.cli2.commandline.ParserTest,testParse_Successful,cl,68,Virtual_Pass,170,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testParse_Successful_cl_L68_P_12/slice.log,
testParseAndHelp_Successful_cl_L88_P_13,org.apache.commons.cli2.commandline.ParserTest::testParseAndHelp_Successful,org.apache.commons.cli2.commandline.ParserTest,testParseAndHelp_Successful,cl,88,Virtual_Pass,143,/opt/resq/resQ_outputs/work/Cli_14b/step2_slicing/_slicer4j_passed/testParseAndHelp_Successful_cl_L88_P_13/slice.log,
