rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S25,ArgumentBuilder.java,221,this.validator = newValidator;,1.0,19,19
1,S26,ArgumentBuilder.java,222,return this;,1.0,19,19
1,S122,DefaultOptionBuilder.java,165,this.description = newDescription;,1.0,19,19
1,S123,DefaultOptionBuilder.java,167,return this;,1.0,19,19
1,S124,DefaultOptionBuilder.java,176,this.required = newRequired;,1.0,19,19
1,S125,DefaultOptionBuilder.java,178,return this;,1.0,19,19
1,S130,FileValidator.java,59,public class FileValidator implements Validator {,1.0,19,19
1,S131,FileValidator.java,78,final FileValidator validator = new FileValidator();,1.0,19,19
1,S132,FileValidator.java,79,validator.setExisting(true);,1.0,19,19
1,S133,FileValidator.java,80,validator.setFile(true);,1.0,19,19
1,S134,FileValidator.java,81,return validator;,1.0,19,19
1,S135,FileValidator.java,97,private boolean readable = false;,1.0,19,19
1,S136,FileValidator.java,100,private boolean writable = false;,1.0,19,19
1,S137,FileValidator.java,103,private boolean existing = false;,1.0,19,19
1,S138,FileValidator.java,106,private boolean directory = false;,1.0,19,19
1,S139,FileValidator.java,109,private boolean file = false;,1.0,19,19
1,S140,FileValidator.java,112,private boolean hidden = false;,1.0,19,19
1,S141,FileValidator.java,178,this.existing = existing;,1.0,19,19
1,S142,FileValidator.java,197,this.file = file;,1.0,19,19
20,S154,GroupBuilder.java,85,this.name = newName;,0.57735,3,22
20,S155,GroupBuilder.java,86,return this;,0.57735,3,22
20,S292,Parser.java,174,this.helpTrigger = helpTrigger;,0.57735,3,22
23,S120,DefaultOptionBuilder.java,153,aliases.add(name);,0.5,1,23
24,S18,ArgumentBuilder.java,130,"if ("""".equals(newName)) {",0.447214,3,26
24,S19,ArgumentBuilder.java,133,this.name = newName;,0.447214,3,26
24,S20,ArgumentBuilder.java,134,return this;,0.447214,3,26
27,S128,DefaultOptionBuilder.java,198,this.argument = newArgument;,0.377964,2,28
27,S129,DefaultOptionBuilder.java,200,return this;,0.377964,2,28
29,S113,DefaultOptionBuilder.java,128,preferredName = name;,0.353553,4,32
29,S117,DefaultOptionBuilder.java,148,final String name = longPrefix + longName;,0.353553,4,32
29,S118,DefaultOptionBuilder.java,150,if (preferredName == null) {,0.353553,4,32
29,S121,DefaultOptionBuilder.java,156,return this;,0.353553,4,32
33,S1,ArgumentBuilder.java,34,private final static ResourceHelper resources = ResourceHelper.getResourceHelper();,0.333333,43,75
33,S2,ArgumentBuilder.java,69,public ArgumentBuilder() {,0.333333,43,75
33,S3,ArgumentBuilder.java,70,reset();,0.333333,43,75
33,S4,ArgumentBuilder.java,81,final Argument argument =,0.333333,43,75
33,S6,ArgumentBuilder.java,96,return argument;,0.333333,43,75
33,S7,ArgumentBuilder.java,104,"name = ""arg"";",0.333333,43,75
33,S8,ArgumentBuilder.java,105,description = null;,0.333333,43,75
33,S9,ArgumentBuilder.java,106,minimum = 0;,0.333333,43,75
33,S10,ArgumentBuilder.java,107,maximum = Integer.MAX_VALUE;,0.333333,43,75
33,S11,ArgumentBuilder.java,108,initialSeparator = ArgumentImpl.DEFAULT_INITIAL_SEPARATOR;,0.333333,43,75
33,S12,ArgumentBuilder.java,109,subsequentSeparator = ArgumentImpl.DEFAULT_SUBSEQUENT_SEPARATOR;,0.333333,43,75
33,S13,ArgumentBuilder.java,110,validator = null;,0.333333,43,75
33,S14,ArgumentBuilder.java,111,"consumeRemaining = ""--"";",0.333333,43,75
33,S15,ArgumentBuilder.java,112,defaultValues = null;,0.333333,43,75
33,S16,ArgumentBuilder.java,113,id = 0;,0.333333,43,75
33,S17,ArgumentBuilder.java,114,return this;,0.333333,43,75
33,S31,ArgumentImpl.java,69,private final ResourceHelper resources = ResourceHelper.getResourceHelper();,0.333333,43,75
33,S32,ArgumentImpl.java,107,"super(id, false);",0.333333,43,75
33,S33,ArgumentImpl.java,109,"this.name = (name == null) ? ""arg"" : name;",0.333333,43,75
33,S34,ArgumentImpl.java,110,this.description = description;,0.333333,43,75
33,S35,ArgumentImpl.java,111,this.minimum = minimum;,0.333333,43,75
33,S36,ArgumentImpl.java,112,this.maximum = maximum;,0.333333,43,75
33,S37,ArgumentImpl.java,113,this.initialSeparator = initialSeparator;,0.333333,43,75
33,S38,ArgumentImpl.java,114,this.subsequentSeparator = subsequentSeparator;,0.333333,43,75
33,S39,ArgumentImpl.java,115,this.subsequentSplit = subsequentSeparator != NUL;,0.333333,43,75
33,S40,ArgumentImpl.java,116,this.validator = validator;,0.333333,43,75
33,S41,ArgumentImpl.java,117,this.consumeRemaining = consumeRemaining;,0.333333,43,75
33,S42,ArgumentImpl.java,118,this.defaultValues = valueDefaults;,0.333333,43,75
33,S110,DefaultOptionBuilder.java,114,return this;,0.333333,43,75
33,S304,ResourceHelper.java,47,private ResourceHelper() {,0.333333,43,75
33,S305,ResourceHelper.java,48,String bundleName = System.getProperty(PROP_LOCALE);,0.333333,43,75
