rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S719,GroupImpl.java,465,return minimum;,0.547723,2,2
1,S720,GroupImpl.java,473,return getMinimum() > 0;,0.547723,2,2
3,S558,GroupBuilder.java,95,this.minimum = newMinimum;,0.474342,4,6
3,S559,GroupBuilder.java,96,return this;,0.474342,4,6
3,S560,GroupBuilder.java,105,this.maximum = newMaximum;,0.474342,4,6
3,S561,GroupBuilder.java,106,return this;,0.474342,4,6
7,S89,ArgumentImpl.java,159,arguments.previous();,0.4,3,9
7,S90,ArgumentImpl.java,161,break;,0.4,3,9
7,S648,GroupImpl.java,274,"throw new OptionException(this, ResourceConstants.MISSING_OPTION);",0.4,3,9
10,S652,GroupImpl.java,285,return name;,0.307794,1,10
11,S600,GroupImpl.java,153,return optionMap.keySet();,0.286039,1,11
12,S988,ParentImpl.java,124,"argument.validate(commandLine, this);",0.279751,1,12
13,S588,GroupImpl.java,121,return true;,0.273861,1,13
14,S910,OptionException.java,63,"this(option, messageKey, null);",0.26968,2,15
14,S917,OptionException.java,83,buffer.append(helper.getMessage(messageKey));,0.26968,2,15
16,S971,ParentImpl.java,66,"handleInitialSeparator(arguments, argument.getInitialSeparator());",0.268328,6,21
16,S974,ParentImpl.java,72,"argument.processValues(commandLine, arguments, this);",0.268328,6,21
16,S1009,ParentImpl.java,212,final String newArgument = (String) arguments.next();,0.268328,6,21
16,S1010,ParentImpl.java,215,final int initialIndex = newArgument.indexOf(separator);,0.268328,6,21
16,S1011,ParentImpl.java,217,if (initialIndex > 0) {,0.268328,6,21
16,S1019,ParentImpl.java,230,arguments.previous();,0.268328,6,21
22,S1026,ParentImpl.java,250,"argument.defaultValues(commandLine, this);",0.253546,1,22
23,S101,ArgumentImpl.java,185,++argumentCount;,0.249136,3,25
23,S102,ArgumentImpl.java,186,"commandLine.addValue(option, allValues);",0.249136,3,25
23,S118,ArgumentImpl.java,249,if (validator != null) {,0.249136,3,25
26,S106,ArgumentImpl.java,207,return this.initialSeparator;,0.244949,3,28
26,S116,ArgumentImpl.java,244,if (values.size() > maximum) {,0.244949,3,28
26,S1460,WriteableCommandLineImpl.java,258,defaultValues.remove(option);,0.244949,3,28
29,S415,DefaultOption.java,176,super.validate(commandLine);,0.237171,3,31
