statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,2,2,172,0.0
S2,0,2,2,172,0.0
S3,0,2,2,172,0.0
S4,0,2,2,172,0.0
S5,0,2,2,172,0.0
S6,0,2,2,172,0.0
S7,0,2,24,150,0.0
S8,1,1,68,106,0.085126
S9,1,1,68,106,0.085126
S10,0,2,43,131,0.0
S11,0,2,6,168,0.0
S12,0,2,7,167,0.0
S13,0,2,4,170,0.0
S14,0,2,4,170,0.0
S15,0,2,4,170,0.0
S16,0,2,7,167,0.0
S17,0,2,7,167,0.0
S18,0,2,7,167,0.0
S19,0,2,7,167,0.0
S20,0,2,7,167,0.0
S21,0,2,2,172,0.0
S22,0,2,37,137,0.0
S23,0,2,37,137,0.0
S24,0,2,8,166,0.0
S25,0,2,43,131,0.0
S26,0,2,43,131,0.0
S27,0,2,43,131,0.0
S28,0,2,43,131,0.0
S29,0,2,43,131,0.0
S30,0,2,43,131,0.0
S31,0,2,48,126,0.0
S32,0,2,48,126,0.0
S33,0,2,46,128,0.0
S34,0,2,46,128,0.0
S35,0,2,38,136,0.0
S36,0,2,36,138,0.0
S37,0,2,8,166,0.0
S38,0,2,14,160,0.0
S39,0,2,2,172,0.0
S40,0,2,2,172,0.0
S41,0,2,2,172,0.0
S42,0,2,1,173,0.0
S43,0,2,1,173,0.0
S44,0,2,1,173,0.0
S45,0,2,1,173,0.0
S46,0,2,1,173,0.0
S47,0,2,1,173,0.0
S48,0,2,1,173,0.0
S49,0,2,1,173,0.0
S50,0,2,1,173,0.0
S51,0,2,1,173,0.0
S52,0,2,1,173,0.0
S53,0,2,9,165,0.0
S54,0,2,9,165,0.0
S55,0,2,9,165,0.0
S56,0,2,7,167,0.0
S57,1,1,12,162,0.196116
S58,1,1,61,113,0.089803
S59,0,2,1,173,0.0
S60,0,2,1,173,0.0
S61,0,2,1,173,0.0
S62,0,2,1,173,0.0
S63,0,2,26,148,0.0
S64,0,2,5,169,0.0
S65,0,2,5,169,0.0
S66,0,2,5,169,0.0
S67,0,2,5,169,0.0
S68,0,2,5,169,0.0
S69,0,2,5,169,0.0
S70,0,2,5,169,0.0
S71,0,2,5,169,0.0
S72,0,2,5,169,0.0
S73,0,2,5,169,0.0
S74,0,2,3,171,0.0
S75,0,2,3,171,0.0
S76,0,2,2,172,0.0
S77,0,2,2,172,0.0
S78,0,2,1,173,0.0
S79,0,2,1,173,0.0
S80,0,2,3,171,0.0
S81,0,2,5,169,0.0
S82,0,2,1,173,0.0
S83,0,2,1,173,0.0
S84,0,2,5,169,0.0
S85,1,1,25,149,0.138675
S86,1,1,25,149,0.138675
S87,1,1,25,149,0.138675
S88,1,1,25,149,0.138675
S89,1,1,25,149,0.138675
S90,1,1,25,149,0.138675
S91,1,1,25,149,0.138675
S92,1,1,25,149,0.138675
S93,1,1,25,149,0.138675
S94,1,1,25,149,0.138675
S95,1,1,25,149,0.138675
S96,0,2,2,172,0.0
S97,0,2,1,173,0.0
S98,0,2,1,173,0.0
S99,0,2,1,173,0.0
S100,0,2,1,173,0.0
S101,0,2,1,173,0.0
S102,0,2,1,173,0.0
S103,0,2,1,173,0.0
S104,0,2,1,173,0.0
S105,0,2,3,171,0.0
S106,0,2,1,173,0.0
S107,0,2,1,173,0.0
S108,0,2,1,173,0.0
S109,0,2,1,173,0.0
S110,0,2,2,172,0.0
S111,0,2,1,173,0.0
S112,1,1,1,173,0.5
S113,0,2,1,173,0.0
S114,1,1,20,154,0.154303
S115,0,2,2,172,0.0
S116,0,2,1,173,0.0
S117,0,2,1,173,0.0
S118,0,2,4,170,0.0
S119,0,2,1,173,0.0
S120,0,2,5,169,0.0
S121,0,2,5,169,0.0
S122,0,2,4,170,0.0
S123,0,2,3,171,0.0
S124,0,2,12,162,0.0
S125,0,2,1,173,0.0
S126,0,2,11,163,0.0
