statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,4,6,3,3,0.478091
S2,4,6,3,3,0.478091
S3,4,6,3,3,0.478091
S4,4,6,3,3,0.478091
S5,4,6,3,3,0.478091
S6,4,6,3,3,0.478091
S7,4,6,3,3,0.478091
S8,4,6,3,3,0.478091
S9,4,6,3,3,0.478091
S10,4,6,3,3,0.478091
S11,4,6,3,3,0.478091
S12,1,9,0,6,0.316228
S13,2,8,1,5,0.365148
S14,1,9,0,6,0.316228
S15,1,9,0,6,0.316228
S16,1,9,0,6,0.316228
S17,1,9,0,6,0.316228
S18,1,9,0,6,0.316228
S19,1,9,0,6,0.316228
S20,1,9,0,6,0.316228
S21,0,10,1,5,0.0
S22,0,10,1,5,0.0
S23,0,10,1,5,0.0
S24,5,5,3,3,0.559017
S25,5,5,3,3,0.559017
S26,5,5,3,3,0.559017
S27,5,5,3,3,0.559017
S28,5,5,3,3,0.559017
S29,5,5,3,3,0.559017
S30,5,5,3,3,0.559017
S31,5,5,3,3,0.559017
S32,5,5,3,3,0.559017
S33,5,5,3,3,0.559017
S34,5,5,3,3,0.559017
S35,5,5,3,3,0.559017
S36,5,5,3,3,0.559017
S37,5,5,3,3,0.559017
S38,1,9,1,5,0.223607
S39,0,10,1,5,0.0
S40,0,10,1,5,0.0
S41,0,10,1,5,0.0
S42,0,10,1,5,0.0
S43,0,10,1,5,0.0
S44,5,5,3,3,0.559017
S45,5,5,3,3,0.559017
S46,9,1,6,0,0.734847
S47,9,1,6,0,0.734847
S48,9,1,6,0,0.734847
S49,9,1,6,0,0.734847
S50,9,1,6,0,0.734847
S51,9,1,6,0,0.734847
S52,3,7,2,4,0.424264
S53,2,8,2,4,0.316228
S54,3,7,2,4,0.424264
S55,3,7,2,4,0.424264
S56,3,7,2,4,0.424264
S57,2,8,2,4,0.316228
S58,2,8,2,4,0.316228
S59,3,7,2,4,0.424264
S60,3,7,2,4,0.424264
S61,2,8,2,4,0.316228
S62,2,8,2,4,0.316228
S63,2,8,2,4,0.316228
S64,2,8,2,4,0.316228
S65,2,8,2,4,0.316228
S66,2,8,2,4,0.316228
S67,2,8,2,4,0.316228
S68,1,9,0,6,0.316228
S69,5,5,3,3,0.559017
S70,9,1,6,0,0.734847
S71,9,1,6,0,0.734847
S72,10,0,6,0,0.790569
S73,9,1,6,0,0.734847
S74,2,8,2,4,0.316228
S75,3,7,2,4,0.424264
S76,3,7,2,4,0.424264
S77,3,7,2,4,0.424264
S78,3,7,2,4,0.424264
S79,2,8,2,4,0.316228
S80,2,8,2,4,0.316228
S81,3,7,2,4,0.424264
S82,3,7,2,4,0.424264
S83,2,8,2,4,0.316228
S84,1,9,2,4,0.182574
S85,2,8,0,6,0.447214
S86,2,8,0,6,0.447214
S87,2,8,0,6,0.447214
