virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testHWRuleEx1_this_L229_F_1,org.apache.commons.codec.language.SoundexTest::testHWRuleEx1,org.apache.commons.codec.language.SoundexTest,testHWRuleEx1,this,229,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_failing/testHWRuleEx1_this_L229_F_1/slice.log,
testHWRuleEx1_this_L230_F_2,org.apache.commons.codec.language.SoundexTest::testHWRuleEx1,org.apache.commons.codec.language.SoundexTest,testHWRuleEx1,this,230,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_failing/testHWRuleEx1_this_L230_F_2/slice.log,
testHWRuleEx1_this_L231_F_3,org.apache.commons.codec.language.SoundexTest::testHWRuleEx1,org.apache.commons.codec.language.SoundexTest,testHWRuleEx1,this,231,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_failing/testHWRuleEx1_this_L231_F_3/slice.log,
testHWRuleEx1_this_L232_F_4,org.apache.commons.codec.language.SoundexTest::testHWRuleEx1,org.apache.commons.codec.language.SoundexTest,testHWRuleEx1,this,232,Virtual_Fail,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_failing/testHWRuleEx1_this_L232_F_4/slice.log,
testBadCharacters_this_L88_P_1,org.apache.commons.codec.language.SoundexTest::testBadCharacters,org.apache.commons.codec.language.SoundexTest,testBadCharacters,this,88,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testBadCharacters_this_L88_P_1/slice.log,
testDifference_this_L95_P_2,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,95,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L95_P_2/slice.log,
testDifference_this_L96_P_3,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,96,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L96_P_3/slice.log,
testDifference_this_L97_P_4,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,97,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L97_P_4/slice.log,
testDifference_this_L99_P_5,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,99,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L99_P_5/slice.log,
testDifference_this_L100_P_6,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,100,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L100_P_6/slice.log,
testDifference_this_L101_P_7,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,101,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L101_P_7/slice.log,
testDifference_this_L102_P_8,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,102,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L102_P_8/slice.log,
testDifference_this_L104_P_9,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,104,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L104_P_9/slice.log,
testDifference_this_L105_P_10,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,105,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L105_P_10/slice.log,
testDifference_this_L107_P_11,org.apache.commons.codec.language.SoundexTest::testDifference,org.apache.commons.codec.language.SoundexTest,testDifference,this,107,Virtual_Pass,1,/opt/resq/resQ_outputs/work/Codec_15b/step2_slicing/_slicer4j_passed/testDifference_this_L107_P_11/slice.log,
