test_case,test_class,test_method,variable,line,virtual_status
org.apache.commons.codec.binary.Base64Test::testCodeInteger1,org.apache.commons.codec.binary.Base64Test,testCodeInteger1,Base64,130,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testCodeInteger2,org.apache.commons.codec.binary.Base64Test,testCodeInteger2,Base64,138,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testCodeInteger3,org.apache.commons.codec.binary.Base64Test,testCodeInteger3,Base64,148,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testCodeInteger4,org.apache.commons.codec.binary.Base64Test,testCodeInteger4,Base64,164,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnly,org.apache.commons.codec.binary.Base64Test,testDecodePadOnly,Base64,255,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnly,org.apache.commons.codec.binary.Base64Test,testDecodePadOnly,Base64,258,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnly,org.apache.commons.codec.binary.Base64Test,testDecodePadOnly,Base64,259,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnly,org.apache.commons.codec.binary.Base64Test,testDecodePadOnly,Base64,260,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnly,org.apache.commons.codec.binary.Base64Test,testDecodePadOnly,Base64,261,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnlyChunked,org.apache.commons.codec.binary.Base64Test,testDecodePadOnlyChunked,Base64,265,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnlyChunked,org.apache.commons.codec.binary.Base64Test,testDecodePadOnlyChunked,Base64,268,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnlyChunked,org.apache.commons.codec.binary.Base64Test,testDecodePadOnlyChunked,Base64,269,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnlyChunked,org.apache.commons.codec.binary.Base64Test,testDecodePadOnlyChunked,Base64,270,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testDecodePadOnlyChunked,org.apache.commons.codec.binary.Base64Test,testDecodePadOnlyChunked,Base64,271,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testEncodeDecodeRandom,org.apache.commons.codec.binary.Base64Test,testEncodeDecodeRandom,Base64,315,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,361,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,362,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,363,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,364,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,365,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,366,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,367,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,368,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,369,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,370,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testIsArrayByteBase64,org.apache.commons.codec.binary.Base64Test,testIsArrayByteBase64,Base64,371,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testRfc2045Section6Dot8ChunkSizeDefinition,org.apache.commons.codec.binary.Base64Test,testRfc2045Section6Dot8ChunkSizeDefinition,Base64,515,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testRfc1421Section6Dot8ChunkSizeDefinition,org.apache.commons.codec.binary.Base64Test,testRfc1421Section6Dot8ChunkSizeDefinition,Base64,522,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testRfc4648Section10Encode,org.apache.commons.codec.binary.Base64Test,testRfc4648Section10Encode,Base64,589,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testRfc4648Section10Encode,org.apache.commons.codec.binary.Base64Test,testRfc4648Section10Encode,Base64,590,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testRfc4648Section10Encode,org.apache.commons.codec.binary.Base64Test,testRfc4648Section10Encode,Base64,591,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testRfc4648Section10Encode,org.apache.commons.codec.binary.Base64Test,testRfc4648Section10Encode,Base64,592,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testRfc4648Section10Encode,org.apache.commons.codec.binary.Base64Test,testRfc4648Section10Encode,Base64,593,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testRfc4648Section10Encode,org.apache.commons.codec.binary.Base64Test,testRfc4648Section10Encode,Base64,594,Virtual_Pass
org.apache.commons.codec.binary.Base64Test::testRfc4648Section10Encode,org.apache.commons.codec.binary.Base64Test,testRfc4648Section10Encode,Base64,595,Virtual_Pass
