statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,1,7,79,0.0
S2,0,1,9,77,0.0
S3,0,1,9,77,0.0
S4,0,1,5,81,0.0
S5,0,1,4,82,0.0
S6,0,1,1,85,0.0
S7,0,1,3,83,0.0
S8,0,1,5,81,0.0
S9,0,1,1,85,0.0
S10,0,1,4,82,0.0
S11,0,1,5,81,0.0
S12,0,1,1,85,0.0
S13,0,1,4,82,0.0
S14,0,1,1,85,0.0
S15,0,1,1,85,0.0
S16,0,1,5,81,0.0
S17,0,1,1,85,0.0
S18,0,1,4,82,0.0
S19,0,1,6,80,0.0
S20,0,1,2,84,0.0
S21,0,1,4,82,0.0
S22,0,1,1,85,0.0
S23,0,1,1,85,0.0
S24,0,1,1,85,0.0
S25,0,1,1,85,0.0
S26,0,1,1,85,0.0
S27,0,1,1,85,0.0
S28,0,1,1,85,0.0
S29,0,1,1,85,0.0
S30,0,1,1,85,0.0
S31,0,1,1,85,0.0
S32,0,1,1,85,0.0
S33,0,1,1,85,0.0
S34,0,1,4,82,0.0
S35,1,0,79,7,0.111803
S36,1,0,79,7,0.111803
S37,1,0,79,7,0.111803
S38,1,0,79,7,0.111803
S39,0,1,41,45,0.0
S40,0,1,20,66,0.0
S41,0,1,42,44,0.0
S42,0,1,56,30,0.0
S43,1,0,74,12,0.11547
S44,1,0,74,12,0.11547
S45,0,1,2,84,0.0
S46,0,1,2,84,0.0
S47,1,0,74,12,0.11547
S48,1,0,74,12,0.11547
S49,1,0,74,12,0.11547
S50,1,0,74,12,0.11547
S51,0,1,27,59,0.0
S52,1,0,53,33,0.136083
S53,1,0,74,12,0.11547
S54,1,0,74,12,0.11547
S55,0,1,1,85,0.0
S56,0,1,1,85,0.0
S57,1,0,74,12,0.11547
S58,0,1,1,85,0.0
S59,0,1,8,78,0.0
S60,1,0,62,24,0.125988
S61,1,0,62,24,0.125988
S62,1,0,62,24,0.125988
S63,1,0,62,24,0.125988
S64,1,0,62,24,0.125988
S65,0,1,1,85,0.0
S66,0,1,1,85,0.0
S67,0,1,1,85,0.0
S68,1,0,60,26,0.128037
S69,1,0,60,26,0.128037
S70,1,0,60,26,0.128037
S71,1,0,60,26,0.128037
S72,1,0,60,26,0.128037
S73,1,0,60,26,0.128037
S74,1,0,60,26,0.128037
S75,0,1,8,78,0.0
S76,1,0,41,45,0.154303
S77,0,1,5,81,0.0
S78,1,0,41,45,0.154303
S79,1,0,41,45,0.154303
S80,1,0,41,45,0.154303
S81,0,1,9,77,0.0
S82,1,0,41,45,0.154303
S83,1,0,19,67,0.223607
S84,1,0,19,67,0.223607
S85,1,0,19,67,0.223607
S86,1,0,18,68,0.229416
S87,1,0,18,68,0.229416
S88,0,1,27,59,0.0
S89,0,1,27,59,0.0
S90,0,1,27,59,0.0
S91,0,1,27,59,0.0
S92,0,1,25,61,0.0
S93,1,0,41,45,0.154303
S94,1,0,41,45,0.154303
S95,0,1,11,75,0.0
S96,0,1,11,75,0.0
S97,1,0,41,45,0.154303
S98,1,0,37,49,0.162221
S99,1,0,37,49,0.162221
S100,1,0,37,49,0.162221
S101,1,0,37,49,0.162221
S102,1,0,37,49,0.162221
S103,1,0,37,49,0.162221
S104,0,1,23,63,0.0
S105,1,0,37,49,0.162221
S106,1,0,37,49,0.162221
S107,0,1,34,52,0.0
S108,0,1,34,52,0.0
S109,0,1,34,52,0.0
S110,0,1,34,52,0.0
S111,0,1,34,52,0.0
S112,0,1,34,52,0.0
S113,0,1,9,77,0.0
S114,0,1,9,77,0.0
S115,0,1,9,77,0.0
S116,0,1,46,40,0.0
S117,0,1,37,49,0.0
S118,0,1,46,40,0.0
S119,0,1,32,54,0.0
S120,0,1,46,40,0.0
S121,0,1,42,44,0.0
S122,0,1,42,44,0.0
S123,0,1,42,44,0.0
S124,0,1,42,44,0.0
S125,0,1,32,54,0.0
S126,0,1,32,54,0.0
S127,0,1,41,45,0.0
S128,0,1,41,45,0.0
S129,0,1,41,45,0.0
S130,0,1,39,47,0.0
S131,0,1,39,47,0.0
S132,0,1,39,47,0.0
S133,0,1,33,53,0.0
S134,0,1,33,53,0.0
S135,0,1,33,53,0.0
S136,0,1,46,40,0.0
S137,0,1,36,50,0.0
S138,0,1,4,82,0.0
S139,0,1,36,50,0.0
S140,0,1,23,63,0.0
S141,0,1,23,63,0.0
S142,0,1,23,63,0.0
S143,0,1,29,57,0.0
S144,0,1,29,57,0.0
S145,0,1,29,57,0.0
