statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,3,124,84,0.0
S2,0,3,124,84,0.0
S3,0,3,4,204,0.0
S4,0,3,123,85,0.0
S5,0,3,8,200,0.0
S6,0,3,2,206,0.0
S7,0,3,1,207,0.0
S8,0,3,6,202,0.0
S9,1,2,57,151,0.07581
S10,0,3,21,187,0.0
S11,0,3,7,201,0.0
S12,0,3,2,206,0.0
S13,0,3,3,205,0.0
S14,0,3,1,207,0.0
S15,0,3,1,207,0.0
S16,0,3,1,207,0.0
S17,0,3,1,207,0.0
S18,0,3,7,201,0.0
S19,0,3,2,206,0.0
S20,1,2,54,154,0.07785
S21,0,3,2,206,0.0
S22,0,3,2,206,0.0
S23,0,3,2,206,0.0
S24,0,3,27,181,0.0
S25,0,3,3,205,0.0
S26,0,3,1,207,0.0
S27,0,3,2,206,0.0
S28,0,3,2,206,0.0
S29,0,3,2,206,0.0
S30,0,3,2,206,0.0
S31,0,3,8,200,0.0
S32,0,3,8,200,0.0
S33,0,3,1,207,0.0
S34,0,3,1,207,0.0
S35,0,3,1,207,0.0
S36,0,3,1,207,0.0
S37,0,3,2,206,0.0
S38,0,3,2,206,0.0
S39,0,3,2,206,0.0
S40,0,3,2,206,0.0
S41,0,3,2,206,0.0
S42,0,3,2,206,0.0
S43,0,3,2,206,0.0
S44,0,3,2,206,0.0
S45,0,3,2,206,0.0
S46,0,3,2,206,0.0
S47,0,3,2,206,0.0
S48,0,3,2,206,0.0
S49,0,3,2,206,0.0
S50,0,3,2,206,0.0
S51,0,3,2,206,0.0
S52,0,3,6,202,0.0
S53,0,3,8,200,0.0
S54,0,3,8,200,0.0
S55,0,3,8,200,0.0
S56,0,3,8,200,0.0
S57,0,3,8,200,0.0
S58,0,3,8,200,0.0
S59,0,3,8,200,0.0
S60,0,3,5,203,0.0
S61,0,3,5,203,0.0
S62,0,3,5,203,0.0
S63,0,3,5,203,0.0
S64,0,3,5,203,0.0
S65,0,3,5,203,0.0
S66,0,3,5,203,0.0
S67,0,3,5,203,0.0
S68,0,3,4,204,0.0
S69,0,3,4,204,0.0
S70,0,3,5,203,0.0
S71,0,3,5,203,0.0
S72,0,3,5,203,0.0
S73,0,3,8,200,0.0
S74,0,3,8,200,0.0
S75,0,3,2,206,0.0
S76,0,3,27,181,0.0
S77,0,3,27,181,0.0
S78,0,3,27,181,0.0
S79,0,3,27,181,0.0
S80,0,3,3,205,0.0
S81,0,3,1,207,0.0
S82,0,3,8,200,0.0
S83,0,3,1,207,0.0
S84,0,3,5,203,0.0
S85,0,3,9,199,0.0
S86,0,3,9,199,0.0
S87,0,3,2,206,0.0
S88,0,3,2,206,0.0
S89,0,3,2,206,0.0
S90,0,3,7,201,0.0
S91,0,3,6,202,0.0
S92,0,3,7,201,0.0
S93,0,3,6,202,0.0
S94,0,3,3,205,0.0
S95,0,3,3,205,0.0
S96,0,3,3,205,0.0
S97,0,3,3,205,0.0
S98,0,3,1,207,0.0
S99,0,3,2,206,0.0
S100,0,3,2,206,0.0
S101,0,3,2,206,0.0
S102,0,3,2,206,0.0
S103,0,3,2,206,0.0
S104,0,3,2,206,0.0
S105,0,3,2,206,0.0
S106,0,3,2,206,0.0
S107,0,3,2,206,0.0
S108,0,3,2,206,0.0
S109,0,3,2,206,0.0
S110,0,3,2,206,0.0
S111,0,3,2,206,0.0
S112,0,3,2,206,0.0
S113,0,3,2,206,0.0
S114,0,3,2,206,0.0
S115,0,3,2,206,0.0
S116,0,3,2,206,0.0
S117,0,3,1,207,0.0
S118,0,3,1,207,0.0
