test_case,result,assertx_calls_found,assertx_calls_counted
org.apache.commons.compress.DetectArchiverTestCase::testDetection,PASS,12,12
org.apache.commons.compress.DetectArchiverTestCase::testEmptyCpioArchive,PASS,0,0
org.apache.commons.compress.DetectArchiverTestCase::testEmptyJarArchive,PASS,0,0
org.apache.commons.compress.DetectArchiverTestCase::testEmptyZipArchive,PASS,0,0
org.apache.commons.compress.archivers.ArTestCase::testArArchiveCreation,PASS,0,0
org.apache.commons.compress.archivers.ArTestCase::testArUnarchive,PASS,0,0
org.apache.commons.compress.archivers.CpioTestCase::testCpioArchiveCreation,PASS,0,0
org.apache.commons.compress.archivers.CpioTestCase::testCpioUnarchive,PASS,4,0
org.apache.commons.compress.archivers.JarTestCase::testJarArchiveCreation,PASS,0,0
org.apache.commons.compress.archivers.JarTestCase::testJarUnarchive,PASS,0,0
org.apache.commons.compress.archivers.JarTestCase::testJarUnarchiveAll,PASS,0,0
org.apache.commons.compress.archivers.TarTestCase::testTarArchiveCreation,PASS,0,0
org.apache.commons.compress.archivers.TarTestCase::testTarArchiveLongNameCreation,PASS,2,1
org.apache.commons.compress.archivers.TarTestCase::testTarUnarchive,PASS,0,0
org.apache.commons.compress.archivers.ZipTestCase::testZipArchiveCreation,PASS,3,2
org.apache.commons.compress.archivers.ZipTestCase::testZipUnarchive,PASS,0,0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest::testCpioUnarchive,PASS,1,1
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripExplicitUnicodeExtra,PASS,0,0
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripNoEFSExplicitUnicodeExtra,PASS,0,0
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testCP437FileRoundtripExplicitUnicodeExtra,PASS,0,0
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testASCIIFileRoundtripExplicitUnicodeExtra,PASS,0,0
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripImplicitUnicodeExtra,PASS,0,0
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8FileRoundtripNoEFSImplicitUnicodeExtra,PASS,0,0
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testCP437FileRoundtripImplicitUnicodeExtra,PASS,0,0
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testASCIIFileRoundtripImplicitUnicodeExtra,PASS,0,0
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testRead7ZipArchive,PASS,3,3
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testRead7ZipArchiveForStream,PASS,3,3
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testReadWinZipArchive,PASS,3,3
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testReadWinZipArchiveForStream,PASS,3,3
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testZipFileReadsUnicodeFields,PASS,3,3
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testZipArchiveInputStreamReadsUnicodeFields,PASS,3,3
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest::testUtf8Interoperability,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteDir,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFile,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeletePlusAdd,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToZip,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testAddDeleteAdd,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteAddDelete,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromZip,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromTar,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromJar,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToTar,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteFromAndAddToJar,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testRenameAndDelete,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testAddMoveDelete,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testAddToEmptyArchive,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testDeleteAddToOneFileArchive,PASS,0,0
org.apache.commons.compress.changes.ChangeSetTestCase::testAddDeleteToOneFileArchive,PASS,0,0
org.apache.commons.compress.compressors.BZip2TestCase::testBzipCreation,PASS,0,0
org.apache.commons.compress.compressors.BZip2TestCase::testBzip2Unarchive,PASS,0,0
org.apache.commons.compress.compressors.GZipTestCase::testGzipCreation,PASS,0,0
org.apache.commons.compress.compressors.GZipTestCase::testGzipUnarchive,PASS,0,0
