rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1885,TarArchiveEntry.java,860,return true;,0.447214,1,1
2,S2021,TarArchiveInputStream.java,285,} catch (final IllegalArgumentException e) {,0.258199,7,8
2,S2022,TarArchiveInputStream.java,286,"throw new IOException(""Error detected parsing the header"", e);",0.258199,7,8
2,S2362,TarUtils.java,140,throw new IllegalArgumentException(,0.258199,7,8
2,S2387,TarUtils.java,245,"String string = new String(buffer, offset, length);",0.258199,7,8
2,S2388,TarUtils.java,247,"string=string.replaceAll(""\0"", ""{NUL}""); // Replace NULs to allow string to be printed",0.258199,7,8
2,S2389,TarUtils.java,248,"final String s = ""Invalid byte ""+currentByte+"" at offset ""+(current-offset)+"" in '""+string+""' len=""+length;",0.258199,7,8
2,S2390,TarUtils.java,249,return s;,0.258199,7,8
9,S2006,TarArchiveInputStream.java,213,return 0;,0.223607,8,16
9,S2369,TarUtils.java,175,"return parseBinaryLong(buffer, offset, length, negative);",0.223607,8,16
9,S2371,TarUtils.java,183,if (length >= 9) {,0.223607,8,16
9,S2372,TarUtils.java,189,long val = 0;,0.223607,8,16
9,S2373,TarUtils.java,190,for (int i = 1; i < length; i++) {,0.223607,8,16
9,S2374,TarUtils.java,191,val = (val << 8) + (buffer[offset + i] & 0xff);,0.223607,8,16
9,S2375,TarUtils.java,193,if (negative) {,0.223607,8,16
9,S2378,TarUtils.java,198,return negative ? -val : val;,0.223607,8,16
17,S2367,TarUtils.java,173,final boolean negative = buffer[offset] == (byte) 0xff;,0.169031,2,18
17,S2368,TarUtils.java,174,if (length < 9) {,0.169031,2,18
19,S2035,TarArchiveInputStream.java,319,paxHeaders();,0.119523,3,21
19,S2075,TarArchiveInputStream.java,444,"final Map<String, String> headers = parsePaxHeaders(this);",0.119523,3,21
19,S2076,TarArchiveInputStream.java,445,getNextEntry(); // Get the actual file entry,0.119523,3,21
22,S2078,TarArchiveInputStream.java,454,"final Map<String, String> headers = new HashMap<String, String>(globalPaxHeaders);",0.102598,7,28
22,S2079,TarArchiveInputStream.java,458,int len = 0;,0.102598,7,28
22,S2080,TarArchiveInputStream.java,459,int read = 0;,0.102598,7,28
22,S2081,TarArchiveInputStream.java,460,while((ch = i.read()) != -1) {,0.102598,7,28
22,S2103,TarArchiveInputStream.java,499,if (ch == -1){ // EOF,0.102598,7,28
22,S2104,TarArchiveInputStream.java,500,break;,0.102598,7,28
22,S2105,TarArchiveInputStream.java,503,return headers;,0.102598,7,28
29,S183,ArchiveInputStream.java,81,"final int num = read(SINGLE, 0, 1);",0.1,2,30
29,S184,ArchiveInputStream.java,82,return num == -1 ? -1 : SINGLE[0] & BYTE_MASK;,0.1,2,30
31,S1617,IOUtils.java,105,break;,0.084515,9,39
31,S1620,IOUtils.java,111,"final int read = readFully(input, SKIP_BUF, 0,",0.084515,9,39
31,S1621,IOUtils.java,113,if (read < 1) {,0.084515,9,39
31,S1622,IOUtils.java,114,break;,0.084515,9,39
31,S2005,TarArchiveInputStream.java,212,if (n <= 0 || isDirectory()) {,0.084515,9,39
31,S2014,TarArchiveInputStream.java,269,"IOUtils.skip(this, Long.MAX_VALUE);",0.084515,9,39
31,S2015,TarArchiveInputStream.java,272,skipRecordPadding();,0.084515,9,39
31,S2041,TarArchiveInputStream.java,342,if (!isDirectory() && this.entrySize > 0 && this.entrySize % this.recordSize != 0) {,0.084515,9,39
31,S2132,TarArchiveInputStream.java,600,return getNextTarEntry();,0.084515,9,39
40,S1613,IOUtils.java,101,final long available = numToSkip;,0.08165,10,49
40,S1614,IOUtils.java,102,while (numToSkip > 0) {,0.08165,10,49
40,S1615,IOUtils.java,103,final long skipped = input.skip(numToSkip);,0.08165,10,49
40,S1616,IOUtils.java,104,if (skipped == 0) {,0.08165,10,49
40,S1619,IOUtils.java,110,while (numToSkip > 0) {,0.08165,10,49
40,S1623,IOUtils.java,118,return available - numToSkip;,0.08165,10,49
40,S2131,TarArchiveInputStream.java,588,return currEntry != null && currEntry.isDirectory();,0.08165,10,49
40,S2139,TarArchiveInputStream.java,644,int totalRead = 0;,0.08165,10,49
40,S2140,TarArchiveInputStream.java,646,if (hasHitEOF || isDirectory() || entryOffset >= entrySize) {,0.08165,10,49
40,S2141,TarArchiveInputStream.java,647,return -1;,0.08165,10,49
50,S1630,IOUtils.java,162,break;,0.080322,1,50
51,S1980,TarArchiveEntry.java,1226,return FORMAT_POSIX;,0.07785,1,51
52,S1978,TarArchiveEntry.java,1222,"if (ArchiveUtils.matchAsciiBuffer(MAGIC_XSTAR, header, XSTAR_MAGIC_OFFSET,",0.076696,1,52
53,S1962,TarArchiveEntry.java,1153,final String prefix = oldStyle,0.074536,3,55
53,S1963,TarArchiveEntry.java,1158,"if (isDirectory() && !name.endsWith(""/"")){",0.074536,3,55
53,S1965,TarArchiveEntry.java,1161,if (prefix.length() > 0){,0.074536,3,55
56,S1977,TarArchiveEntry.java,1221,"if (ArchiveUtils.matchAsciiBuffer(MAGIC_POSIX, header, MAGIC_OFFSET, MAGICLEN)) {",0.073521,1,56
57,S305,ArchiveUtils.java,155,return false;,0.069007,1,57
58,S306,ArchiveUtils.java,158,if (length1 == length2){,0.065938,3,60
58,S307,ArchiveUtils.java,159,return true;,0.065938,3,60
58,S2400,TarUtils.java,304,"return """";",0.065938,3,60
61,S1876,TarArchiveEntry.java,808,return linkFlag == LF_GNUTYPE_LONGLINK;,0.065233,43,103
61,S1877,TarArchiveEntry.java,817,return linkFlag == LF_GNUTYPE_LONGNAME;,0.065233,43,103
61,S1878,TarArchiveEntry.java,829,return linkFlag == LF_PAX_EXTENDED_HEADER_LC,0.065233,43,103
61,S1879,TarArchiveEntry.java,841,return linkFlag == LF_PAX_GLOBAL_EXTENDED_HEADER;,0.065233,43,103
61,S1931,TarArchiveEntry.java,1107,offset += CHKSUMLEN;,0.065233,43,103
61,S1932,TarArchiveEntry.java,1108,linkFlag = header[offset++];,0.065233,43,103
61,S1933,TarArchiveEntry.java,1109,"linkName = oldStyle ? TarUtils.parseName(header, offset, NAMELEN)",0.065233,43,103
61,S1934,TarArchiveEntry.java,1111,offset += NAMELEN;,0.065233,43,103
61,S1935,TarArchiveEntry.java,1112,"magic = TarUtils.parseName(header, offset, MAGICLEN);",0.065233,43,103
61,S1936,TarArchiveEntry.java,1113,offset += MAGICLEN;,0.065233,43,103
61,S1937,TarArchiveEntry.java,1114,"version = TarUtils.parseName(header, offset, VERSIONLEN);",0.065233,43,103
61,S1938,TarArchiveEntry.java,1115,offset += VERSIONLEN;,0.065233,43,103
61,S1939,TarArchiveEntry.java,1116,"userName = oldStyle ? TarUtils.parseName(header, offset, UNAMELEN)",0.065233,43,103
61,S1940,TarArchiveEntry.java,1118,offset += UNAMELEN;,0.065233,43,103
61,S1941,TarArchiveEntry.java,1119,"groupName = oldStyle ? TarUtils.parseName(header, offset, GNAMELEN)",0.065233,43,103
