test_case,test_class,test_method,variable,line,virtual_status
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,467,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,468,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,469,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,470,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,471,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,472,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,474,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,475,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,476,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,477,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,478,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,479,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testChangeSetResults,org.apache.commons.compress.changes.ChangeSetTestCase,testChangeSetResults,results,480,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testAddAllreadyExistingWithReplaceTrue,org.apache.commons.compress.changes.ChangeSetTestCase,testAddAllreadyExistingWithReplaceTrue,results,1234,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testAddAllreadyExistingWithReplaceFalse,org.apache.commons.compress.changes.ChangeSetTestCase,testAddAllreadyExistingWithReplaceFalse,results,1279,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testAddAllreadyExistingWithReplaceFalse,org.apache.commons.compress.changes.ChangeSetTestCase,testAddAllreadyExistingWithReplaceFalse,results,1280,Virtual_Pass
org.apache.commons.compress.changes.ChangeSetTestCase::testAddAllreadyExistingWithReplaceFalse,org.apache.commons.compress.changes.ChangeSetTestCase,testAddAllreadyExistingWithReplaceFalse,results,1281,Virtual_Pass
