virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testJarMarker_ze_L55_P_1,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest::testJarMarker,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest,testJarMarker,ze,55,Virtual_Pass,11,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testJarMarker_ze_L55_P_1/slice.log,
testJarMarker_ze_L61_P_2,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest::testJarMarker,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest,testJarMarker,ze,61,Virtual_Pass,23,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testJarMarker_ze_L61_P_2/slice.log,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testJarMarker_ze_L61_P_2_alias_fes/slice.log
testUnixMode_ze_L178_P_3,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testUnixMode,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testUnixMode,ze,178,Virtual_Pass,21,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testUnixMode_ze_L178_P_3/slice.log,
testUnixMode_ze_L180_P_4,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testUnixMode,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testUnixMode,ze,180,Virtual_Pass,25,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testUnixMode_ze_L180_P_4/slice.log,
testUnixMode_ze_L181_P_5,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testUnixMode,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testUnixMode,ze,181,Virtual_Pass,25,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testUnixMode_ze_L181_P_5/slice.log,
testUnixMode_ze_L183_P_6,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testUnixMode,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testUnixMode,ze,183,Virtual_Pass,25,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testUnixMode_ze_L183_P_6/slice.log,
testUnixMode_ze_L186_P_7,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testUnixMode,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testUnixMode,ze,186,Virtual_Pass,26,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testUnixMode_ze_L186_P_7/slice.log,
testUnixMode_ze_L187_P_8,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testUnixMode,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testUnixMode,ze,187,Virtual_Pass,26,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testUnixMode_ze_L187_P_8/slice.log,
testUnixMode_ze_L189_P_9,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testUnixMode,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testUnixMode,ze,189,Virtual_Pass,26,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testUnixMode_ze_L189_P_9/slice.log,
testUnixMode_ze_L192_P_10,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest::testUnixMode,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest,testUnixMode,ze,192,Virtual_Pass,20,/opt/resq/resQ_outputs/work/Compress_42b/step2_slicing/_slicer4j_passed/testUnixMode_ze_L192_P_10/slice.log,
