virtual_test_id,result
testJarMarker_zf_L48_F_1,FAIL
testUtf8FileRoundtripExplicitUnicodeExtra_testFileRoundtrip_L45_F_2,FAIL
testUtf8FileRoundtripNoEFSExplicitUnicodeExtra_testFileRoundtrip_L50_F_3,FAIL
testCP437FileRoundtripExplicitUnicodeExtra_testFileRoundtrip_L55_F_4,FAIL
testASCIIFileRoundtripExplicitUnicodeExtra_testFileRoundtrip_L60_F_5,FAIL
testUtf8FileRoundtripImplicitUnicodeExtra_testFileRoundtrip_L65_F_6,FAIL
testUtf8FileRoundtripNoEFSImplicitUnicodeExtra_testFileRoundtrip_L70_F_7,FAIL
testCP437FileRoundtripImplicitUnicodeExtra_testFileRoundtrip_L75_F_8,FAIL
testASCIIFileRoundtripImplicitUnicodeExtra_testFileRoundtrip_L80_F_9,FAIL
testZipArchiveInputStreamReadsUnicodeFields_zf_L183_F_10,FAIL
testRead7ZipArchive_zf_L95_P_1,PASS
testRead7ZipArchive_zf_L96_P_2,PASS
testRead7ZipArchive_zf_L97_P_3,PASS
testReadWinZipArchive_zf_L131_P_4,PASS
testReadWinZipArchive_zf_L132_P_5,PASS
testReadWinZipArchive_zf_L133_P_6,PASS
