statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,1,2,97,60,0.058321
S2,0,3,11,146,0.0
S3,1,2,136,21,0.049326
S4,1,2,136,21,0.049326
S5,1,2,136,21,0.049326
S6,1,2,136,21,0.049326
S7,1,2,136,21,0.049326
S8,1,2,136,21,0.049326
S9,1,2,136,21,0.049326
S10,0,3,16,141,0.0
S11,1,2,136,21,0.049326
S12,1,2,136,21,0.049326
S13,1,2,136,21,0.049326
S14,1,2,136,21,0.049326
S15,1,2,136,21,0.049326
S16,1,2,136,21,0.049326
S17,1,2,136,21,0.049326
S18,1,2,136,21,0.049326
S19,1,2,136,21,0.049326
S20,1,2,136,21,0.049326
S21,1,2,136,21,0.049326
S22,1,2,136,21,0.049326
S23,1,2,136,21,0.049326
S24,1,2,136,21,0.049326
S25,1,2,20,137,0.125988
S26,1,2,20,137,0.125988
S27,0,3,11,146,0.0
S28,0,3,1,156,0.0
S29,1,2,19,138,0.129099
S30,1,2,136,21,0.049326
S31,1,2,136,21,0.049326
S32,0,3,12,145,0.0
S33,0,3,1,156,0.0
S34,0,3,12,145,0.0
S35,0,3,1,156,0.0
S36,0,3,12,145,0.0
S37,0,3,1,156,0.0
S38,0,3,12,145,0.0
S39,0,3,12,145,0.0
S40,0,3,1,156,0.0
S41,0,3,11,146,0.0
S42,0,3,1,156,0.0
S43,0,3,10,147,0.0
S44,0,3,10,147,0.0
S45,0,3,1,156,0.0
S46,0,3,9,148,0.0
S47,0,3,1,156,0.0
S48,0,3,8,149,0.0
S49,0,3,1,156,0.0
S50,0,3,8,149,0.0
S51,0,3,1,156,0.0
S52,0,3,7,150,0.0
S53,0,3,1,156,0.0
S54,0,3,7,150,0.0
S55,0,3,5,152,0.0
S56,0,3,2,155,0.0
S57,0,3,1,156,0.0
S58,0,3,6,151,0.0
S59,0,3,1,156,0.0
S60,0,3,5,152,0.0
S61,0,3,1,156,0.0
S62,0,3,4,153,0.0
S63,0,3,1,156,0.0
S64,0,3,3,154,0.0
S65,0,3,1,156,0.0
S66,0,3,2,155,0.0
S67,0,3,2,155,0.0
S68,0,3,1,156,0.0
S69,0,3,1,156,0.0
S70,0,3,2,155,0.0
S71,0,3,2,155,0.0
S72,0,3,2,155,0.0
S73,1,2,54,103,0.07785
S74,1,2,87,70,0.061546
S75,1,2,56,101,0.076472
S76,1,2,88,69,0.061199
S77,0,3,2,155,0.0
S78,1,2,52,105,0.079305
S79,1,2,51,106,0.080064
S80,1,2,49,108,0.08165
S81,1,2,78,79,0.064957
S82,0,3,31,126,0.0
S83,0,3,49,108,0.0
S84,0,3,5,152,0.0
S85,0,3,1,156,0.0
S86,0,3,1,156,0.0
S87,0,3,1,156,0.0
S88,0,3,1,156,0.0
S89,0,3,1,156,0.0
S90,0,3,1,156,0.0
S91,0,3,1,156,0.0
S92,0,3,1,156,0.0
S93,0,3,1,156,0.0
S94,0,3,1,156,0.0
S95,0,3,1,156,0.0
S96,0,3,1,156,0.0
S97,0,3,1,156,0.0
S98,0,3,1,156,0.0
S99,0,3,4,153,0.0
S100,0,3,9,148,0.0
S101,0,3,37,120,0.0
S102,1,2,14,143,0.149071
S103,0,3,1,156,0.0
S104,1,2,136,21,0.049326
S105,0,3,1,156,0.0
S106,1,2,136,21,0.049326
S107,0,3,1,156,0.0
S108,1,2,136,21,0.049326
S109,0,3,1,156,0.0
S110,1,2,136,21,0.049326
S111,0,3,2,155,0.0
S112,1,2,136,21,0.049326
S113,0,3,2,155,0.0
S114,1,2,136,21,0.049326
