rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S62,$Gson$Types.java,320,if (context == Properties.class) {,1.0,50,50
1,S63,$Gson$Types.java,324,"Type mapType = getSupertype(context, contextRawType, Map.class);",1.0,50,50
1,S64,$Gson$Types.java,326,if (mapType instanceof ParameterizedType) {,1.0,50,50
1,S65,$Gson$Types.java,327,ParameterizedType mapParameterizedType = (ParameterizedType) mapType;,1.0,50,50
1,S66,$Gson$Types.java,328,return mapParameterizedType.getActualTypeArguments();,1.0,50,50
1,S207,ConstructorConstructor.java,179,if (ConcurrentNavigableMap.class.isAssignableFrom(rawType)) {,1.0,50,50
1,S208,ConstructorConstructor.java,185,} else if (ConcurrentMap.class.isAssignableFrom(rawType)) {,1.0,50,50
1,S209,ConstructorConstructor.java,191,} else if (SortedMap.class.isAssignableFrom(rawType)) {,1.0,50,50
1,S210,ConstructorConstructor.java,197,} else if (type instanceof ParameterizedType && !(String.class.isAssignableFrom(,1.0,50,50
1,S211,ConstructorConstructor.java,205,return new ObjectConstructor<T>() {,1.0,50,50
1,S212,ConstructorConstructor.java,207,"return (T) new LinkedTreeMap<String, Object>();",1.0,50,50
1,S236,Excluder.java,160,return true;,1.0,50,50
1,S723,JsonReader.java,1342,lineNumber++;,1.0,50,50
1,S724,JsonReader.java,1343,lineStart = p;,1.0,50,50
1,S725,JsonReader.java,1344,continue;,1.0,50,50
1,S741,JsonReader.java,1596,if (reader instanceof JsonTreeReader) {,1.0,50,50
1,S742,JsonReader.java,1600,int p = reader.peeked;,1.0,50,50
1,S743,JsonReader.java,1601,if (p == PEEKED_NONE) {,1.0,50,50
1,S744,JsonReader.java,1604,if (p == PEEKED_DOUBLE_QUOTED_NAME) {,1.0,50,50
1,S745,JsonReader.java,1605,reader.peeked = PEEKED_DOUBLE_QUOTED;,1.0,50,50
1,S883,LinkedTreeMap.java,82,"Node<K, V> node = findByObject(key);",1.0,50,50
1,S884,LinkedTreeMap.java,83,return node != null ? node.value : null;,1.0,50,50
1,S897,LinkedTreeMap.java,140,return nearest;,1.0,50,50
1,S916,LinkedTreeMap.java,186,"return key != null ? find((K) key, false) : null;",1.0,50,50
1,S990,MapTypeAdapterFactory.java,123,Class<?> rawTypeOfSrc = $Gson$Types.getRawType(type);,1.0,50,50
1,S991,MapTypeAdapterFactory.java,124,"Type[] keyAndValueTypes = $Gson$Types.getMapKeyAndValueTypes(type, rawTypeOfSrc);",1.0,50,50
1,S992,MapTypeAdapterFactory.java,125,"TypeAdapter<?> keyAdapter = getKeyAdapter(gson, keyAndValueTypes[0]);",1.0,50,50
1,S993,MapTypeAdapterFactory.java,126,TypeAdapter<?> valueAdapter = gson.getAdapter(TypeToken.get(keyAndValueTypes[1]));,1.0,50,50
1,S994,MapTypeAdapterFactory.java,127,ObjectConstructor<T> constructor = constructorConstructor.get(typeToken);,1.0,50,50
1,S995,MapTypeAdapterFactory.java,131,"TypeAdapter<T> result = new Adapter(gson, keyAndValueTypes[0], keyAdapter,",1.0,50,50
1,S996,MapTypeAdapterFactory.java,133,return result;,1.0,50,50
