statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,2,1,647,33,0.045326
S2,0,3,1,679,0.0
S3,2,1,646,34,0.045361
S4,0,3,315,365,0.0
S5,2,1,644,36,0.045431
S6,0,3,102,578,0.0
S7,0,3,7,673,0.0
S8,0,3,7,673,0.0
S9,2,1,644,36,0.045431
S10,2,1,644,36,0.045431
S11,2,1,644,36,0.045431
S12,0,3,194,486,0.0
S13,0,3,163,517,0.0
S14,0,3,163,517,0.0
S15,0,3,66,614,0.0
S16,0,3,18,662,0.0
S17,0,3,18,662,0.0
S18,0,3,56,624,0.0
S19,0,3,12,668,0.0
S20,0,3,12,668,0.0
S21,0,3,49,631,0.0
S22,2,1,644,36,0.045431
S23,2,1,641,39,0.045537
S24,0,3,250,430,0.0
S25,0,3,163,517,0.0
S26,0,3,163,517,0.0
S27,0,3,163,517,0.0
S28,0,3,163,517,0.0
S29,0,3,134,546,0.0
S30,0,3,89,591,0.0
S31,0,3,89,591,0.0
S32,0,3,56,624,0.0
S33,0,3,49,631,0.0
S34,0,3,12,668,0.0
S35,0,3,12,668,0.0
S36,0,3,27,653,0.0
S37,0,3,355,325,0.0
S38,0,3,316,364,0.0
S39,0,3,139,541,0.0
S40,0,3,110,570,0.0
S41,0,3,107,573,0.0
S42,0,3,32,648,0.0
S43,0,3,6,674,0.0
S44,0,3,27,653,0.0
S45,0,3,27,653,0.0
S46,0,3,27,653,0.0
S47,0,3,89,591,0.0
S48,0,3,89,591,0.0
S49,0,3,87,593,0.0
S50,0,3,31,649,0.0
S51,0,3,31,649,0.0
S52,0,3,31,649,0.0
S53,0,3,7,673,0.0
S54,0,3,7,673,0.0
S55,0,3,7,673,0.0
S56,0,3,7,673,0.0
S57,0,3,7,673,0.0
S58,0,3,163,517,0.0
S59,0,3,185,495,0.0
S60,0,3,183,497,0.0
S61,0,3,108,572,0.0
S62,0,3,108,572,0.0
S63,0,3,108,572,0.0
S64,0,3,108,572,0.0
S65,0,3,108,572,0.0
S66,0,3,43,637,0.0
S67,0,3,43,637,0.0
S68,0,3,15,665,0.0
S69,0,3,15,665,0.0
S70,0,3,15,665,0.0
S71,0,3,15,665,0.0
S72,0,3,15,665,0.0
S73,0,3,15,665,0.0
S74,0,3,15,665,0.0
S75,0,3,174,506,0.0
S76,0,3,174,506,0.0
S77,0,3,87,593,0.0
S78,0,3,114,566,0.0
S79,0,3,114,566,0.0
S80,0,3,1,679,0.0
S81,0,3,114,566,0.0
S82,0,3,112,568,0.0
S83,0,3,2,678,0.0
S84,0,3,88,592,0.0
S85,0,3,4,676,0.0
S86,0,3,84,596,0.0
S87,0,3,84,596,0.0
S88,0,3,84,596,0.0
S89,0,3,84,596,0.0
S90,0,3,2,678,0.0
S91,0,3,368,312,0.0
S92,0,3,123,557,0.0
S93,0,3,123,557,0.0
S94,0,3,123,557,0.0
S95,0,3,49,631,0.0
S96,0,3,114,566,0.0
S97,0,3,27,653,0.0
S98,0,3,27,653,0.0
S99,0,3,27,653,0.0
S100,0,3,27,653,0.0
S101,0,3,368,312,0.0
S102,0,3,7,673,0.0
S103,0,3,7,673,0.0
S104,0,3,7,673,0.0
S105,0,3,7,673,0.0
S106,0,3,368,312,0.0
S107,0,3,176,504,0.0
S108,0,3,176,504,0.0
S109,0,3,176,504,0.0
S110,0,3,176,504,0.0
S111,0,3,176,504,0.0
S112,0,3,176,504,0.0
S113,0,3,176,504,0.0
S114,0,3,176,504,0.0
S115,0,3,101,579,0.0
S116,0,3,101,579,0.0
S117,0,3,101,579,0.0
S118,0,3,101,579,0.0
S119,0,3,176,504,0.0
S120,0,3,368,312,0.0
S121,0,3,12,668,0.0
S122,0,3,12,668,0.0
S123,0,3,12,668,0.0
S124,0,3,12,668,0.0
S125,0,3,12,668,0.0
S126,0,3,12,668,0.0
S127,0,3,7,673,0.0
S128,0,3,12,668,0.0
S129,0,3,368,312,0.0
S130,0,3,123,557,0.0
S131,0,3,123,557,0.0
S132,0,3,123,557,0.0
S133,0,3,123,557,0.0
S134,0,3,114,566,0.0
S135,0,3,114,566,0.0
S136,0,3,49,631,0.0
S137,0,3,114,566,0.0
S138,0,3,114,566,0.0
S139,0,3,114,566,0.0
S140,0,3,123,557,0.0
S141,0,3,123,557,0.0
S142,0,3,180,500,0.0
S143,0,3,180,500,0.0
S144,0,3,180,500,0.0
S145,0,3,180,500,0.0
S146,0,3,180,500,0.0
S147,0,3,180,500,0.0
S148,0,3,180,500,0.0
S149,0,3,180,500,0.0
S150,0,3,180,500,0.0
S151,0,3,180,500,0.0
S152,0,3,180,500,0.0
S153,0,3,180,500,0.0
S154,0,3,180,500,0.0
S155,0,3,179,501,0.0
S156,0,3,163,517,0.0
S157,0,3,156,524,0.0
S158,0,3,3,677,0.0
S159,0,3,163,517,0.0
S160,0,3,89,591,0.0
S161,0,3,89,591,0.0
S162,0,3,89,591,0.0
S163,0,3,89,591,0.0
S164,0,3,12,668,0.0
S165,0,3,12,668,0.0
S166,0,3,12,668,0.0
S167,0,3,12,668,0.0
S168,0,3,12,668,0.0
S169,0,3,12,668,0.0
S170,0,3,12,668,0.0
S171,0,3,12,668,0.0
S172,0,3,12,668,0.0
S173,0,3,12,668,0.0
S174,0,3,7,673,0.0
S175,0,3,12,668,0.0
S176,3,0,658,22,0.067369
S177,2,1,422,258,0.056077
S178,2,1,422,258,0.056077
S179,2,1,383,297,0.058849
S180,0,3,87,593,0.0
S181,0,3,87,593,0.0
S182,0,3,87,593,0.0
S183,0,3,87,593,0.0
S184,0,3,87,593,0.0
S185,0,3,87,593,0.0
S186,0,3,30,650,0.0
S187,0,3,1,679,0.0
S188,0,3,1,679,0.0
S189,0,3,29,651,0.0
S190,0,3,29,651,0.0
S191,0,3,29,651,0.0
S192,0,3,28,652,0.0
S193,0,3,28,652,0.0
S194,0,3,27,653,0.0
S195,0,3,27,653,0.0
S196,0,3,27,653,0.0
S197,0,3,26,654,0.0
S198,0,3,27,653,0.0
S199,0,3,63,617,0.0
S200,0,3,9,671,0.0
S201,0,3,9,671,0.0
S202,0,3,57,623,0.0
S203,0,3,57,623,0.0
S204,0,3,51,629,0.0
S205,0,3,51,629,0.0
S206,0,3,56,624,0.0
S207,3,0,658,22,0.067369
S208,3,0,658,22,0.067369
S209,2,1,381,299,0.059002
S210,2,1,381,299,0.059002
S211,2,1,381,299,0.059002
S212,2,1,335,345,0.062901
S213,0,3,114,566,0.0
S214,0,3,114,566,0.0
S215,0,3,114,566,0.0
S216,0,3,114,566,0.0
S217,0,3,114,566,0.0
S218,0,3,107,573,0.0
S219,0,3,114,566,0.0
S220,0,3,114,566,0.0
S221,0,3,114,566,0.0
S222,0,3,52,628,0.0
S223,0,3,2,678,0.0
S224,0,3,2,678,0.0
S225,0,3,50,630,0.0
S226,0,3,50,630,0.0
S227,0,3,50,630,0.0
S228,0,3,49,631,0.0
S229,0,3,49,631,0.0
S230,0,3,49,631,0.0
S231,0,3,49,631,0.0
S232,0,3,74,606,0.0
S233,0,3,14,666,0.0
S234,0,3,14,666,0.0
S235,0,3,63,617,0.0
S236,0,3,63,617,0.0
S237,0,3,57,623,0.0
S238,0,3,62,618,0.0
S239,3,0,658,22,0.067369
S240,3,0,658,22,0.067369
S241,2,1,378,302,0.059235
S242,2,1,378,302,0.059235
S243,2,1,378,302,0.059235
S244,2,1,378,302,0.059235
S245,0,3,11,669,0.0
S246,0,3,10,670,0.0
S247,2,1,373,307,0.059628
S248,2,1,373,307,0.059628
S249,0,3,1,679,0.0
S250,0,3,1,679,0.0
S251,2,1,372,308,0.059708
S252,2,1,372,308,0.059708
S253,2,1,245,435,0.073472
S254,0,3,206,474,0.0
S255,0,3,206,474,0.0
S256,0,3,142,538,0.0
S257,0,3,100,580,0.0
S258,2,1,372,308,0.059708
S259,2,1,245,435,0.073472
S260,2,1,245,435,0.073472
S261,2,1,245,435,0.073472
S262,2,1,119,561,0.104973
S263,2,1,119,561,0.104973
S264,0,3,206,474,0.0
S265,0,3,206,474,0.0
S266,0,3,206,474,0.0
S267,0,3,97,583,0.0
S268,0,3,2,678,0.0
S269,0,3,1,679,0.0
S270,0,3,97,583,0.0
S271,0,3,3,677,0.0
S272,0,3,1,679,0.0
S273,0,3,1,679,0.0
S274,0,3,1,679,0.0
S275,0,3,1,679,0.0
S276,0,3,96,584,0.0
S277,0,3,8,672,0.0
S278,0,3,5,675,0.0
S279,0,3,90,590,0.0
S280,0,3,4,676,0.0
S281,0,3,2,678,0.0
S282,0,3,88,592,0.0
S283,0,3,36,644,0.0
S284,0,3,145,535,0.0
S285,0,3,69,611,0.0
S286,0,3,1,679,0.0
S287,0,3,1,679,0.0
S288,0,3,68,612,0.0
S289,0,3,1,679,0.0
S290,0,3,1,679,0.0
S291,0,3,67,613,0.0
S292,0,3,1,679,0.0
S293,0,3,1,679,0.0
S294,0,3,66,614,0.0
S295,0,3,12,668,0.0
S296,0,3,9,671,0.0
S297,0,3,56,624,0.0
S298,0,3,19,661,0.0
S299,0,3,100,580,0.0
S300,0,3,100,580,0.0
S301,0,3,100,580,0.0
S302,0,3,31,649,0.0
S303,0,3,31,649,0.0
S304,0,3,8,672,0.0
S305,3,0,658,22,0.067369
S306,2,1,436,244,0.055174
S307,0,3,8,672,0.0
S308,0,3,8,672,0.0
S309,0,3,4,676,0.0
S310,0,3,1,679,0.0
S311,0,3,1,679,0.0
S312,0,3,3,677,0.0
S313,0,3,3,677,0.0
S314,0,3,6,674,0.0
S315,0,3,1,679,0.0
S316,0,3,1,679,0.0
S317,0,3,5,675,0.0
S318,0,3,5,675,0.0
S319,0,3,6,674,0.0
S320,0,3,6,674,0.0
S321,0,3,6,674,0.0
S322,0,3,6,674,0.0
S323,0,3,6,674,0.0
S324,0,3,6,674,0.0
S325,0,3,6,674,0.0
S326,0,3,6,674,0.0
S327,0,3,4,676,0.0
S328,0,3,4,676,0.0
S329,0,3,4,676,0.0
S330,0,3,2,678,0.0
S331,0,3,2,678,0.0
S332,0,3,1,679,0.0
S333,0,3,1,679,0.0
S334,0,3,1,679,0.0
S335,0,3,4,676,0.0
S336,0,3,4,676,0.0
S337,3,0,659,21,0.067318
S338,3,0,659,21,0.067318
S339,3,0,659,21,0.067318
S340,3,0,659,21,0.067318
S341,3,0,659,21,0.067318
S342,3,0,659,21,0.067318
S343,3,0,659,21,0.067318
S344,0,3,30,650,0.0
S345,0,3,10,670,0.0
S346,0,3,10,670,0.0
S347,0,3,10,670,0.0
S348,0,3,2,678,0.0
S349,0,3,2,678,0.0
S350,0,3,2,678,0.0
S351,0,3,1,679,0.0
S352,0,3,2,678,0.0
S353,0,3,1,679,0.0
S354,0,3,1,679,0.0
S355,0,3,1,679,0.0
S356,0,3,8,672,0.0
S357,0,3,8,672,0.0
S358,0,3,8,672,0.0
S359,0,3,9,671,0.0
S360,0,3,9,671,0.0
S361,0,3,4,676,0.0
S362,0,3,4,676,0.0
S363,0,3,9,671,0.0
S364,0,3,5,675,0.0
S365,0,3,5,675,0.0
S366,0,3,9,671,0.0
S367,2,1,629,51,0.045968
S368,2,1,629,51,0.045968
S369,2,1,629,51,0.045968
S370,2,1,629,51,0.045968
S371,2,1,622,58,0.046225
S372,0,3,14,666,0.0
S373,0,3,4,676,0.0
S374,0,3,2,678,0.0
S375,0,3,2,678,0.0
S376,0,3,2,678,0.0
S377,0,3,8,672,0.0
S378,0,3,5,675,0.0
S379,0,3,5,675,0.0
S380,0,3,3,677,0.0
S381,0,3,5,675,0.0
S382,0,3,5,675,0.0
S383,0,3,265,415,0.0
S384,0,3,90,590,0.0
S385,0,3,265,415,0.0
S386,0,3,6,674,0.0
S387,0,3,265,415,0.0
S388,0,3,6,674,0.0
S389,0,3,265,415,0.0
S390,0,3,8,672,0.0
S391,0,3,8,672,0.0
S392,0,3,6,674,0.0
S393,0,3,263,417,0.0
S394,0,3,263,417,0.0
S395,0,3,263,417,0.0
S396,0,3,263,417,0.0
S397,0,3,7,673,0.0
S398,0,3,7,673,0.0
S399,0,3,7,673,0.0
S400,0,3,5,675,0.0
S401,0,3,263,417,0.0
S402,2,1,629,51,0.045968
S403,0,3,2,678,0.0
S404,2,1,627,53,0.046041
S405,0,3,1,679,0.0
S406,2,1,626,54,0.046078
S407,0,3,2,678,0.0
S408,2,1,624,56,0.046151
S409,2,1,624,56,0.046151
S410,0,3,9,671,0.0
S411,0,3,9,671,0.0
S412,2,1,624,56,0.046151
S413,2,1,626,54,0.046078
S414,0,3,1,679,0.0
S415,0,3,1,679,0.0
S416,0,3,10,670,0.0
S417,0,3,10,670,0.0
S418,0,3,8,672,0.0
S419,0,3,8,672,0.0
S420,0,3,6,674,0.0
S421,0,3,8,672,0.0
S422,0,3,8,672,0.0
S423,0,3,6,674,0.0
S424,0,3,6,674,0.0
S425,0,3,4,676,0.0
S426,0,3,8,672,0.0
S427,0,3,7,673,0.0
S428,0,3,7,673,0.0
S429,0,3,7,673,0.0
S430,0,3,5,675,0.0
S431,3,0,659,21,0.067318
S432,3,0,659,21,0.067318
S433,0,3,243,437,0.0
S434,3,0,659,21,0.067318
S435,0,3,3,677,0.0
S436,3,0,659,21,0.067318
S437,0,3,3,677,0.0
S438,3,0,659,21,0.067318
S439,0,3,3,677,0.0
S440,3,0,659,21,0.067318
S441,0,3,3,677,0.0
S442,0,3,9,671,0.0
S443,0,3,9,671,0.0
S444,0,3,9,671,0.0
S445,0,3,9,671,0.0
S446,0,3,9,671,0.0
S447,0,3,9,671,0.0
S448,0,3,9,671,0.0
S449,0,3,6,674,0.0
S450,0,3,6,674,0.0
S451,0,3,6,674,0.0
S452,0,3,6,674,0.0
S453,0,3,6,674,0.0
S454,0,3,6,674,0.0
S455,0,3,2,678,0.0
S456,0,3,2,678,0.0
S457,0,3,6,674,0.0
S458,0,3,6,674,0.0
S459,0,3,6,674,0.0
S460,0,3,6,674,0.0
S461,0,3,2,678,0.0
S462,0,3,6,674,0.0
S463,3,0,658,22,0.067369
S464,3,0,658,22,0.067369
S465,3,0,658,22,0.067369
S466,0,3,3,677,0.0
S467,3,0,658,22,0.067369
S468,0,3,3,677,0.0
S469,0,3,1,679,0.0
S470,3,0,489,191,0.078087
S471,3,0,658,22,0.067369
S472,3,0,658,22,0.067369
S473,3,0,658,22,0.067369
S474,3,0,658,22,0.067369
S475,3,0,658,22,0.067369
S476,3,0,658,22,0.067369
S477,3,0,658,22,0.067369
S478,3,0,658,22,0.067369
S479,3,0,658,22,0.067369
S480,3,0,658,22,0.067369
S481,3,0,658,22,0.067369
S482,3,0,658,22,0.067369
S483,3,0,658,22,0.067369
S484,3,0,658,22,0.067369
S485,3,0,658,22,0.067369
S486,3,0,658,22,0.067369
S487,3,0,658,22,0.067369
S488,3,0,658,22,0.067369
S489,3,0,658,22,0.067369
S490,3,0,658,22,0.067369
S491,3,0,658,22,0.067369
S492,3,0,658,22,0.067369
S493,3,0,658,22,0.067369
S494,3,0,658,22,0.067369
S495,3,0,658,22,0.067369
S496,3,0,658,22,0.067369
S497,3,0,658,22,0.067369
S498,3,0,658,22,0.067369
S499,3,0,658,22,0.067369
S500,3,0,658,22,0.067369
S501,3,0,658,22,0.067369
S502,3,0,658,22,0.067369
S503,3,0,658,22,0.067369
S504,3,0,658,22,0.067369
S505,3,0,658,22,0.067369
S506,3,0,658,22,0.067369
S507,3,0,658,22,0.067369
S508,3,0,658,22,0.067369
S509,3,0,658,22,0.067369
S510,3,0,658,22,0.067369
S511,3,0,658,22,0.067369
S512,3,0,658,22,0.067369
S513,3,0,658,22,0.067369
S514,3,0,658,22,0.067369
S515,3,0,658,22,0.067369
S516,3,0,658,22,0.067369
S517,3,0,658,22,0.067369
S518,3,0,658,22,0.067369
S519,3,0,658,22,0.067369
S520,3,0,658,22,0.067369
S521,3,0,658,22,0.067369
S522,3,0,658,22,0.067369
S523,3,0,658,22,0.067369
S524,0,3,7,673,0.0
S525,3,0,658,22,0.067369
S526,0,3,26,654,0.0
S527,0,3,1,679,0.0
S528,0,3,1,679,0.0
S529,0,3,25,655,0.0
S530,0,3,20,660,0.0
S531,0,3,2,678,0.0
S532,0,3,2,678,0.0
S533,0,3,18,662,0.0
S534,0,3,18,662,0.0
S535,0,3,14,666,0.0
S536,3,0,658,22,0.067369
S537,0,3,7,673,0.0
S538,3,0,658,22,0.067369
S539,0,3,10,670,0.0
S540,0,3,1,679,0.0
S541,0,3,1,679,0.0
S542,0,3,9,671,0.0
S543,0,3,8,672,0.0
S544,0,3,1,679,0.0
S545,0,3,1,679,0.0
S546,0,3,7,673,0.0
S547,0,3,7,673,0.0
S548,0,3,4,676,0.0
S549,0,3,24,656,0.0
S550,0,3,7,673,0.0
S551,3,0,658,22,0.067369
S552,3,0,657,23,0.06742
S553,0,3,5,675,0.0
S554,0,3,3,677,0.0
S555,0,3,3,677,0.0
S556,0,3,4,676,0.0
S557,0,3,4,676,0.0
S558,3,0,658,22,0.067369
S559,0,3,2,678,0.0
S560,0,3,2,678,0.0
S561,0,3,2,678,0.0
S562,3,0,658,22,0.067369
S563,0,3,2,678,0.0
S564,0,3,2,678,0.0
S565,0,3,2,678,0.0
S566,0,3,2,678,0.0
S567,0,3,2,678,0.0
S568,0,3,2,678,0.0
S569,0,3,2,678,0.0
S570,0,3,2,678,0.0
S571,0,3,2,678,0.0
S572,0,3,2,678,0.0
S573,0,3,2,678,0.0
S574,0,3,2,678,0.0
S575,0,3,2,678,0.0
S576,0,3,2,678,0.0
S577,0,3,2,678,0.0
S578,2,1,642,38,0.045502
S579,2,1,642,38,0.045502
S580,0,3,279,401,0.0
S581,2,1,642,38,0.045502
S582,2,1,642,38,0.045502
S583,2,1,642,38,0.045502
S584,2,1,642,38,0.045502
S585,2,1,642,38,0.045502
S586,2,1,642,38,0.045502
S587,2,1,642,38,0.045502
S588,2,1,642,38,0.045502
S589,0,3,12,668,0.0
S590,2,1,642,38,0.045502
S591,2,1,642,38,0.045502
S592,2,1,642,38,0.045502
S593,2,1,642,38,0.045502
S594,2,1,642,38,0.045502
S595,0,3,642,38,0.0
S596,0,3,642,38,0.0
S597,0,3,642,38,0.0
S598,2,1,642,38,0.045502
S599,2,1,642,38,0.045502
S600,2,1,642,38,0.045502
S601,2,1,18,662,0.258199
S602,2,1,18,662,0.258199
S603,2,1,18,662,0.258199
S604,2,1,18,662,0.258199
S605,0,3,17,663,0.0
S606,0,3,17,663,0.0
S607,2,1,18,662,0.258199
S608,2,1,18,662,0.258199
S609,0,3,18,662,0.0
S610,0,3,35,645,0.0
S611,0,3,16,664,0.0
S612,0,3,1,679,0.0
S613,0,3,15,665,0.0
S614,0,3,24,656,0.0
S615,0,3,24,656,0.0
S616,0,3,23,657,0.0
S617,1,2,274,406,0.034816
S618,1,2,274,406,0.034816
S619,1,2,341,339,0.03122
S620,1,2,341,339,0.03122
S621,0,3,329,351,0.0
S622,0,3,1,679,0.0
S623,0,3,1,679,0.0
S624,1,2,343,337,0.031129
S625,1,2,343,337,0.031129
S626,1,2,369,311,0.030015
S627,0,3,368,312,0.0
S628,0,3,368,312,0.0
S629,0,3,368,312,0.0
S630,0,3,368,312,0.0
S631,0,3,368,312,0.0
S632,0,3,368,312,0.0
S633,0,3,368,312,0.0
S634,0,3,368,312,0.0
S635,0,3,368,312,0.0
S636,0,3,368,312,0.0
