rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S53,Excluder.java,113,"final boolean skipSerialize = excludeClass(rawType, true);",0.176777,9,9
1,S54,Excluder.java,114,"final boolean skipDeserialize = excludeClass(rawType, false);",0.176777,9,9
1,S55,Excluder.java,116,if (!skipSerialize && !skipDeserialize) {,0.176777,9,9
1,S56,Excluder.java,120,return new TypeAdapter<T>() {,0.176777,9,9
1,S57,Excluder.java,192,if (version != Excluder.IGNORE_VERSIONS,0.176777,9,9
1,S58,Excluder.java,197,if (!serializeInnerClasses && isInnerClass(clazz)) {,0.176777,9,9
1,S59,Excluder.java,201,if (isAnonymousOrLocal(clazz)) {,0.176777,9,9
1,S60,Excluder.java,202,return true;,0.176777,9,9
1,S61,Excluder.java,216,return !Enum.class.isAssignableFrom(clazz),0.176777,9,9
10,S118,Gson.java,261,factories.add(new ReflectiveTypeAdapterFactory(,0.14825,2,11
10,S247,ReflectiveTypeAdapterFactory.java,54,"FieldNamingStrategy fieldNamingPolicy, Excluder excluder) {",0.14825,2,11
12,S67,Gson.java,186,"this(Excluder.DEFAULT, FieldNamingPolicy.IDENTITY,",0.127,1,12
13,S46,Excluder.java,50,"public final class Excluder implements TypeAdapterFactory, Cloneable {",0.115087,2,14
13,S47,Excluder.java,52,public static final Excluder DEFAULT = new Excluder();,0.115087,2,14
15,S154,Gson.java,765,"Object object = fromJson(json, (Type) classOfT);",0.111803,1,15
16,S155,Gson.java,789,if (json == null) {,0.105409,3,18
16,S157,Gson.java,793,"T target = (T) fromJson(reader, typeOfT);",0.105409,3,18
16,S159,Gson.java,844,"T object = (T) fromJson(jsonReader, typeOfT);",0.105409,3,18
19,S160,Gson.java,877,TypeToken<T> typeToken = (TypeToken<T>) TypeToken.get(typeOfT);,0.103142,2,20
19,S161,Gson.java,878,TypeAdapter<T> typeAdapter = getAdapter(typeToken);,0.103142,2,20
21,S140,Gson.java,415,for (TypeAdapterFactory factory : factories) {,0.102062,1,21
22,S48,Excluder.java,54,private double version = IGNORE_VERSIONS;,0.096225,2,23
22,S50,Excluder.java,56,private boolean serializeInnerClasses = true;,0.096225,2,23
24,S122,Gson.java,271,return new TypeAdapter<Number>() {,0.080064,2,25
24,S125,Gson.java,295,return new TypeAdapter<Number>() {,0.080064,2,25
26,S127,Gson.java,325,return TypeAdapters.LONG;,0.075378,2,27
26,S295,TypeAdapters.java,317,public static final TypeAdapter<Number> LONG = new TypeAdapter<Number>() {,0.075378,2,27
28,S1,ArrayTypeAdapter.java,39,public static final TypeAdapterFactory FACTORY = new TypeAdapterFactory() {,0.074536,125,152
28,S6,CollectionTypeAdapterFactory.java,39,public CollectionTypeAdapterFactory(ConstructorConstructor constructorConstructor) {,0.074536,125,152
28,S41,DateTypeAdapter.java,42,public static final TypeAdapterFactory FACTORY = new TypeAdapterFactory() {,0.074536,125,152
28,S62,FieldNamingPolicy.java,37,IDENTITY() {,0.074536,125,152
28,S65,Gson.java,135,final JsonDeserializationContext deserializationContext = new JsonDeserializationContext() {,0.074536,125,152
28,S66,Gson.java,142,final JsonSerializationContext serializationContext = new JsonSerializationContext() {,0.074536,125,152
28,S68,Gson.java,198,List<TypeAdapterFactory> typeAdapterFactories) {,0.074536,125,152
28,S70,Gson.java,200,this.serializeNulls = serializeNulls;,0.074536,125,152
