test_case,result,assertx_calls_found,assertx_calls_counted
com.fasterxml.jackson.core.PointerFromContextTest::testViaParser,PASS,34,34
com.fasterxml.jackson.core.PointerFromContextTest::testViaGenerator,PASS,13,13
com.fasterxml.jackson.core.PointerFromContextTest::testParserWithRoot,PASS,22,22
com.fasterxml.jackson.core.PointerFromContextTest::testGeneratorWithRoot,PASS,14,14
com.fasterxml.jackson.core.TestExceptions::testOriginalMesssage,PASS,7,7
com.fasterxml.jackson.core.TestExceptions::testAccessToParser,PASS,5,5
com.fasterxml.jackson.core.TestExceptions::testAccessToGenerator,PASS,2,2
com.fasterxml.jackson.core.TestExceptions::testEofExceptionsBytes,PASS,0,0
com.fasterxml.jackson.core.TestExceptions::testEofExceptionsChars,PASS,0,0
com.fasterxml.jackson.core.TestJDKSerializability::testJsonFactorySerializable,PASS,4,4
com.fasterxml.jackson.core.TestJDKSerializability::testBase64Variant,PASS,1,1
com.fasterxml.jackson.core.TestJDKSerializability::testPrettyPrinter,PASS,1,1
com.fasterxml.jackson.core.TestJDKSerializability::testLocation,PASS,3,3
com.fasterxml.jackson.core.TestJDKSerializability::testParseException,PASS,1,1
com.fasterxml.jackson.core.TestJDKSerializability::testGenerationException,PASS,1,1
com.fasterxml.jackson.core.TestJsonPointer::testSimplePath,PASS,25,25
com.fasterxml.jackson.core.TestJsonPointer::testSimplePathLonger,PASS,7,7
com.fasterxml.jackson.core.TestJsonPointer::testWonkyNumber173,PASS,1,1
com.fasterxml.jackson.core.TestJsonPointer::testIZeroIndex,PASS,2,2
com.fasterxml.jackson.core.TestJsonPointer::testLast,PASS,1,1
com.fasterxml.jackson.core.TestJsonPointer::testEmpty,PASS,3,3
com.fasterxml.jackson.core.TestJsonPointer::testAppend,PASS,1,1
com.fasterxml.jackson.core.TestJsonPointer::testAppendWithFinalSlash,PASS,1,1
com.fasterxml.jackson.core.TestJsonPointer::testQuotedPath,PASS,19,19
com.fasterxml.jackson.core.TestJsonPointer::testLongNumbers,PASS,8,8
com.fasterxml.jackson.core.TestLocation::testBasics,PASS,6,6
com.fasterxml.jackson.core.TestLocation::testBasicToString,PASS,7,4
com.fasterxml.jackson.core.TestLocation::testTruncatedSource,PASS,2,2
com.fasterxml.jackson.core.TestLocation::testDisableSourceInclusion,PASS,4,4
com.fasterxml.jackson.core.TestVersions::testCoreVersions,PASS,0,0
com.fasterxml.jackson.core.TestVersions::testMisc,PASS,5,5
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testBase64UsingInputStream,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testBase64UsingReader,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testStreaming,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testSimple,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testInArray,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testWithEscaped,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testWithEscapedPadding,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testInvalidTokenForBase64,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testInvalidChar,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testOkMissingPadding,PASS,0,0
com.fasterxml.jackson.core.base64.Base64BinaryParsingTest::testFailDueToMissingPadding,PASS,0,0
com.fasterxml.jackson.core.base64.Base64CodecTest::testVariantAccess,PASS,1,1
com.fasterxml.jackson.core.base64.Base64CodecTest::testProps,PASS,8,8
com.fasterxml.jackson.core.base64.Base64CodecTest::testCharEncoding,PASS,16,16
com.fasterxml.jackson.core.base64.Base64CodecTest::testConvenienceMethods,PASS,6,6
com.fasterxml.jackson.core.base64.Base64CodecTest::testConvenienceMethodWithLFs,PASS,2,2
com.fasterxml.jackson.core.base64.Base64CodecTest::testErrors,PASS,0,0
com.fasterxml.jackson.core.base64.Base64GenerationTest::testStreamingBinaryWrites,PASS,0,0
com.fasterxml.jackson.core.base64.Base64GenerationTest::testIssue55,PASS,2,2
com.fasterxml.jackson.core.base64.Base64GenerationTest::testSimpleBinaryWrite,PASS,0,0
com.fasterxml.jackson.core.base64.Base64GenerationTest::testBinaryAsEmbeddedObject,PASS,2,2
