rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S41,NumberInput.java,69,int len = s.length();,1.0,4,4
1,S44,NumberInput.java,89,c = s.charAt(offset++);,1.0,4,4
1,S45,NumberInput.java,93,num = (num * 10) + (c - '0');,1.0,4,4
1,S46,NumberInput.java,94,if (offset < len) {,1.0,4,4
5,S40,NumberInput.java,68,char c = s.charAt(0);,0.707107,4,8
5,S42,NumberInput.java,70,boolean neg = (c == '-');,0.707107,4,8
5,S43,NumberInput.java,87,int num = c - '0';,0.707107,4,8
5,S47,NumberInput.java,112,return neg ? -num : num;,0.707107,4,8
9,S15,JsonPointer.java,186,final int len = str.length();,0.408248,5,13
9,S16,JsonPointer.java,193,for (int i = 0; i < len; ++i) {,0.408248,5,13
9,S17,JsonPointer.java,194,char c = str.charAt(i);,0.408248,5,13
9,S19,JsonPointer.java,199,if (len == 10) {,0.408248,5,13
9,S20,JsonPointer.java,205,return NumberInput.parseInt(str);,0.408248,5,13
14,S7,JsonPointer.java,65,"protected JsonPointer(String fullString, String segment, JsonPointer next) {",0.377964,4,17
14,S8,JsonPointer.java,66,_asString = fullString;,0.377964,4,17
14,S10,JsonPointer.java,69,_matchingPropertyName = segment;,0.377964,4,17
14,S11,JsonPointer.java,70,_matchingElementIndex = _parseIndex(segment);,0.377964,4,17
18,S1,JsonPointer.java,26,protected final static JsonPointer EMPTY = new JsonPointer();,0.301511,7,24
18,S2,JsonPointer.java,55,protected JsonPointer() {,0.301511,7,24
18,S3,JsonPointer.java,56,_nextSegment = null;,0.301511,7,24
18,S4,JsonPointer.java,57,"_matchingPropertyName = """";",0.301511,7,24
18,S5,JsonPointer.java,58,_matchingElementIndex = -1;,0.301511,7,24
18,S6,JsonPointer.java,59,"_asString = """";",0.301511,7,24
18,S28,JsonPointer.java,226,"return new JsonPointer(input, input.substring(1), EMPTY);",0.301511,7,24
25,S22,JsonPointer.java,212,for (int i = 1; i < end; ) {,0.229416,2,26
25,S23,JsonPointer.java,213,char c = input.charAt(i);,0.229416,2,26
27,S12,JsonPointer.java,95,if (input.charAt(0) != '/') {,0.208514,1,27
28,S9,JsonPointer.java,67,_nextSegment = next;,0.160128,1,28
29,S13,JsonPointer.java,98,return _parseTail(input);,0.149071,1,29
30,S14,JsonPointer.java,160,return _nextSegment;,0.0,18,47
30,S18,JsonPointer.java,196,return -1;,0.0,18,47
30,S21,JsonPointer.java,209,final int end = input.length();,0.0,18,47
30,S24,JsonPointer.java,215,"return new JsonPointer(input, input.substring(1, i),",0.0,18,47
30,S25,JsonPointer.java,218,++i;,0.0,18,47
30,S26,JsonPointer.java,220,"if (c == '~' && i < end) { // possibly, quote",0.0,18,47
30,S27,JsonPointer.java,221,"return _parseQuotedTail(input, i);",0.0,18,47
30,S29,JsonPointer.java,237,final int end = input.length();,0.0,18,47
30,S30,JsonPointer.java,238,"StringBuilder sb = new StringBuilder(Math.max(16, end));",0.0,18,47
30,S31,JsonPointer.java,239,if (i > 2) {,0.0,18,47
30,S32,JsonPointer.java,240,"sb.append(input, 1, i-1);",0.0,18,47
30,S33,JsonPointer.java,242,"_appendEscape(sb, input.charAt(i++));",0.0,18,47
30,S34,JsonPointer.java,243,while (i < end) {,0.0,18,47
30,S35,JsonPointer.java,244,char c = input.charAt(i);,0.0,18,47
30,S36,JsonPointer.java,245,if (c == '/') { // end is nigh!,0.0,18,47
30,S37,JsonPointer.java,246,"return new JsonPointer(input, sb.toString(),",0.0,18,47
30,S38,JsonPointer.java,249,++i;,0.0,18,47
30,S39,JsonPointer.java,257,"return new JsonPointer(input, sb.toString(), EMPTY);",0.0,18,47
