rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S3028,UTF8JsonGenerator.java,1039,_outputStream.flush();,0.408248,1,1
2,S3025,UTF8JsonGenerator.java,1036,_flushBuffer();,0.353553,7,8
2,S3026,UTF8JsonGenerator.java,1037,if (_outputStream != null) {,0.353553,7,8
2,S3027,UTF8JsonGenerator.java,1038,if (isEnabled(Feature.FLUSH_PASSED_TO_STREAM)) {,0.353553,7,8
2,S4292,WriterBasedJsonGenerator.java,833,_flushBuffer();,0.353553,7,8
2,S4293,WriterBasedJsonGenerator.java,834,if (_writer != null) {,0.353553,7,8
2,S4294,WriterBasedJsonGenerator.java,835,if (isEnabled(Feature.FLUSH_PASSED_TO_STREAM)) {,0.353553,7,8
2,S4295,WriterBasedJsonGenerator.java,836,_writer.flush();,0.353553,7,8
9,S2897,UTF8JsonGenerator.java,431,"text.getChars(0, len, _charBuffer, 0);",0.25,7,15
9,S2898,UTF8JsonGenerator.java,433,if (len > _outputMaxContiguous) {,0.25,7,15
9,S2901,UTF8JsonGenerator.java,437,if ((_outputTail + len) >= _outputEnd) {,0.25,7,15
9,S2902,UTF8JsonGenerator.java,440,_outputBuffer[_outputTail++] = BYTE_QUOTE;,0.25,7,15
9,S2903,UTF8JsonGenerator.java,441,"_writeStringSegment(_charBuffer, 0, len); // we checked space already above",0.25,7,15
9,S2904,UTF8JsonGenerator.java,445,if (_outputTail >= _outputEnd) {,0.25,7,15
9,S2905,UTF8JsonGenerator.java,448,_outputBuffer[_outputTail++] = BYTE_QUOTE;,0.25,7,15
16,S1565,JsonWriteContext.java,169,_gotName = false;,0.242536,2,17
16,S1566,JsonWriteContext.java,170,++_index;,0.242536,2,17
18,S2891,UTF8JsonGenerator.java,419,_verifyValueWrite(WRITE_STRING);,0.235702,4,21
18,S2892,UTF8JsonGenerator.java,420,if (text == null) {,0.235702,4,21
18,S2893,UTF8JsonGenerator.java,425,final int len = text.length();,0.235702,4,21
18,S2894,UTF8JsonGenerator.java,426,if (len > _charBufferLength) { // nope: off-line handling,0.235702,4,21
22,S3004,UTF8JsonGenerator.java,975,b = BYTE_COLON;,0.223607,2,23
