test_case,result,assertx_calls_found,assertx_calls_counted
com.fasterxml.jackson.dataformat.xml.RoundtripContentTest::testRoundtrip,PASS,0,0
com.fasterxml.jackson.dataformat.xml.VersionInfoTest::testMapperVersions,PASS,0,0
com.fasterxml.jackson.dataformat.xml.VersionInfoTest::testMapperCopy,PASS,6,6
com.fasterxml.jackson.dataformat.xml.VersionInfoTest::testMapperSerialization,PASS,2,2
com.fasterxml.jackson.dataformat.xml.adapters.TestIssue47Attribute::testEmptyStringFromElemAndAttr,PASS,3,3
com.fasterxml.jackson.dataformat.xml.deser.TestBinaryData::testTwoBinaryProps,PASS,2,2
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testRoundTripWithJacksonExample,PASS,1,1
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testFromAttribute,PASS,2,2
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testMapWithAttr,PASS,1,1
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testOptionalAttr,PASS,3,3
com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization::testMissingOptionalAttr,PASS,3,3
com.fasterxml.jackson.dataformat.xml.deser.TestEnums::testEnum,PASS,2,2
com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testSimpleStringElement,PASS,2,2
com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testEmptyStringElement,PASS,3,3
com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testMissingString,PASS,2,2
com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testStringWithAttribute,PASS,2,2
com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testStringsWithAttribute,PASS,3,3
com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testStringArrayWithAttribute,PASS,5,5
com.fasterxml.jackson.dataformat.xml.deser.TestStringValues::testEmptyElementToString,PASS,2,2
com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue7,PASS,5,5
com.fasterxml.jackson.dataformat.xml.deser.TestViews::testNullSuppression,PASS,1,1
com.fasterxml.jackson.dataformat.xml.deser.TestViews::testIssue44,PASS,1,1
com.fasterxml.jackson.dataformat.xml.incr.IncrementalWritingTest::testSimple,PASS,1,1
com.fasterxml.jackson.dataformat.xml.incr.PartialReadTest::testSimpleRead,PASS,14,14
com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest::testTwoAttributes,PASS,1,1
