rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S212,FromXmlParser.java,550,_currToken = JsonToken.END_ARRAY;,0.57735,4,4
1,S213,FromXmlParser.java,551,_parsingContext = _parsingContext.getParent();,0.57735,4,4
1,S214,FromXmlParser.java,552,_namesToWrap = _parsingContext.getNamesToWrap();,0.57735,4,4
1,S215,FromXmlParser.java,553,return _currToken;,0.57735,4,4
5,S139,FromXmlParser.java,305,_xmlTokens.repeatStartElement();,0.471405,2,6
5,S290,FromXmlParser.java,954,return true;,0.471405,2,6
7,S1145,XmlTokenStream.java,448,_currentWrapper = _currentWrapper.getParent();,0.408248,1,7
8,S327,JacksonXmlAnnotationIntrospector.java,138,_cfgDefaultUseWrapper = b;,0.365148,6,13
8,S907,XmlMapper.java,124,AnnotationIntrospector ai0 = getDeserializationConfig().getAnnotationIntrospector();,0.365148,6,13
8,S908,XmlMapper.java,125,for (AnnotationIntrospector ai : ai0.allIntrospectors()) {,0.365148,6,13
8,S909,XmlMapper.java,126,if (ai instanceof XmlAnnotationIntrospector) {,0.365148,6,13
8,S910,XmlMapper.java,127,((XmlAnnotationIntrospector) ai).setDefaultUseWrapper(state);,0.365148,6,13
8,S911,XmlMapper.java,130,return this;,0.365148,6,13
14,S1073,XmlTokenStream.java,235,"_currentWrapper = ElementWrapper.matchingWrapper(_currentWrapper.getParent(), _localName, _namespaceURI);",0.333333,1,14
15,S1158,XmlTokenStream.java,474,_repeatElement = REPLAY_END;,0.288675,4,18
15,S1159,XmlTokenStream.java,475,_localName = w.getWrapperLocalName();,0.288675,4,18
15,S1160,XmlTokenStream.java,476,_namespaceURI = w.getWrapperNamespace();,0.288675,4,18
15,S1161,XmlTokenStream.java,477,_currentWrapper = _currentWrapper.getParent();,0.288675,4,18
19,S107,ElementWrapper.java,28,_parent = parent;,0.280976,29,47
19,S108,ElementWrapper.java,29,_wrapperName = wrapperLocalName;,0.280976,29,47
19,S109,ElementWrapper.java,30,"_wrapperNamespace = (wrapperNamespace == null) ? """" : wrapperNamespace;",0.280976,29,47
