rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S44,FromXmlParser.java,603,_binaryValue = null;,1.0,4,4
1,S45,FromXmlParser.java,647,_mayBeLeaf = false;,1.0,4,4
1,S46,FromXmlParser.java,669,_currText = _xmlTokens.getText();,1.0,4,4
1,S47,FromXmlParser.java,670,_currToken = JsonToken.VALUE_STRING;,1.0,4,4
5,S101,XmlTokenStream.java,313,_textValue = _xmlReader.getAttributeValue(_nextAttributeIndex);,0.5,1,5
6,S33,FromXmlParser.java,537,if (_mayBeLeaf) {,0.408248,2,7
6,S34,FromXmlParser.java,545,return (_currToken = JsonToken.FIELD_NAME);,0.408248,2,7
8,S5,FromXmlParser.java,173,"_xmlTokens = new XmlTokenStream(xmlReader, ctxt.getSourceReference());",0.223607,12,19
8,S72,XmlFactory.java,556,sr = _xmlInputFactory.createXMLStreamReader(r);,0.223607,12,19
8,S73,XmlFactory.java,557,sr = _initializeXmlReader(sr);,0.223607,12,19
8,S75,XmlFactory.java,653,return sr;,0.223607,12,19
8,S90,XmlTokenStream.java,62,protected int _nextAttributeIndex = 0;,0.223607,12,19
8,S91,XmlTokenStream.java,108,_xmlReader = Stax2ReaderAdapter.wrapIfNecessary(xmlReader);,0.223607,12,19
8,S92,XmlTokenStream.java,109,_currentState = XML_START_ELEMENT;,0.223607,12,19
8,S93,XmlTokenStream.java,112,_attributeCount = _xmlReader.getAttributeCount();,0.223607,12,19
8,S95,XmlTokenStream.java,162,return _next();,0.223607,12,19
8,S97,XmlTokenStream.java,179,public String getText() { return _textValue; },0.223607,12,19
8,S98,XmlTokenStream.java,305,switch (_currentState) {,0.223607,12,19
8,S100,XmlTokenStream.java,310,if (_nextAttributeIndex < _attributeCount) {,0.223607,12,19
20,S17,FromXmlParser.java,480,int token = _xmlTokens.next();,0.218218,1,20
21,S29,FromXmlParser.java,520,_mayBeLeaf = false;,0.213201,1,21
22,S3,FromXmlParser.java,170,"_parsingContext = XmlReadContext.createRootContext(-1, -1);",0.2,22,43
22,S4,FromXmlParser.java,172,_nextToken = JsonToken.START_OBJECT;,0.2,22,43
22,S11,FromXmlParser.java,455,_binaryValue = null;,0.2,22,43
22,S12,FromXmlParser.java,456,if (_nextToken != null) {,0.2,22,43
22,S13,FromXmlParser.java,457,JsonToken t = _nextToken;,0.2,22,43
22,S14,FromXmlParser.java,458,_currToken = t;,0.2,22,43
22,S15,FromXmlParser.java,459,_nextToken = null;,0.2,22,43
22,S16,FromXmlParser.java,462,"_parsingContext = _parsingContext.createChildObjectContext(-1, -1);",0.2,22,43
22,S54,XmlFactory.java,29,public class XmlFactory extends JsonFactory,0.2,22,43
22,S74,XmlFactory.java,561,"FromXmlParser xp = new FromXmlParser(ctxt, _generatorFeatures, _xmlGeneratorFeatures,",0.2,22,43
22,S76,XmlReadContext.java,48,protected XmlReadContext _child = null;,0.2,22,43
22,S77,XmlReadContext.java,58,super();,0.2,22,43
22,S78,XmlReadContext.java,59,_type = type;,0.2,22,43
22,S79,XmlReadContext.java,60,_parent = parent;,0.2,22,43
22,S80,XmlReadContext.java,61,_lineNr = lineNr;,0.2,22,43
22,S81,XmlReadContext.java,62,_columnNr = colNr;,0.2,22,43
22,S82,XmlReadContext.java,63,_index = -1;,0.2,22,43
22,S83,XmlReadContext.java,79,"return new XmlReadContext(null, TYPE_ROOT, lineNr, colNr);",0.2,22,43
22,S84,XmlReadContext.java,99,XmlReadContext ctxt = _child;,0.2,22,43
22,S85,XmlReadContext.java,100,if (ctxt == null) {,0.2,22,43
22,S86,XmlReadContext.java,101,"_child = ctxt = new XmlReadContext(this, TYPE_OBJECT, lineNr, colNr);",0.2,22,43
22,S87,XmlReadContext.java,102,return ctxt;,0.2,22,43
44,S55,XmlFactory.java,43,final static int DEFAULT_XML_PARSER_FEATURE_FLAGS = FromXmlParser.Feature.collectDefaults();,0.196116,17,60
44,S56,XmlFactory.java,49,final static int DEFAULT_XML_GENERATOR_FEATURE_FLAGS = ToXmlGenerator.Feature.collectDefaults();,0.196116,17,60
44,S57,XmlFactory.java,84,"public XmlFactory() { this(null, null, null); }",0.196116,17,60
44,S58,XmlFactory.java,100,"this(oc, DEFAULT_XML_PARSER_FEATURE_FLAGS, DEFAULT_XML_GENERATOR_FEATURE_FLAGS,",0.196116,17,60
44,S59,XmlFactory.java,108,super(oc);,0.196116,17,60
44,S60,XmlFactory.java,109,_xmlParserFeatures = xpFeatures;,0.196116,17,60
44,S61,XmlFactory.java,110,_xmlGeneratorFeatures = xgFeatures;,0.196116,17,60
44,S62,XmlFactory.java,111,_cfgNameForTextElement = nameForTextElem;,0.196116,17,60
44,S63,XmlFactory.java,112,if (xmlIn == null) {,0.196116,17,60
44,S64,XmlFactory.java,113,xmlIn = XMLInputFactory.newInstance();,0.196116,17,60
44,S65,XmlFactory.java,117,if (xmlOut == null) {,0.196116,17,60
44,S66,XmlFactory.java,118,xmlOut = XMLOutputFactory.newInstance();,0.196116,17,60
44,S67,XmlFactory.java,120,"_initFactories(xmlIn, xmlOut);",0.196116,17,60
44,S68,XmlFactory.java,121,_xmlInputFactory = xmlIn;,0.196116,17,60
44,S69,XmlFactory.java,122,_xmlOutputFactory = xmlOut;,0.196116,17,60
44,S70,XmlFactory.java,141,"xmlOut.setProperty(XMLOutputFactory.IS_REPAIRING_NAMESPACES, Boolean.TRUE);",0.196116,17,60
44,S71,XmlFactory.java,143,"xmlIn.setProperty(XMLInputFactory.IS_COALESCING, Boolean.TRUE);",0.196116,17,60
