rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S923,EvalContext.java,303,return false;,1.0,7,7
1,S1028,InfoSetUtil.java,52,"return """";",1.0,7,7
1,S1052,InfoSetUtil.java,106,return 0.0;,1.0,7,7
1,S1060,InfoSetUtil.java,123,return doubleValue(stringValue(object));,1.0,7,7
1,S1501,NullPointer.java,56,return null;,1.0,7,7
1,S1506,NullPointer.java,133,return 0;,1.0,7,7
1,S1961,TreeCompiler.java,190,return false;,1.0,7,7
8,S1026,InfoSetUtil.java,48,if (object instanceof Boolean) {,0.707107,42,49
8,S1027,InfoSetUtil.java,51,if (object == null) {,0.707107,42,49
8,S1051,InfoSetUtil.java,105,"if (object.equals("""")) {",0.707107,42,49
8,S1056,InfoSetUtil.java,118,if (object instanceof EvalContext) {,0.707107,42,49
8,S1387,LocationPath.java,60,if (isAbsolute()) {,0.707107,42,49
8,S1388,LocationPath.java,61,rootContext = context.getRootContext().getAbsoluteRootContext();,0.707107,42,49
8,S1389,LocationPath.java,66,return evalSteps(rootContext);,0.707107,42,49
8,S1497,NullPointer.java,42,super(parent);,0.707107,42,49
8,S1498,NullPointer.java,43,this.name = name;,0.707107,42,49
8,S1502,NullPointer.java,72,return new NullPropertyPointer(this);,0.707107,42,49
8,S1507,NullPropertyPointer.java,32,"private String propertyName = ""*"";",0.707107,42,49
8,S1508,NullPropertyPointer.java,33,private boolean byNameAttribute = false;,0.707107,42,49
8,S1509,NullPropertyPointer.java,38,super(parent);,0.707107,42,49
8,S1511,NullPropertyPointer.java,65,"return new NullPointer(this,  new QName(getPropertyName()));",0.707107,42,49
8,S1512,NullPropertyPointer.java,73,return false;,0.707107,42,49
8,S1514,NullPropertyPointer.java,168,return propertyName;,0.707107,42,49
8,S1515,NullPropertyPointer.java,172,this.propertyName = propertyName;,0.707107,42,49
8,S1578,Path.java,216,"return buildContextChain(context, steps.length, false);",0.707107,42,49
8,S1705,QName.java,32,public QName(String qualifiedName) {,0.707107,42,49
8,S1706,QName.java,33,this.qualifiedName = qualifiedName;,0.707107,42,49
8,S1707,QName.java,34,int index = qualifiedName.indexOf(':');,0.707107,42,49
8,S1708,QName.java,35,"prefix = index < 0 ? null : qualifiedName.substring(0, index);",0.707107,42,49
8,S1709,QName.java,36,name = index < 0 ? qualifiedName : qualifiedName.substring(index + 1);,0.707107,42,49
8,S1819,SimplePathInterpreter.java,188,return createNullPointer(,0.707107,42,49
8,S1855,SimplePathInterpreter.java,730,if (currentStep == steps.length) {,0.707107,42,49
8,S1856,SimplePathInterpreter.java,731,return parent;,0.707107,42,49
8,S1857,SimplePathInterpreter.java,734,parent = valuePointer(parent);,0.707107,42,49
8,S1858,SimplePathInterpreter.java,736,Step step = steps[currentStep];,0.707107,42,49
8,S1859,SimplePathInterpreter.java,738,int axis = step.getAxis();,0.707107,42,49
8,S1860,SimplePathInterpreter.java,739,if (axis == Compiler.AXIS_CHILD || axis == Compiler.AXIS_ATTRIBUTE) {,0.707107,42,49
8,S1861,SimplePathInterpreter.java,740,NullPropertyPointer pointer = new NullPropertyPointer(parent);,0.707107,42,49
8,S1862,SimplePathInterpreter.java,741,QName name = ((NodeNameTest) step.getNodeTest()).getNodeName();,0.707107,42,49
8,S1863,SimplePathInterpreter.java,742,pointer.setPropertyName(name.toString());,0.707107,42,49
8,S1864,SimplePathInterpreter.java,743,pointer.setAttribute(axis == Compiler.AXIS_ATTRIBUTE);,0.707107,42,49
