test_case,result,assertx_calls_found,assertx_calls_counted
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testConstant,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreFunction,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationAnd,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationOr,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationEqual,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationNameAttributeTest,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationNotEqual,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationLessThan,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationLessThanOrEqual,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationGreaterThan,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationGreaterThanOrEqual,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationDivide,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationMod,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationMultiply,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationMinus,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationSum,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationUnaryMinus,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testCoreOperationUnion,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testExpressionPath,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testExtensionFunction,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathAxisSelf,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathAxisChild,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathAxisParent,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathAxisAttribute,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathAxisDescendant,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathAxisDescendantOrSelf,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathAxisOther,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testLocationPathNodeTest,PASS,0,0
org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest::testVariableReference,PASS,0,0
org.apache.commons.jxpath.ri.StressTest::testThreads,PASS,2,1
org.apache.commons.jxpath.ri.axes.RecursiveAxesTest::testInfiniteDescent,PASS,0,0
org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest::testDoStepNoPredicatesPropertyOwner,PASS,0,0
org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest::testDoStepNoPredicatesStandard,PASS,0,0
org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest::testDoStepPredicatesPropertyOwner,PASS,0,0
org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest::testDoStepPredicatesStandard,PASS,0,0
org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest::testDoPredicateName,PASS,0,0
org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest::testDoPredicatesStandard,PASS,0,0
