virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path,extra_slice_paths
testMath828_solution_L50_P_1,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath828,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath828,solution,50,Virtual_Pass,244,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath828_solution_L50_P_1/slice.log,
testMath781_solution_L91_P_2,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath781,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath781,solution,91,Virtual_Pass,247,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath781_solution_L91_P_2/slice.log,
testMath434NegativeVariable_solution_L119_P_3,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath434NegativeVariable,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath434NegativeVariable,solution,119,Virtual_Pass,243,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath434NegativeVariable_solution_L119_P_3/slice.log,
testMath434NegativeVariable_solution_L120_P_4,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath434NegativeVariable,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath434NegativeVariable,solution,120,Virtual_Pass,243,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath434NegativeVariable_solution_L120_P_4/slice.log,
testMath434NegativeVariable_solution_L121_P_5,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath434NegativeVariable,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath434NegativeVariable,solution,121,Virtual_Pass,243,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath434NegativeVariable_solution_L121_P_5/slice.log,
testMath434PivotRowSelection_solution_L152_P_6,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath434PivotRowSelection,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath434PivotRowSelection,solution,152,Virtual_Pass,230,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath434PivotRowSelection_solution_L152_P_6/slice.log,
testMath434PivotRowSelection2_solution_L175_P_7,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath434PivotRowSelection2,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath434PivotRowSelection2,solution,175,Virtual_Pass,268,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath434PivotRowSelection2_solution_L175_P_7/slice.log,
testMath434PivotRowSelection2_solution_L176_P_8,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath434PivotRowSelection2,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath434PivotRowSelection2,solution,176,Virtual_Pass,268,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath434PivotRowSelection2_solution_L176_P_8/slice.log,
testMath434PivotRowSelection2_solution_L177_P_9,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath434PivotRowSelection2,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath434PivotRowSelection2,solution,177,Virtual_Pass,268,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath434PivotRowSelection2_solution_L177_P_9/slice.log,
testMath272_solution_L191_P_10,org.apache.commons.math3.optimization.linear.SimplexSolverTest::testMath272,org.apache.commons.math3.optimization.linear.SimplexSolverTest,testMath272,solution,191,Virtual_Pass,225,/opt/resq/resQ_outputs/work/Math_28b/step2_slicing/_slicer4j_passed/testMath272_solution_L191_P_10/slice.log,
