statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,1,0,1,1,0.707107
S2,1,0,1,1,0.707107
S3,1,0,1,1,0.707107
S4,0,1,1,1,0.0
S5,0,1,1,1,0.0
S6,0,1,1,1,0.0
S7,0,1,1,1,0.0
S8,1,0,2,0,0.57735
S9,1,0,2,0,0.57735
S10,1,0,2,0,0.57735
S11,1,0,2,0,0.57735
S12,1,0,1,1,0.707107
S13,1,0,1,1,0.707107
S14,1,0,1,1,0.707107
S15,0,1,1,1,0.0
S16,0,1,1,1,0.0
S17,0,1,1,1,0.0
S18,0,1,1,1,0.0
S19,0,1,1,1,0.0
S20,0,1,1,1,0.0
S21,0,1,1,1,0.0
S22,1,0,2,0,0.57735
S23,1,0,2,0,0.57735
S24,1,0,2,0,0.57735
S25,1,0,2,0,0.57735
S26,1,0,2,0,0.57735
S27,1,0,2,0,0.57735
S28,1,0,2,0,0.57735
S29,1,0,2,0,0.57735
S30,1,0,2,0,0.57735
S31,1,0,2,0,0.57735
S32,1,0,2,0,0.57735
S33,1,0,2,0,0.57735
S34,1,0,1,1,0.707107
S35,0,1,1,1,0.0
S36,1,0,2,0,0.57735
S37,1,0,2,0,0.57735
S38,1,0,2,0,0.57735
S39,1,0,2,0,0.57735
S40,1,0,2,0,0.57735
S41,1,0,2,0,0.57735
S42,1,0,2,0,0.57735
S43,1,0,2,0,0.57735
S44,1,0,2,0,0.57735
S45,1,0,2,0,0.57735
S46,1,0,2,0,0.57735
S47,1,0,2,0,0.57735
S48,1,0,2,0,0.57735
S49,1,0,2,0,0.57735
S50,1,0,2,0,0.57735
S51,1,0,2,0,0.57735
S52,1,0,2,0,0.57735
S53,1,0,2,0,0.57735
S54,1,0,2,0,0.57735
S55,1,0,2,0,0.57735
S56,1,0,2,0,0.57735
S57,1,0,2,0,0.57735
S58,1,0,2,0,0.57735
S59,0,1,1,1,0.0
S60,1,0,2,0,0.57735
S61,1,0,2,0,0.57735
S62,1,0,2,0,0.57735
S63,1,0,2,0,0.57735
S64,1,0,2,0,0.57735
S65,1,0,2,0,0.57735
S66,1,0,2,0,0.57735
S67,1,0,2,0,0.57735
S68,1,0,2,0,0.57735
S69,1,0,2,0,0.57735
S70,1,0,2,0,0.57735
S71,1,0,2,0,0.57735
S72,1,0,2,0,0.57735
S73,1,0,2,0,0.57735
S74,1,0,2,0,0.57735
S75,1,0,2,0,0.57735
S76,1,0,2,0,0.57735
S77,1,0,2,0,0.57735
S78,1,0,2,0,0.57735
S79,1,0,2,0,0.57735
S80,1,0,2,0,0.57735
S81,1,0,2,0,0.57735
S82,1,0,2,0,0.57735
S83,1,0,2,0,0.57735
S84,1,0,2,0,0.57735
S85,1,0,2,0,0.57735
S86,1,0,2,0,0.57735
S87,1,0,2,0,0.57735
S88,1,0,2,0,0.57735
S89,1,0,2,0,0.57735
S90,1,0,2,0,0.57735
S91,1,0,2,0,0.57735
S92,1,0,2,0,0.57735
S93,1,0,2,0,0.57735
S94,1,0,2,0,0.57735
S95,1,0,2,0,0.57735
S96,1,0,2,0,0.57735
S97,1,0,2,0,0.57735
S98,1,0,2,0,0.57735
S99,1,0,2,0,0.57735
S100,1,0,2,0,0.57735
S101,1,0,2,0,0.57735
S102,1,0,2,0,0.57735
S103,1,0,2,0,0.57735
S104,1,0,2,0,0.57735
S105,1,0,2,0,0.57735
S106,1,0,2,0,0.57735
S107,1,0,2,0,0.57735
S108,1,0,2,0,0.57735
S109,1,0,2,0,0.57735
S110,1,0,2,0,0.57735
S111,1,0,2,0,0.57735
S112,1,0,2,0,0.57735
S113,1,0,2,0,0.57735
S114,1,0,2,0,0.57735
S115,1,0,2,0,0.57735
S116,1,0,2,0,0.57735
S117,1,0,2,0,0.57735
S118,1,0,2,0,0.57735
S119,1,0,2,0,0.57735
S120,1,0,2,0,0.57735
S121,1,0,2,0,0.57735
S122,1,0,2,0,0.57735
S123,1,0,2,0,0.57735
S124,1,0,2,0,0.57735
S125,1,0,2,0,0.57735
S126,1,0,2,0,0.57735
S127,1,0,2,0,0.57735
S128,1,0,2,0,0.57735
S129,1,0,2,0,0.57735
S130,1,0,2,0,0.57735
S131,1,0,2,0,0.57735
S132,1,0,2,0,0.57735
S133,1,0,2,0,0.57735
S134,1,0,2,0,0.57735
S135,1,0,2,0,0.57735
S136,1,0,2,0,0.57735
S137,1,0,2,0,0.57735
S138,1,0,2,0,0.57735
S139,1,0,2,0,0.57735
S140,1,0,2,0,0.57735
S141,1,0,2,0,0.57735
S142,1,0,2,0,0.57735
S143,1,0,2,0,0.57735
S144,1,0,2,0,0.57735
S145,1,0,2,0,0.57735
S146,1,0,2,0,0.57735
S147,1,0,2,0,0.57735
S148,1,0,2,0,0.57735
S149,1,0,2,0,0.57735
S150,1,0,2,0,0.57735
S151,1,0,2,0,0.57735
S152,1,0,2,0,0.57735
S153,1,0,2,0,0.57735
S154,1,0,2,0,0.57735
S155,1,0,2,0,0.57735
S156,1,0,2,0,0.57735
S157,1,0,2,0,0.57735
S158,1,0,2,0,0.57735
S159,1,0,2,0,0.57735
S160,1,0,2,0,0.57735
S161,1,0,2,0,0.57735
S162,1,0,2,0,0.57735
S163,1,0,2,0,0.57735
S164,1,0,2,0,0.57735
S165,1,0,2,0,0.57735
S166,1,0,2,0,0.57735
S167,1,0,2,0,0.57735
S168,1,0,2,0,0.57735
S169,1,0,2,0,0.57735
S170,1,0,1,1,0.707107
S171,1,0,2,0,0.57735
S172,1,0,2,0,0.57735
S173,1,0,2,0,0.57735
S174,1,0,2,0,0.57735
S175,1,0,2,0,0.57735
S176,1,0,2,0,0.57735
S177,1,0,2,0,0.57735
S178,1,0,2,0,0.57735
S179,1,0,2,0,0.57735
S180,1,0,2,0,0.57735
S181,1,0,1,1,0.707107
S182,0,1,1,1,0.0
S183,1,0,0,2,1.0
S184,1,0,0,2,1.0
S185,1,0,2,0,0.57735
S186,1,0,2,0,0.57735
S187,1,0,2,0,0.57735
S188,1,0,2,0,0.57735
S189,1,0,2,0,0.57735
S190,1,0,2,0,0.57735
S191,1,0,2,0,0.57735
S192,1,0,2,0,0.57735
S193,1,0,2,0,0.57735
S194,1,0,2,0,0.57735
S195,1,0,2,0,0.57735
S196,1,0,2,0,0.57735
S197,1,0,2,0,0.57735
S198,1,0,2,0,0.57735
S199,1,0,2,0,0.57735
S200,1,0,2,0,0.57735
S201,1,0,2,0,0.57735
S202,1,0,2,0,0.57735
S203,1,0,1,1,0.707107
S204,1,0,1,1,0.707107
S205,0,1,1,1,0.0
S206,0,1,1,1,0.0
S207,0,1,1,1,0.0
S208,0,1,1,1,0.0
S209,0,1,1,1,0.0
S210,0,1,1,1,0.0
S211,1,0,1,1,0.707107
S212,1,0,0,2,1.0
S213,0,1,1,1,0.0
S214,0,1,1,1,0.0
S215,0,1,1,1,0.0
S216,0,1,1,1,0.0
S217,0,1,1,1,0.0
S218,0,1,1,1,0.0
S219,0,1,1,1,0.0
S220,0,1,1,1,0.0
S221,0,1,1,1,0.0
S222,0,1,1,1,0.0
S223,0,1,1,1,0.0
S224,0,1,1,1,0.0
S225,1,0,1,1,0.707107
S226,0,1,1,1,0.0
S227,0,1,1,1,0.0
S228,0,1,1,1,0.0
S229,0,1,1,1,0.0
S230,0,1,1,1,0.0
S231,0,1,1,1,0.0
S232,0,1,1,1,0.0
S233,0,1,1,1,0.0
S234,0,1,1,1,0.0
S235,0,1,1,1,0.0
S236,0,1,1,1,0.0
S237,0,1,1,1,0.0
S238,0,1,1,1,0.0
S239,0,1,1,1,0.0
S240,0,1,1,1,0.0
S241,0,1,1,1,0.0
S242,0,1,1,1,0.0
S243,0,1,1,1,0.0
S244,0,1,1,1,0.0
S245,0,1,1,1,0.0
S246,0,1,1,1,0.0
S247,0,1,1,1,0.0
S248,0,1,1,1,0.0
S249,0,1,1,1,0.0
S250,0,1,1,1,0.0
S251,0,1,1,1,0.0
S252,0,1,1,1,0.0
S253,0,1,1,1,0.0
S254,0,1,1,1,0.0
S255,0,1,1,1,0.0
S256,0,1,1,1,0.0
S257,0,1,1,1,0.0
S258,0,1,1,1,0.0
S259,0,1,1,1,0.0
S260,0,1,1,1,0.0
S261,0,1,1,1,0.0
S262,0,1,1,1,0.0
S263,0,1,1,1,0.0
S264,0,1,1,1,0.0
S265,0,1,1,1,0.0
S266,0,1,1,1,0.0
S267,0,1,1,1,0.0
S268,0,1,1,1,0.0
S269,0,1,1,1,0.0
S270,0,1,1,1,0.0
S271,0,1,1,1,0.0
S272,0,1,1,1,0.0
S273,0,1,1,1,0.0
S274,0,1,1,1,0.0
S275,0,1,1,1,0.0
S276,0,1,1,1,0.0
S277,0,1,1,1,0.0
S278,0,1,1,1,0.0
S279,0,1,1,1,0.0
S280,0,1,1,1,0.0
S281,0,1,1,1,0.0
S282,0,1,1,1,0.0
S283,0,1,1,1,0.0
S284,0,1,1,1,0.0
S285,0,1,1,1,0.0
S286,0,1,1,1,0.0
S287,0,1,1,1,0.0
S288,0,1,1,1,0.0
S289,0,1,1,1,0.0
S290,0,1,1,1,0.0
S291,0,1,1,1,0.0
S292,0,1,1,1,0.0
S293,0,1,1,1,0.0
