test_case,test_class,test_method,variable,line,virtual_status
org.apache.commons.math.complex.ComplexTest::testConstructor,org.apache.commons.math.complex.ComplexTest,testConstructor,z,61,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testConstructor,org.apache.commons.math.complex.ComplexTest,testConstructor,z,62,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testConstructorNaN,org.apache.commons.math.complex.ComplexTest,testConstructorNaN,z,68,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testConstructorNaN,org.apache.commons.math.complex.ComplexTest,testConstructorNaN,z,71,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testConstructorNaN,org.apache.commons.math.complex.ComplexTest,testConstructorNaN,z,74,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testAbs,org.apache.commons.math.complex.ComplexTest,testAbs,z,80,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testAbsNaN,org.apache.commons.math.complex.ComplexTest,testAbsNaN,Double,85,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testAbsNaN,org.apache.commons.math.complex.ComplexTest,testAbsNaN,Double,87,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testAbsInfinite,org.apache.commons.math.complex.ComplexTest,testAbsInfinite,z,93,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testAbsInfinite,org.apache.commons.math.complex.ComplexTest,testAbsInfinite,z,95,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testAbsInfinite,org.apache.commons.math.complex.ComplexTest,testAbsInfinite,z,97,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testAdd,org.apache.commons.math.complex.ComplexTest,testAdd,z,105,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testAdd,org.apache.commons.math.complex.ComplexTest,testAdd,z,106,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testAddInfinite,org.apache.commons.math.complex.ComplexTest,testAddInfinite,Double,129,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testConjugate,org.apache.commons.math.complex.ComplexTest,testConjugate,z,136,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testConjugate,org.apache.commons.math.complex.ComplexTest,testConjugate,z,137,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testConjugateNaN,org.apache.commons.math.complex.ComplexTest,testConjugateNaN,z,143,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testConjugateInfiinite,org.apache.commons.math.complex.ComplexTest,testConjugateInfiinite,z,149,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testConjugateInfiinite,org.apache.commons.math.complex.ComplexTest,testConjugateInfiinite,z,151,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testDivide,org.apache.commons.math.complex.ComplexTest,testDivide,z,159,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testDivide,org.apache.commons.math.complex.ComplexTest,testDivide,z,160,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testDivideInfinite,org.apache.commons.math.complex.ComplexTest,testDivideInfinite,Double,185,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testDivideInfinite,org.apache.commons.math.complex.ComplexTest,testDivideInfinite,z,186,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testDivideInfinite,org.apache.commons.math.complex.ComplexTest,testDivideInfinite,Double,190,Virtual_Pass
org.apache.commons.math.complex.ComplexTest::testDivideInfinite,org.apache.commons.math.complex.ComplexTest,testDivideInfinite,z,191,Virtual_Pass
