statement_id,failed_covered,failed_not_covered,passed_covered,passed_not_covered,ochiai_score
S1,0,1,8,2,0.0
S2,0,1,8,2,0.0
S3,0,1,1,9,0.0
S4,0,1,8,2,0.0
S5,0,1,8,2,0.0
S6,1,0,8,2,0.333333
S7,0,1,8,2,0.0
S8,0,1,8,2,0.0
S9,0,1,8,2,0.0
S10,1,0,8,2,0.333333
S11,0,1,1,9,0.0
S12,0,1,8,2,0.0
S13,1,0,8,2,0.333333
S14,0,1,1,9,0.0
S15,1,0,1,9,0.707107
S16,1,0,1,9,0.707107
S17,1,0,1,9,0.707107
S18,0,1,1,9,0.0
S19,0,1,1,9,0.0
S20,0,1,1,9,0.0
S21,0,1,1,9,0.0
S22,0,1,1,9,0.0
S23,1,0,1,9,0.707107
S24,1,0,1,9,0.707107
S25,1,0,1,9,0.707107
S26,1,0,1,9,0.707107
S27,1,0,1,9,0.707107
S28,1,0,1,9,0.707107
S29,1,0,1,9,0.707107
S30,1,0,1,9,0.707107
S31,1,0,1,9,0.707107
S32,1,0,1,9,0.707107
S33,1,0,1,9,0.707107
S34,1,0,1,9,0.707107
S35,1,0,1,9,0.707107
S36,1,0,1,9,0.707107
S37,1,0,1,9,0.707107
S38,1,0,1,9,0.707107
S39,0,1,8,2,0.0
S40,0,1,8,2,0.0
S41,0,1,8,2,0.0
S42,0,1,8,2,0.0
S43,0,1,8,2,0.0
S44,0,1,8,2,0.0
S45,0,1,8,2,0.0
S46,0,1,8,2,0.0
S47,0,1,8,2,0.0
S48,0,1,8,2,0.0
S49,0,1,8,2,0.0
S50,0,1,8,2,0.0
S51,0,1,8,2,0.0
S52,0,1,1,9,0.0
S53,0,1,1,9,0.0
S54,1,0,0,10,1.0
S55,1,0,0,10,1.0
S56,1,0,0,10,1.0
S57,1,0,0,10,1.0
S58,0,1,8,2,0.0
S59,1,0,8,2,0.333333
S60,0,1,1,9,0.0
S61,1,0,1,9,0.707107
S62,0,1,1,9,0.0
S63,0,1,1,9,0.0
S64,0,1,1,9,0.0
S65,0,1,1,9,0.0
S66,0,1,1,9,0.0
S67,0,1,1,9,0.0
S68,0,1,1,9,0.0
S69,0,1,1,9,0.0
S70,0,1,1,9,0.0
S71,0,1,1,9,0.0
S72,0,1,1,9,0.0
S73,1,0,0,10,1.0
S74,0,1,8,2,0.0
S75,0,1,8,2,0.0
S76,0,1,8,2,0.0
S77,1,0,8,2,0.333333
S78,1,0,0,10,1.0
S79,1,0,0,10,1.0
S80,1,0,0,10,1.0
S81,1,0,8,2,0.333333
S82,1,0,8,2,0.333333
S83,0,1,8,2,0.0
S84,0,1,8,2,0.0
S85,0,1,8,2,0.0
S86,0,1,8,2,0.0
S87,0,1,8,2,0.0
S88,0,1,8,2,0.0
S89,0,1,1,9,0.0
S90,0,1,1,9,0.0
S91,0,1,1,9,0.0
S92,0,1,1,9,0.0
S93,0,1,1,9,0.0
S94,0,1,1,9,0.0
S95,0,1,1,9,0.0
S96,0,1,1,9,0.0
S97,0,1,1,9,0.0
S98,0,1,1,9,0.0
